MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nIch kämpfe, um die Welt zu retten, die meine\nMutter so liebte. Aber ich benötige Eure Hilfe,\nLeif.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nIch sehe einen alten Freund, wenn ich Euch\nansehe. Leider war sein Tod das Ergebnis\nmeiner Achtlosigkeit.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x08\x06リーフ\nEr opferte alles, um meine Wünsche zu erfüllen.\nUnd ich konnte ihm nichts geben...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nIch kenne ihn nicht, aber ich könnte mir\nvorstellen, er wäre ganz sicher stolz darauf,\nEuch gedient zu haben.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nJemanden in seinem Leben zu haben, der\nLord und Freund ist? Das ist wahrlich ein\nSegen, der einem selten zuteilwird.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Leif, habt Ihr irgendwelche Vorschläge,\nwie man jemand sein kann, auf den \x0E\x0A\x00\x10\x06der\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sich verlassen kann?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06リーフ\nIch glaube, du kannst mir in der Hinsicht mehr\nbeibringen, als ich dir anbieten kann.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nClanne, du bist heute fleißig wie immer. Tust\ndu all dies für \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nJa! Es ist eine Menge Arbeit, wenn man sicher-\nstellen will, dass \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin genug Ruhe\nbekommt.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nNeulich hörte ich Framme das Wort „verehrens-\nwert“ verwenden. Das bedeutet mehr als nur\n„liebenswert“ zu sein, nicht wahr?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nStimmt. Es ist etwas mehr als liebenswert.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nMan drückt damit Respekt vor einer sehr\nweisen Person aus.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06リーフ\nAh. An dieses Wort werden wirklich starke\nGefühle geknüpft. Ich werde es bald ebenfalls\nmal verwenden.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nDu wirkst, als wärst du tief in Gedanken. Was\nbeschäftigt dich derart?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nIch mache ein Kleidungsstück, um \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und \x0E\x0A\x00\x16\nseine\x08ihre Großartigkeit zu feiern!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nDu trainierst heute wieder, Framme? Deine\nUnermüdlichkeit ist wirklich beeindruckend!\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nIch muss tipptopp in Form sein, wenn ich zu\n\x0E\x0A\x00\x10\x06dem\x06der Göttlichen bete. Meine Gebete sind sehr\nsportlich angelegt.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06フラン\nIn Ordnung, wir werden nun dort an der Ecke\ndarauf warten, dass \x0E\x0A\x00\x10\x06der\x06die Göttliche vorbeigeht.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nJa. Von dort aus kann man gut sehen. Ist es\nwirklich in Ordnung, Euch dabei mitzuschleifen?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06リーフ\nSicher! Ich habe dich doch darum gebeten, erin-\nnerst du dich? Ich freue mich, etwas über deine\nungewöhnliche Art der Verehrung zu erfahren.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06リーフ\nOh, da ist \x0E\x0A\x00\x0E\x04er\x06sie! Los, Framme. Diese Stelle gibt\neinem die optimale Sicht, meinst du nicht?\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHng, hng, hyah... Ein weiteres strammes\nMorgentraining ist geschafft!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06リーフ\nWie engagiert er ist, da er sein Training so früh\nam Morgen absolviert! Ich muss seinem Beispiel\nfolgen.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWarum starrt Ihr so angestrengt auf Euren Arm?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch überprüfe ihn nur. Meine Arme sagen,\nes sei alles in Ordnung! Wie ist es bei Euch,\nLeif?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch verstecke es gut, aber ich war ein recht\nkränkliches Kind. Meine Mutter hatte stets Sorge\num meine Gesundheit.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06リーフ\nEuer intensives Training hat Euch also zu einer\nguten Gesundheit geführt?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nZweifelsohne. Ich nahm es ernst und habe nicht\neine einzige Trainingsstunde ausfallen lassen.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06リーフ\nIch könnte von Eurer Hingabe viel lernen, was\ndie beharrliche Bewältigung von Problemen\nangeht, ohne aufzugeben.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nBoucheron? Was machst du hier?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nDas Pferd, das ich als Orientierungspunkt\nhiergelassen hatte, ist fortgerannt. Könnt Ihr\nmir sagen, wie ich wieder zurückkomme?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHast du dich schon wieder verlaufen? Alfred\nhat dich gesucht.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nDas höre ich immer. Wenn er nicht an Ort und\nStelle bleibt, dann werden wir noch ewig\nim Kreis laufen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nブシュロン\nHeute seid Ihr nicht beschäftigt, oder, Leif?\nMöchtet Ihr mit mir zum Fischen gehen?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06リーフ\nGute Idee. Das Wetter ist wie gemacht dafür.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06リーフ\nUnd du brauchst mich an deiner Seite, damit\ndu dich nicht wieder verläufst.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nHahaha, schuldig im Sinne der Anklage. Ob es\nauf dem Schlachtfeld oder anderswo ist – ohne\nEuch bin ich verloren.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nEtie, geht es dir gut?! Ich habe ein sehr lautes\nGeräusch gehört.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nDas tut mir leid! Ich habe etwas zu kraftvoll\ntrainiert und aus Versehen eine Wand zerstört.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nエーティエ\nIhr seht etwas nervös aus. Wisst Ihr, was da\nhilft? Gewichtheben!\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06リーフ\nDas kann ich mir vorstellen. Ich bezweifle, dass\nich Muskeln aufbauen könnte, aber ich finde\ndie Idee sehr anregend.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nZu sehen, was du alles im Namen des Trainings\nauf dich nimmst, ist recht beängstigend.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nDas ist nichts für schwache Nerven, so viel\nist mal sicher. Aber ich habe eine Geheimwaffe!\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nEs ist ein Muskelbalsam aus Firene. Er\nverbessert den Trainingseffekt, egal, wer man\nist!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06リーフ\nAber trotzdem muss man trainieren, nicht wahr?\nWenn man den Teil doch nur auslassen könnte...\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch brauche Eure Hilfe, Leif, wenn ich mein\ngeliebtes Firene beschützen will – von der Welt\nganz zu schweigen.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06リーフ\nIhr bekommt sie, Céline. Lasst uns gemeinsam\ndafür kämpfen, dass das Volk in einer fried-\nlichen Welt sicher ist.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWürdet Ihr mit mir Tee trinken? Ich habe\ndie feinsten Blätter aus Firene erhalten.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06リーフ\nSie duften unglaublich. Wie Blumen und Sonne\nund nach gutem, fruchtbaren Boden...\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWie kommt es, dass Ihr heute so gut gelaunt\nseid?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIm Blumenbeet im Hof wächst ein neuer Trieb.\nUnd ich habe vorhin eine wunderbare Tasse Tee\ngenossen.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nDiese kleinen Freuden muss man sich bewahren.\nIch hoffe, Ihr haltet mich deswegen nicht für\nkindisch.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06リーフ\nNiemals! Ihr habt mir gezeigt, dass ein glück-\nliches Leben aus der Menge von kleinen\nFreuden besteht.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ルイ\nKann ich irgendetwas für Euch tun, Leif?\nVielleicht einen passenden Partner finden, mit\ndem Ihr Umgang pflegen könnt?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06リーフ\nÄh, ist schon gut, Louis. Aber danke für das\nAngebot.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ルイ\nIch habe etwas Tee zubereitet. Wollen wir ihn\ngemeinsam genießen und die Landschaft\nbewundern?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06リーフ\nEr duftet herrlich, Louis. Ich nehme an, mit\n„Landschaft“ meinst du die beiden Leute dort\ndrüben?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nIhr seht heute recht betrübt aus, Louis. Stimmt\netwas nicht?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nJa. Wie ich es auch anstelle, ich habe\nProbleme, vollständig mit dem Hintergrund\nzu verschmelzen.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06リーフ\nAh, das wäre eine nützliche Fertigkeit, um\neinen Hinterhalt zu legen. Ich kann dir dabei\naber keinen Rat geben.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nIch dachte eher daran, Szenen zu betrachten,\ndie sich ganz natürlich entwickeln. Aber\ndennoch – danke schön.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クロエ\nIch glaube, was Euch am meisten wie einen\nHelden wie aus einem Märchen erscheinen lässt,\nist Eure helle, glänzende Rüstung.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06リーフ\nIch bin aber kein Held. Dieser Titel wurde mir\nvon anderen angehängt.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWas in aller Welt isst du da, Chloé?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nEine große Schlange, die in Heilkräutern ge-\nkocht wurde. Es tut mir wirklich leid, dass ich\nsie nicht mit Euch teilen kann.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クロエ\nHey, Leif, übertreibt es bloß nicht, verstanden?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06リーフ\nWoher auf einmal diese Sorge?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nNun, Ihr seht immer so angespannt aus.\nEntspannt Euch! Ich bin für Euch da.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06リーフ\nIch habe mich vermutlich immer noch nicht an\ndiese Welt gewöhnt. Mit deiner Hilfe wird mir\ndas aber gelingen. Ich danke dir, Chloé.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist so eine Ehre, mit Euch zu sprechen, Leif.\nIch habe viel mit Euch zu besprechen, mein\nKönigreich betreffend...\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06リーフ\nIch freue mich auch schon auf unsere\nZusammenarbeit, Diamant. Ich werde mit\nVergnügen helfen, wo immer ich kann.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDas Volk von Elusia empfindet tiefen Hass\ngegenüber meinem Land. Meine Aufgabe ist es,\nzwischen den Nationen für Frieden zu sorgen.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06リーフ\nÜbereilt es nicht. Ich glaube, Ihr seid von allen\nam Besten dazu geeignet, einen Weg nach vorne\nzu finden, aber diese Dinge brauchen Zeit.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDie Wahrheit ist, dass ich gar nicht so viel\nSelbstvertrauen besitze, wie es scheint. Ich habe\ndas nie jemandem erzählt, nicht mal Alcryst.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06リーフ\nMir fehlte einst Selbstvertrauen... Aber meine\nFreunde leiteten mich und halfen meinem\nHerzen dabei, stärker zu werden.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06リーフ\nIhr habt ebenfalls gute Freunde, Diamant. Die\nAufgabe ist nun, herauszufinden, wie Ihr wach-\nsen könnt – und ich werde an Eurer Seite sein.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nIch danke Euch, Leif. Ich werde danach streben,\nein König zu werden, der so weise ist, wie Ihr es\nseid... der weise Lord höchstselbst.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アンバー\nIch bin Amber, einer von Prinz Diamants Ge-\ntreuen. Ihr könnt mich den „Meister im Alpaka-\nGerangel“ nennen!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06リーフ\nDen Meister im Alpaka-Gerangel, sagst du...\nDas klingt seltsamerweise nett.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nDu scheinst heute gut gelaunt zu sein, Amber.\nGibt es einen schönen Grund dafür?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nIch habe ein Rezept gefunden – für einen\nlegendären Geheimtrank, der einem endlose\nEnergie verleiht! Wollt Ihr mal sehen, Leif?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アンバー\nIch möchte so gerne ein ganzes Bataillon aus\nAlpakas aufbauen, aber ich kann Prinz Diamant\nnicht dazu bewegen, das zu bewilligen...\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06リーフ\nHmm... An Diamants Stelle würde ich ganz\nsicher Pferde bevorzugen. Alpakas könnten\nschwer zu mobilisieren sein.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06リーフ\nDurch welche einzigartige Stärke zeichnen sich\nAlpakas aus? Wenn du die ins Spiel bringst,\nwird er vielleicht leichter zu überzeugen sein.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, es gibt ganz viele! Zum Beispiel, ähm...\näääh... Oh! Die Niedlichkeit! Sie nimmt dem\nGegner den Kampfwillen!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nJade? Ich kann deine Blicke spüren... Habe\nich irgendetwas im Gesicht?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHm? Nein. Entschuldigt, Leif. Ich war gerade\nin einer Idee für eine neue Geschichte\nversunken, aber... schon ist sie weg.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWas ist denn los, Jade? Du siehst aus, als\nhättest du dich über irgendetwas geärgert.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHm? Nein, mir geht es gut. Genauer gesagt,\nbin ich sogar ausgesprochen gut gelaunt.\nIst das so schwer zu erkennen?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLeif? Hättet Ihr wohl einen Moment Zeit?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06リーフ\nJa, ich habe Zeit. Worum geht es denn?\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIch brauche eine Wendung in meinem Roman.\nGibt es irgendwelche Geschichten aus Eurer\nWelt, die mich inspirieren könnten?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06リーフ\nVerstehe! Ich stehe dir gerne mit Rat und Tat\nzur Seite. Lass mich mit der Geschichte der\n12 Heiligen Ritter beginnen...\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHallo, Alcryst. Habt Ihr das schöne Wetter\ngenossen? Ich ganz sicher.\x0E\x04\x00\x00
