MJID_DragonLord	Drachenkind
MJID_H_GriffonKnight	Erfahrene Ritter, die auf Greifen\nfliegen. Besitzen ausbalancierte\nWerte und können Stäbe nutzen.
MJID_DragonKnight	Wyvernritter
MJID_H_DragonKnight	Erfahrene Ritter, die auf Wyvern\nfliegen. Sind äußerst mächtig, aber\nanfällig für Bogen und Magie.
MJID_Mage	Magier
MJID_H_Mage	Magieanwender, die Zauber mithilfe\nvon Büchern wirken. Stark gegen\nGegner mit hoher Verteidigung.
MJID_Sage	Weiser
MJID_H_Sage	Erfahrene Magier, die über immense\nMacht verfügen. Können sowohl\nBücher als auch Stäbe verwenden.
MJID_MageKnight	Magieritter
MJID_H_MageKnight	Magiebegabte Ritter, die vom Sattel\naus Magie wirken können, aber\nauch den Nahkampf nicht scheuen.
MJID_Monk	Kampfmönch
MJID_H_Monk	Kampferprobte Mönche, die mit\nStäben Verbündete heilen. Erfahren\nin der Kunst der Selbstverteidigung.
MJID_MasterMonk	Kampfmeister
MJID_H_MasterMonk	Erfahrene Mönche, die in der Kampf-\nkunst bewandert sind. Überragende\nNahkämpfer und Heiler.
MJID_HighPriest	Oberpriester
MJID_H_HighPriest	Meister im Umgang mit Stäben.\nIhre enormen Heilkräfte sind in\ngroßen Schlachten unerlässlich.
MJID_Thief	Dieb
MJID_H_Thief	Langfinger mit einem Talent fürs\nSchlösserknacken. Flink mit ihren\nHänden, tödlich mit ihren Messern.
MJID_Dancer	Tänzer
MJID_H_Dancer	Künstler, die den Kampfgeist Ver-\nbündeter heben und das Ausführen\neiner weiteren Aktion ermöglichen.
MJID_Villager	Dörfler
MJID_H_Villager	Durchschnittliche Dorfbewohner\nohne jegliche Kampfausbildung.
MJID_Melusine	Melusine
MJID_H_Melusine	Magische Ritterin auf einem bösen\nDrachen. Setzt im Kampf mächtige\nMagie und Schwerter ein.
MJID_Barbarian	Barbar
MJID_H_Barbarian	Wilde Kämpfer mit unstillbarer Wut.\nExtrem stark und schnell, verfügen\njedoch nur über geringe Verteidigung.
MJID_MorphDragon	Verzerrter Drache
MJID_H_MorphDragon	Schergen des Dämonendrachen,\nderen Ziel die Zerstörung der Welt\nist. Ihr dunkler Atem vernichtet alles.
MJID_PhantomDragon	Phantomdrache
MJID_H_PhantomDragon	Gewaltige, aber recht behäbige\nDrachenschergen. Können mit ihrem\nAtem auch entfernte Gegner treffen.
MJID_Emblem	Emblem
MJID_H_Emblem	In Ringe eingeschlossene Helden\naus Welten jenseits von Elyos, die\nüber unvorstellbare Macht verfügen.
