MID_OP1_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x0E\x08セアダス\x023\n\x0E\x03\x02\x0A\x08セアダス\nMeine neuen Tanzschritte nehmen Gestalt an!\nNur noch ein bisschen, dann reicht es für heute.\x0E\x04\x02\x00
MID_OP2_#004	Ein Ort, an dem es spukt! In letzter Zeit haben\neinige Leute sogar die Stimme einer jungen Frau\nim Inneren rufen hören.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\nミスティラ\nEntspannt Euch! Das ist doch nur Gerede\nder Einheimischen.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nWieso klang es dann bei Euch so real?!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0C\nミスティラ\nEntschuldigt, tut mir leid. Ich sollte darüber\ngar nicht reden – ich war noch niemals dort.\x0E\x04\x02\x00
MID_OP2_#009	Mama sagte mir stets, ich solle den Ort meiden,\ndamit niemand herausfinden würde, dass sich\ndort der Ring befindet.\x0E\x04\x02\x00
MID_OP2_#010	Und da ist sie. Die Nördliche Festung.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nHm. Für eine verlassene Festung höre ich aber\nziemlich viel Lärm...\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0C\nミスティラ\nSekunde... Die Verzerrten!\nSie sind hineingelangt!\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nGehen wir. Sie dürfen den Ring nicht in die\nHände bekommen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nOh nein...\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x00\x10\nミスティラ\x02b\n\x0E\x05\x01\x1E\nミスティラ\x10Surprise\n\x0E\x03\x02\x0C\nミスティラ\nJepp, dieser Ort ist recht belebt. Hier scheint\nes wohl ein wenig zu spuken, hm?\x0E\x04\x02\x00
MID_OP3_#003	\x0E\x05\x01\x18\nミスティラ\nAngry\nMoment. \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, seht! Da ist jemand!\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\nSie haben uns gänzlich eingekreist – schon\nwieder. Doch im Inneren ist es immer noch\nsicherer als draußen im Freien.\x0E\x04\x02\x00
MID_OP4_#002	\x0E\x05\x01\x16\x08セアダス\nSmile\nDanke, Ring.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x00\x16\x10M015_カムイ\x02b\n\x0E\x03\x07\x12\x10M015_カムイ\n\x0E\x03\x02\x12\x10M015_カムイ\nIch sagte Euch, Ihr solltet Euch in der Festung\nverstecken, nicht nach mir suchen.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08セアダス\nWie könnte ich mich fernhalten? Ein\nsprechender Ring! Auch die Kreaturen kamen\ndeshalb hierher.\x0E\x04\x02\x00
MID_OP4_#005	\x0E\x05\x01\x16\x08セアダス\nRelax\nIch nehme an, Ihr seid eine Prinzessin, die durch\neinen bösen Fluch in dieser ungewöhnlichen\nForm gefangen ist. Lasst mich Euch helfen.\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x12\x10M015_カムイ\nEigentlich bin ich--\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nIhr müsst mich nicht überzeugen, Euer Hoheit.\nIch bin keiner, der eine seltsame Geschichte\nanzweifeln würde.\x0E\x04\x02\x00
MID_OP4_#008	\x0E\x05\x01\x12\x08セアダス\x06Die\nGeist der Karten! Lasse dein göttliches Licht\nleuchten und zeige uns den Weg vor uns...\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x12\x10M015_カムイ\nIhr seid ein Wahrsager, hm? Was sagen Euch\nEure Karten?\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\nLe Dragon... Er bedeutet, dass Hilfe von uner-\nwarteter Seite kommt.\x0E\x04\x02\x00
MID_OP4_#011	\x0E\x05\x01\x16\x08セアダス\nAngry\nIch denke, wir müssen die Biester einfach\nvon uns fernhalten, bis die Hilfe eintrifft.\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x18\nミスティラ\nAngry\n\x0E\x03\x02\x0C\nミスティラ\nDer Typ dort ist nicht hier, um den Ring zu\nstehlen.\x0E\x04\x02\x00
MID_OP5_#002	Ich glaube, er versucht, ihn zu beschützen.\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEr ist ganz offensichtlich kein Freund der\nVerzerrten.\x0E\x04\x02\x00
MID_OP5_#004	Helfen wir ihm. So wie es aussieht, kann er Hilfe\ngut gebrauchen.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIhr da! Seid Ihr verletzt?\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0E\x08セアダス\x02b\n\x0E\x05\x01\x16\x08セアダス\nAngry\n\x0E\x03\x02\x0A\x08セアダス\nWer seid Ihr denn?!\x0E\x04\x00\x00
MID_EV1_#003	\x0E\x03\x02\x0A\x08リュール\nKeine Angst, ich nicht Euer Feind. Ich bin\n\x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_EV1_#004	\x0E\x05\x01\x1C\x08セアダス\x10Surprise\n\x0E\x03\x02\x0A\x08セアダス\n\x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, sagt Ihr... Wisst Ihr was? Meine\nKarten haben die Wahrheit gesprochen.\x0E\x04\x02\x00
MID_EV1_#005	\x0E\x05\x01\x16\x08セアダス\nSmile\nVon unerwarteter Seite, in der Tat. Vielen Dank.\nIch bin Seadall, ein reisender Tänzer.\x0E\x04\x02\x00
MID_EV1_#006	\x0E\x0B\x00n
MID_EV1_#007	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nEin sprechender Ring, hm?\x0E\x04\x00\x00
MID_EV1_#008	\x0E\x05\x01\x18\x08セアダス\x0CStrike\n\x0E\x03\x02\x0A\x08セアダス\nJa. Ich glaube, der Ring ist eine junge\nPrinzessin, die verflucht wurde. Ist das nicht\nschrecklich?\x0E\x04\x00\x00
MID_EV1_#009	\x0E\x0B\x01>
MID_EV1_#010	\x0E\x05\x01\x1C\x08セアダス\x10Surprise\n\x0E\x03\x02\x0A\x08セアダス\nIhr kennt ihre Geschichte also? Sagt mir, wer\nist diese geheimnisvolle „Ring-Frau“?\x0E\x04\x00\x00
MID_EV1_#011	\x0E\x03\x02\x0A\x08リュール\nGebt ihn mir, dann finden wir es gemeinsam\nheraus.\x0E\x04\x00\x00
MID_EV1_#012	\x0E\x03\x02\x0A\x08セアダス\nBitte.\x0E\x04\x00\x00
MID_EV1_#013	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\n\x0E\x0B\x00\
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02t\n\x0E\x05\x01\x14\x06カムイ\nSmile\n\x0E\x03\x02\x08\x06カムイ\n\x0E\x07\x00\x04
MID_EV2_#002	Danke, dass du mich gefunden hast. Ich werde\ndazu beitragen, dass der Pfad, den du wählst,\nder richtige ist.\x0E\x04\x00\x00
MID_EV2_#003	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nVielen Dank, Emblem Corrin. Es tut mir leid,\ndass ich dich so lange warten ließ.\x0E\x04\x00\x00
MID_EV2_#004	\x0E\x03\x01\x08\x06カムイ\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x1C\x08セアダス\x10Surprise\n\x0E\x03\x02\x0A\x08セアダス\nEin Emblem, wirklich? Eines dieser gottgleichen\nWesen aus den Legenden.\x0E\x04\x00\x00
MID_EV2_#005	\x0E\x03\x02\x0A\x08リュール\nSeadall, würdet Ihr an Corrins Seite kämpfen?\nWir könnten Eure Hilfe gebrauchen, um hier\nherauszukommen.\x0E\x04\x00\x00
MID_EV2_#006	\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nEs wäre mir eine Freude. Diese Welt... Wunder\nüber Wunder.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nHm? Haben sich diese Türen gerade...\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nWir können nicht den Weg nehmen, über den\nwir hereingekommen sind. Lasst uns den Pfad\ndort drüben nehmen.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, als Tänzer kann ich die Motivation\nund den Kampfgeist Eurer Verbündeten mit\nanmutigen Bewegungen erhöhen.\x0E\x04\x02\x00
MID_EV5_#002	Bitte, macht Euch meine Fähigkeiten so zu\nnutze, wie Ihr es für richtig haltet.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nAngry\n\x0E\x03\x02\x0A\x08セアダス\nIch war so in Eile, dass ich das Miasma hier\nüberall gar nicht bemerkt habe.\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x10\x06カムイ\x06Sad\n\x0E\x03\x02\x08\x06カムイ\nDie Kreaturen müssen es mit sich gebracht\nhaben, es war definitiv vorher nicht hier.\x0E\x04\x02\x00
MID_EV6_#003	\x0E\x05\x01\x16\x06カムイ\x0CStrike\nVerwendet meine Macht, um das Miasma\naufzulösen und den Pfad für unsere Verbün-\ndeten freizumachen.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nRelax\n\x0E\x03\x02\x0A\x08セアダス\nUnsere Wege trennen sich hier. \x0E\x0A\x00*\x14Göttlicher\x12Göttliche,\nEmblem Corrin... Ich danke Euch.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNoch mehr?! \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, wir können so nicht\nweitermachen. Wir müssen von hier flüchten.\x0E\x04\x00\x00
MID_DIE_LOCAL_Seadas_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02b\n\x0E\x05\x01\x12\x08セアダス\x06Die\n\x0E\x03\x02\x0A\x08セアダス\nDies also hatte das Schicksal mit mir vor.\nBitte... Beschützt Emblem Corrin...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nGut. Wir sind in Sicherheit.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0C\nミスティラ\nWartet. Dort am Eingang ist jemand.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nSagt nicht, es sind noch mehr Verzerrte?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nIst alles in Ordnung? Ich sah, wie all diese\nMonster hineingingen, und machte mir Sorgen.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nVeyle?!\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh! So sehen wir uns wieder, \x0E\x06\x03\x00.\nHabt ihr die Monster besiegt?\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED1_#008	Ja, haben wir. Jedes einzelne von ihnen.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08ヴェイル\nDas freut mich zu hören. Wie geht es dir?\x0E\x04\x02\x00
MID_ED1_#010	Ich war ganz schön erschrocken, dich dort\ndraußen im Schneesturm zu sehen. Ich hoffe,\ndu hast die Kathedrale gefunden.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nWelches Spiel du auch spielst, hör auf damit.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHm? Bist du wegen irgendetwas böse?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nTu nicht so, als hättest du alles vergessen.\nIch kann deine Lügen heute durchschauen.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08ヴェイル\nLügen? Wovon sprichst du? Ich verspreche dir,\n\x0E\x06\x03\x00, ich bin kei--\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nKeinen Schritt näher! Ihr bleibt, wo Ihr seid,\nDämonenprinzessin.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08ヴェイル\nWoher wisst Ihr das?!\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nEuer bloßer Anblick lässt mich erneut die\nScham empfinden, meinen Vater verloren zu\nhaben.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x023\n\x0E\x03\x02\x0A\x08アイビー\nIhr habt mir mein Land genommen. Meinen\nElternteil. Was wollt Ihr noch?\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nDiejenigen, die du getötet hast – sie hatten\nFamilien.\x0E\x04\x02\x00
MID_ED1_#020	Aber das ist dir egal, nicht wahr? All der\nSchmerz... Du hast nicht einen Gedanken daran\nverschwendet.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08ヴェイル\nAugenblick. Ich... ich habe jemanden getötet?\nWen?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08リュール\nHör auf damit! Du weißt genau, was du getan\nhast! Wie kannst du es wagen, dich hier blicken\nzu lassen?!\x0E\x04\x02\x00
MID_ED1_#023	Du hast meine Mutter getötet und die Ringe\ngestohlen.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0A\x08ヴェイル\nDas habe ich nicht. Das habe ich nicht. Bitte\nglaube mir.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08リュール\nDir glauben? So, wie ich glaubte, wir seien\nFreunde? Den Fehler werde ich nicht noch\neinmal machen.\x0E\x04\x00\x00
MID_ED1_#026	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir müssen etwas tun!\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nLasst sie gehen. Vermutlich ist das eine Falle.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr habt recht.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, geht es Euch gut?\x0E\x04\x00\x00
MID_ED1_#031	\x0E\x03\x02\x0A\x08リュール\nMir geht es gut. Aber ich schwöre, wenn ich\nVeyle das nächste Mal sehe, dann...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x02\x00
MID_ED2_#002	Ich habe getötet? Ringe gestohlen?\x0E\x04\x02\x00
MID_ED2_#003	Weshalb sollte ich so etwas tun? Ich verstehe\ndas nicht!\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nLady Veyle! Endlich habe ich Euch eingeholt.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Griss. Du bist das.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x06\x04グリ\nIhr seid aber wirklich schwer zu finden. Wieso\nseid Ihr verschwunden? Ich bin fast ausgerastet.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x0A\x08ヴェイル\nPapa hat dir befohlen, mich zurück nach Hause\nzu schleifen, nicht wahr?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x06\x04グリ\nEr sagte mir... Hm?\x0E\x04\x02\x00
MID_ED2_#009	Oh, jetzt verstehe ich, was hier abgeht.\nNa, großartig... Ihr seid die andere.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde nicht zurückgehen, egal, was du\nsagst. Papa wird mich nur etwas Grausames\ntun lassen.\x0E\x04\x02\x00
MID_ED2_#011	Als er endlich erwacht war, dachte ich, wir\nwürden endlich Zeit miteinander verbringen.\nAber nein.\x0E\x04\x02\x00
MID_ED2_#012	Er sagte mir immer, ich solle \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\ntöten oder das und das Schloss angreifen.\nNun, das will ich nicht!\x0E\x04\x02\x00
MID_ED2_#013	Ich bin keine schlechte Person. Egal, was all\ndiese Leute gesagt haben.\x0E\x04\x02\x00
MID_ED2_#014	Selbst \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin war böse auf mich.\nUnd ich dachte, wir wären Freunde.\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x06\x04グリ\n\x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sagte, Ihr wärt Freunde?\nMoment... Ihr seid \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin begegnet?!\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x0A\x08ヴェイル\nM-hmm.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x06\x04グリ\nOh, das ist... eine verzwickte Sache.\x0E\x04\x02\x00
MID_ED2_#018	Seht mal, was immer diese Leute Euch auch\ngesagt haben – es ist nicht wahr. Sie bilden sich\ndiese Dinge ein.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08ヴェイル\nMeinst du?\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x02\x06\x04グリ\nAber natürlich. Wie könntet Ihr etwas\nSchreckliches getan haben und es dann\nvergessen?\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x0A\x08ヴェイル\nStimmt... Stimmt! Das könnte ich nicht!\x0E\x04\x02\x00
MID_ED2_#022	Hätte ich es nur eher erwähnt, dann hätte es\ndieses schreckliche Missverständnis nicht\ngegeben.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x06\x04グリ\nWollt Ihr versuchen, noch mal mit \x0E\x0A\x00\x10\x06ihm\x06ihr zu reden?\nUm die Dinge geradezurücken?\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08ヴェイル\nJa, das habe ich vor... Sollst du mich nicht\nzurückbringen?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x06\x04グリ\nWenn es das ist, was Ihr wollt, dann helfe ich.\nWenn einer loyal ist, dann ich.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x02\x0A\x08ヴェイル\nGut... Danke, Griss. Ich scheine dich falsch\neingeschätzt zu haben.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x06\x04グリ\nDann ist es abgemacht. Auf nach Firene.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x0A\x08ヴェイル\nFirene? Warum dorthin?\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x06\x04グリ\nWeil \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin dorthin geht.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x0A\x08ヴェイル\nWoher weißt du das?\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x06\x04グリ\nKommt, die Zeit drängt! Wir müssen zum Hafen\nund die Segel setzen.\x0E\x04\x02\x00
MID_ED2_#032	Ihr wollt doch die Sache wieder reparieren,\noder nicht?\x0E\x04\x00\x00
MID_ED2_#033	\x0E\x03\x02\x0A\x08ヴェイル\nJa... das will ich. Du hast recht, wir haben keine\nZeit zu verlieren!\x0E\x04\x00\x00
MID_ED2_#034	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x06\x04グリ\nHehehe. Das wird so richtig interessant.\x0E\x04\x00\x00
