MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nIn der einen Richtung – 1000 Jahre Trennung.\nIn der anderen Richtung – 100 Jahre Bedauern.\x0E\x04\x02\x00
MID_OP2_#020	\x0E\x03\x02\x0C\n青リュール\nIn meiner Welt verweilen Embleme in Arm-\nringen. Du musst sie finden, wenn du erfolgreich\nsein willst.\x0E\x04\x02\x00
MID_OP2_#021	Nun bringe ich dich dorthin. Jene, auf die du\nnach deiner Ankunft triffst, werden dir den\nweiteren Weg weisen.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nWerden wir beide uns wiedersehen?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0C\n青リュール\nDas werden wir nicht. Wir sind uns auch\nniemals begegnet.\x0E\x04\x02\x00
MID_OP2_#024	Nicht einmal in diesem Moment.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08リュール\nDeine Worte sind so kryptisch. Und doch habe\nich das Gefühl, dass ich dich wiedersehen\nwerde.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0C\n青リュール\nNun geh. Ich danke dir – und wünsche dir\nalles Glück für die Schlachten, die vor dir liegen.\x0E\x04\x02\x00
MID_OP2_#027	Leb wohl, \x0E\x0A\x00\x16\x08mein\nmeine \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Mein Zwilling\naus einer anderen Welt.\x0E\x04\x02\x00
MID_OP2_#028	Ich hoffe, du findest auf deiner Reise Freude,\nLeid, Trauer... und Liebe.\x0E\x04\x02\x00
MID_OP2_#029	Denn ich werde nichts mehr fühlen. Ich werde\nniemals wieder erwachen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_イル\x021\n\x0E\x06\x00*\x0EE001_イル\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x06\x00*\x0EE001_エル\x18MPID_Unknown\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nAh!\x0E\x04\x02\x00
MID_OP3_#002	So hell...\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x10\x0EE001_イル\nSchwester, es hat funktioniert! Unsere Gebete\nwurden erhört!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x10\x0EE001_エル\nNach all diesen langen Jahren.\x0E\x04\x02\x00
MID_OP3_#005	Endlich ist \x0E\x0A\x00:\x1Eunsere Retterin\x18unser Retter erschienen.\x0E\x04\x02\x00
MID_OP3_#006	Huch. Ihr...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE001_イル\nIst das...\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08リュール\nWo bin ich?\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE001_エル\nIhr befindet Euch auf Schloss Lythos. Wir haben\nEure Ankunft lang erwartet.\x0E\x04\x02\x00
MID_OP3_#010	Vielen Dank, dass Ihr unsere Gebete erhört habt.\x0E\x04\x02\x00
MID_OP3_#011	\x0E\x06\x00 \x0EE001_エル\x0EMPID_El\nIch bin Nel, eine der Drachen, die hier leben.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x06\x00 \x0EE001_イル\x0EMPID_Il\n\x0E\x03\x02\x10\x0EE001_イル\nUnd ich bin Nil, ihr Zwillingsbruder.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08リュール\nSchön, dich kennenzulernen, Nel. Und dich, Nil.\x0E\x04\x02\x00
MID_OP3_#014	Ich bin \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE001_エル\nOh... \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x10\x0EE001_イル\nIhr seid also \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE001_エル\nDas Schicksal hat eine grausame und rätselhafte\nEntscheidung gefällt.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE001_イル\nÄhm. Es ist so eine Freude zu sehen, dass Ihr\nwiedergeboren wurdet.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08リュール\nWiedergeboren? Was hat das...\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE001_エル\n\x0E\x0A\x00\x10\x06Die\x06Der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott ist verstorben.\x0E\x04\x02\x00
MID_OP3_#021	Ihr seid im letzten Krieg gefallen. Seit dieser\nZeit wird unsere Welt von Finsternis verzehrt.\x0E\x04\x02\x00
MID_OP3_#022	Wir haben lange gebetet, ein Retter möge uns\nhelfen. Und Euer Erscheinen scheint die Ant-\nwort auf unsere Gebete zu sein.\x0E\x04\x02\x00
MID_OP3_#023	Bedauerlicherweise. Ich hätte es vorgezogen,\nEuch nie wiederzusehen.\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE001_イル\nNel!\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x10\x0EE001_エル\nAber wir benötigen dringend Hilfe. Und wir\nkönnen es uns nicht erlauben, wählerisch zu\nsein.\x0E\x04\x02\x00
MID_OP3_#026	Mehr habe ich dazu nicht zu sagen. Bitte folgt\nmir.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x10\x0EE001_イル\nEs tut mir so leid, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Sie regt sich\nmehr darüber auf, als ich es erwartet hatte.\x0E\x04\x02\x00
MID_OP3_#028	Sie und \x0E\x0A\x00\x10\x06die\x06den \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott verbindet eine etwas\nkomplizierte Geschichte.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_エル\nDies ist unsere Kammer der Armringe. Hier\nbewahren wir unsere Emblem-Armringe sicher\nauf.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nAh.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE001_エル\nAuf dem Podest liegt der Armring des\nerhabenen Hirten.\x0E\x04\x02\x00
MID_OP4_#004	Es ist der einzige Armring in unserem Besitz.\nDie Embleme darin schlafen in Sicherheit.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x10\x0EE001_イル\nEs gibt insgesamt sieben Armringe.\x0E\x04\x02\x00
MID_OP4_#006	Wir haben die anderen sechs während des\nKrieges mit Sombron verloren.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nAlso existiert er in eurer Welt ebenfalls...\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE001_エル\nIch werde es der Reihe nach erklären.\x0E\x04\x02\x00
MID_OP4_#009	Die ersten Drachen wurden vor Tausenden von\nJahren geboren, von ihnen stammen die Wyrm-\ngötter und die Dämonendrachen ab.\x0E\x04\x02\x00
MID_OP4_#010	Für eine Weile herrschte Frieden – bis die\nDämonendrachen anfingen, sich ihrer\nEroberungs- und Zerstörungslust hinzugeben.\x0E\x04\x02\x00
MID_OP4_#011	Angesichts dieser Bedrohung für die Welt\nbeteten die Wyrmgötter und die Völker dafür,\ngerettet zu werden.\x0E\x04\x02\x00
MID_OP4_#012	Und die Rettung kam in Gestalt von Wesen aus\nanderen Welten, die wir als Embleme kennen.\x0E\x04\x02\x00
MID_OP4_#013	Die Embleme sind die Manifestation dieser\ninbrünstigen Gebete für den Frieden.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x10\x0EE001_イル\nMeine Schwester und ich haben vor Eurer\nAnkunft eben jenen alten Gebetsritus vollzogen.\x0E\x04\x02\x00
MID_OP4_#015	Wir nahmen an, es würde ein neues Emblem\nerscheinen, um uns zu retten.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x0A\x08リュール\nUnd stattdessen habt ihr mich bekommen.\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x10\x0EE001_イル\nJa, das war ein ziemlicher Schock! Ich bin\nimmer noch ganz außer mir.\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x02\x10\x0EE001_エル\nDie Embleme konnten dem Kämpfen ein Ende\nsetzen, aber nur für eine gewisse Zeit.\x0E\x04\x02\x00
MID_OP4_#019	Vor ungefähr tausend Jahren trachtete Sombron\ndanach, die Embleme für seine eigenen Zwecke\nauszunutzen.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x02\x10\x0EE001_イル\nWir erlebten den Krieg hautnah. Es war\nfurchtbar. Der gesamte Kontinent wurde zu\neinem einzigen Schlachtfeld.\x0E\x04\x02\x00
MID_OP4_#021	Die Dämonendrachen, die Wyrmgötter und\nHerrscherfamilien kämpften um die Embleme,\nbis alle Seiten erschöpft waren.\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x02\x10\x0EE001_エル\nDoch als wir kurz davor waren, ausgelöscht zu\nwerden, errangen die Wyrmgötter einen\nentscheidenden Sieg.\x0E\x04\x02\x00
MID_OP4_#023	Lumera, die Wyrmgottkönigin, nahm den\nDämonendrachen Sombron gefangen – und gab\ndabei ihr Leben.\x0E\x04\x00\x00
MID_OP4_#024	\x0E\x03\x02\x0A\x08リュール\nMeine Mutter ist vor tausend Jahren gestorben?\x0E\x04\x00\x00
MID_OP4_#025	\x0E\x03\x02\x10\x0EE001_エル\nIhr Opfer brachte dem Volk Frieden, auch wenn\nes ihren Tod betrauerte.\x0E\x04\x02\x00
MID_OP4_#026	Aber es war \x0E\x0A\x00V,ihre Nachfolgerin, die&ihr Nachfolger, der die Wunden\ndes Landes heilte und Wohlstand zurück-\nbrachte.\x0E\x04\x00\x00
MID_OP4_#027	\x0E\x03\x02\x0A\x08リュール\n\x0E\x0A\x00B"Ihre Nachfolgerin\x1CIhr Nachfolger... Du meinst \x0E\x0A\x002\x16die nächste\x18den nächsten\n\x0E\x0A\x00<\x1EWyrmgottkönigin\x1AWyrmgottkönig?\x0E\x04\x00\x00
MID_OP4_#028	\x0E\x03\x02\x10\x0EE001_エル\nJa. Euch.\x0E\x04\x00\x00
MID_OP4_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP4_#030	\x0E\x03\x02\x10\x0EE001_イル\nLumera folgte ihr eigenes Kind nach,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP4_#031	\x0E\x03\x02\x0A\x08リュール\nAlso bestieg ich nach ihrem Tod den Thron...\nDiese Geschehnisse unterscheiden sich so\nsehr von der Geschichte meiner Welt.\x0E\x04\x00\x00
MID_OP4_#032	\x0E\x03\x02\x10\x0EE001_イル\nIhr habt wunderbar geherrscht.\x0E\x04\x02\x00
MID_OP4_#033	Unter Eurer Herrschaft schien es, als würde der\nFrieden in der Welt ewig währen.\x0E\x04\x02\x00
MID_OP4_#034	Aber es sollte nicht sein. Letztendlich kehrte\nSombron zurück und ein neuer Krieg begann.\x0E\x04\x00\x00
MID_OP4_#035	\x0E\x03\x02\x10\x0EE001_エル\nWer auch immer es schafft, alle sieben erwach-\nten Embleme zusammenzuführen, dem wird\nunermessliche Macht zuteilwerden.\x0E\x04\x02\x00
MID_OP4_#036	Sombron wollte diese Macht dazu verwenden,\nRache zu nehmen und die Ehre der Dämonen-\ndrachen wiederherzustellen.\x0E\x04\x02\x00
MID_OP4_#037	Um dieses Ziel zu erreichen, war er bereit,\ndie ganze Welt in Brand zu setzen.\x0E\x04\x00\x00
MID_OP4_#038	\x0E\x03\x02\x0A\x08リュール\nUnd ich vermute, ich habe diesen Krieg\nverloren.\x0E\x04\x00\x00
MID_OP4_#039	\x0E\x03\x02\x10\x0EE001_エル\nNein... Nicht direkt. Ihr und Sombron... habt\nEuch gegenseitig erschlagen.\x0E\x04\x02\x00
MID_OP4_#040	In der Nacht des entscheidenden Kampfes seid\nIhr und er in demselben Moment verschwunden.\x0E\x04\x00\x00
MID_OP4_#041	\x0E\x03\x02\x0A\x08リュール\nDer Dämonendrache ist also bereits fort?\x0E\x04\x02\x00
MID_OP4_#042	Aber wer ist es dann, der eure Welt in Gefahr\nbringt?\x0E\x04\x00\x00
MID_OP4_#043	\x0E\x03\x02\x10\x0EE001_エル\nEin unbekannter Frevler, der sich anschickt,\ndie Wünsche des verstorbenen Sombron\nzu verwirklichen.\x0E\x04\x00\x00
MID_OP4_#044	\x0E\x03\x02\x10\x0EE001_イル\nDiese Person kommt und geht, ohne eine\nSpur zu hinterlassen. Wir wissen nicht, wo sie\nsich befindet oder wie sie aussieht.\x0E\x04\x02\x00
MID_OP4_#045	Alles, was wir mit Sicherheit sagen können, ist,\ndass dieses Individuum plant, genau wie Som-\nbron damals, die Sieben Armringe zu sammeln.\x0E\x04\x02\x00
MID_OP4_#046	Wir gehen davon aus, dass sich bereits zwei\nArmringe in seinem Besitz befinden.\x0E\x04\x00\x00
MID_OP4_#047	\x0E\x03\x02\x0A\x08リュール\nEiner ist auf Schloss Lythos, zwei sind in feind-\nlicher Hand... Wo befinden sich die anderen\nvier?\x0E\x04\x00\x00
MID_OP4_#048	\x0E\x03\x02\x10\x0EE001_エル\nJede der vier Nationen von Elyos besitzt einen\nArmring.\x0E\x04\x02\x00
MID_OP4_#049	Einst kämpften sie alle unter einem Banner,\naber Euer Tod änderte alles.\x0E\x04\x02\x00
MID_OP4_#050	Nun, da niemand mehr da ist, der sie vereint,\nstreiten sich die Kleinen – die Menschen –\nuntereinander.\x0E\x04\x02\x00
MID_OP4_#051	Bis jetzt haben sie sich noch alle zurückge-\nhalten. Aber dennoch könnte jederzeit ein Krieg\nausbrechen.\x0E\x04\x00\x00
MID_OP4_#052	\x0E\x03\x02\x10\x0EE001_イル\nIch weiß nicht, ob die Armee \x0E\x0A\x00<\x1Cder Wyrmgöttin\x1Cdes Wyrmgottes\njemals wahrhaft geeint war.\x0E\x04\x02\x00
MID_OP4_#053	Ich sah, wie sie darüber stritten, in diesem\nSchloss hier, welche Nation die Schuld an\nEurem Tod trage.\x0E\x04\x02\x00
MID_OP4_#054	Was natürlich absurd war. Keiner trug die\nSchuld dafür.\x0E\x04\x00\x00
MID_OP4_#055	\x0E\x03\x02\x10\x0EE001_エル\nNun, da \x0E\x0A\x00\x1A\nunser\x0Cunsere \x0E\x0A\x00 \x0CRetter\x10Retterin zu uns gekommen ist,\nist es geboten, dass wir die Armringe in unseren\nBesitz bringen.\x0E\x04\x02\x00
MID_OP4_#056	Der Konflikt, dem wir über Jahre ausgewichen\nsind, wird bald schon unvermeidlich sein.\x0E\x04\x02\x00
MID_OP4_#057	Es mag sein, dass Ihr mit Gegnern die Klinge\nkreuzen müsst, die Euren Freunden und Ver-\nbündeten ähnlich sind.\x0E\x04\x00\x00
MID_OP4_#058	\x0E\x03\x02\x0A\x08リュール\nIch verstehe. Ich werde mich für diese\nMöglichkeit wappnen.\x0E\x04\x02\x00
MID_OP4_#059	Und ihr... ihr seid beide Wyrmgötter wie ich?\x0E\x04\x00\x00
MID_OP4_#060	\x0E\x03\x02\x10\x0EE001_エル\nWie kommt Ihr darauf?\x0E\x04\x00\x00
MID_OP4_#061	\x0E\x03\x02\x0A\x08リュール\nDu hast gesagt, ihr wärt Drachen – und da ihr\nauf Schloss Lythos lebt, habe ich das einfach\nangenommen.\x0E\x04\x00\x00
MID_OP4_#062	\x0E\x03\x02\x10\x0EE001_エル\nEure Annahme ist falsch.\x0E\x04\x00\x00
MID_OP4_#063	\x0E\x03\x02\x10\x0EE001_イル\nSie will damit sagen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, dass wir--\x0E\x04\x00\x00
MID_OP4_#064	\x0E\x03\x02\x10\x0EE001_エル\nPasst auf! Assassinen!\x0E\x04\x00\x00
MID_OP4_#065	\x0E\x03\x02\x10\x0EE001_イル\nNel!\x0E\x04\x00\x00
MID_OP4_#066	\x0E\x03\x02\x0A\x08リュール\nSie ist ein Dämonendrache!\x0E\x04\x00\x00
MID_OP4_#067	\x0E\x03\x02\x10\x0EE001_エル\nNicht nur ich, mein Bruder ebenfalls. In dieser\nWelt werden Dämonendrachen als Zwillinge\ngeboren.\x0E\x04\x02\x00
MID_OP4_#068	Während des letzten Krieges haben wir uns\nvon Vater losgesagt. Wir kämpfen nun gegen\nunsere irregeleitete Verwandtschaft.\x0E\x04\x00\x00
MID_OP4_#069	\x0E\x03\x02\x10\x0EE001_イル\nIch kann mich nicht verwandeln, aber das hält\nmich nicht davon ab, an Nels Seite zu kämpfen.\x0E\x04\x00\x00
MID_OP4_#070	\x0E\x03\x02\x0A\x08リュール\nDämonendrachenzwillinge...\x0E\x04\x00\x00
MID_OP4_#071	\x0E\x03\x02\x10\x0EE001_エル\nIch nehme an, ich bin einfach davon ausge-\ngangen, dass Ihr bereits wüsstet, was wir sind.\x0E\x04\x02\x00
MID_OP4_#072	Ich habe mich wohl geirrt.\x0E\x04\x02\x00
MID_OP4_#073	Wenn Ihr uns nicht helfen wollt, dürft Ihr\ngehen. Wir werden diese Welt allein verteidigen.\x0E\x04\x00\x00
MID_OP4_#074	\x0E\x03\x02\x0A\x08リュール\nNein... Ich werde mit euch kämpfen.\x0E\x04\x02\x00
MID_OP4_#075	Ich schere mich nicht um eure Herkunft. Wenn\nihr diese Welt wirklich beschützen wollt, werde\nich \x0E\x0A\x00B euer Verbündeter\x1Eeure Verbündete sein.\x0E\x04\x00\x00
MID_OP4_#076	\x0E\x03\x02\x10\x0EE001_イル\nDa bin ich froh. Lasst uns gemeinsam in die\nSchlacht ziehen, so wie in alten Zeiten!\x0E\x04\x00\x00
MID_OP4_#077	\x0E\x03\x02\x10\x0EE001_エル\nZeigt uns, was in Euch steckt, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Wir\nwerden sehen, ob Ihr wirklich die Antwort auf\nunsere Gebete seid.\x0E\x04\x00\x00
MID_EV0_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_エル\x02t\n\x0E\x05\x01\x1C\x0EE001_エル\nAngry\n\x0E\x03\x02\x10\x0EE001_エル\nDer Gegner hat es bestimmt auf den Armring\ndes erhabenen Hirten abgesehen.\x0E\x04\x02\x00
MID_EV0_#002	Wir müssen ihn aufhalten, bevor er zum Armring\ngelangen kann.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nRelax\n\x0E\x03\x02\x14\x12E001_Boss\nHehehehe.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nSind sie nicht niedlich? Aber passt gut auf. Ihre\nBeißerchen werden garantiert Spuren hinter-\nlassen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_イル\x02t\n\x0E\x05\x01\x1C\x0EE001_イル\nAngry\n\x0E\x03\x02\x10\x0EE001_イル\nDer Fluch, den die Reißzähne verursachen, lässt\nsich mit meinem Stab „Erneuerung“ aufheben.\nGebt ihn jemandem, der ihn zu nutzen weiß!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nSmile\n\x0E\x03\x02\x14\x12E001_Boss\nEs wird nicht leicht, sich gegen diesen hier zu\nbehaupten. Vor allem nicht, da ihn die Macht\nmeines Emblems schützt.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nGebt mir den Armring.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01&\x12E001_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E001_Boss\nBist du... \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nJa. Und ich werde jetzt den Armring wieder\nan mich nehmen.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01\x1E\x12E001_Boss\x08Pain\n\x0E\x03\x02\x14\x12E001_Boss\nDu hast gewonnen... dieses Mal.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_イル\nHmpf. Der Feind ist entkommen! Ich hatte\nwirklich gehofft, endlich zu erfahren, mit wem\nwir es zu tun haben.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nZumindest konnten wir ihm den Armring wieder\nabnehmen, den er bei sich trug.\x0E\x04\x02\x00
MID_ED1_#003	Das ist...\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x10\x0EE001_エル\nDer Armring der Vorfahrin. Er sieht anders aus\nals damals... als wir ihn das letzte Mal sahen.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nHm... Vielleicht kann uns dieses Emblem etwas\nüber seine Zeit in Feindeshand sagen.\x0E\x04\x02\x00
MID_ED1_#006	Ich beschwöre es, damit wir uns unterhalten\nkönnen.\x0E\x04\x02\x00
MID_ED1_#007	Huch! Das ist seltsam...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE001_エル\nWas denn?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nDie Anrufung offenbart sich mir nicht. Vielleicht\nweil ich neu in dieser Welt bin.\x0E\x04\x02\x00
MID_ED1_#010	Aber das ist gar nicht gut. Die Aufgabe eines\njeden Wyrmgottes ist... das Beschwören von\nEmblemen.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nWyrm... gottes?\x0E\x04\x02\x00
MID_ED1_#012	\x0E\x03\x00\x16\x10E001_敵チキ\x024\n\x0E\x06\x00&\x10E001_敵チキ\x12MPID_Tiki\n\x0E\x03\x02\x12\x10E001_敵チキ\nIch bin Tiki. Bist du auch ein Wyrmgott wie ich?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nNun...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x10\x0EE001_イル\nUnmöglich. Embleme in diesem Zustand sollten\nnicht in der Lage sein, zu sprechen.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nHallo, Emblem Tiki.\x0E\x04\x02\x00
MID_ED1_#016	Es mag sein, dass ich dich noch einmal be-\nschwören kann, aber die Anrufung offenbart\nsich mir nicht. Kennst du sie?\x0E\x04\x00\x00
