MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nSo ist es gut. Immer weiter so, Kleine. Dann\nschaffst du es!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nIch habe diese verwelkte Blume hier draußen\ngefunden, und sie tat mir so leid, also habe ich\nsie mit einer Stütze aufgerichtet und gegossen...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nUnd tatsächlich ging es ihr von Mal zu Mal\nwieder besser.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nHahaha, oh! Du meine Güte.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nIch weiß, ich weiß. Es ist echt komisch, so sehr\nan einer schlichten Wildblume zu hängen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nKeineswegs. Ich finde, du hast hier etwas\nWundervolles getan, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nOh? Wirklich? Nun, äh... danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nWäre es wohl in Ordnung, wenn ich ebenfalls\nüber diese Blume wachen würde?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nKlar, das wäre toll!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nHahaha, diese Blume ist bestimmt froh, einen\nsolch emsigen Beschützer gefunden zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHallo, Clanne. Wie ergeht es denn heute unserer\nguten Wildblume?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nSie hat sich vollständig erholt! Sieh nur, wie\nkräftig sie aussieht. Ich denke, die Stütze kann\nich auch bald entfernen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nWelch großartige Neuigkeiten! Das hat sie alles\ndeiner harten Arbeit und Sorgfalt zu verdanken.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nDas war nicht nur ich. Du hast sie ja auch\nbesucht. Bestimmt hat ihr das ebenfalls\ngeholfen, wieder zu Kräften zu kommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nOh, ich habe nur ab und an vorbeigeschaut. Du\nhast die eigentliche Arbeit geleistet.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nDa fällt mir ein: Ich hatte etwas beiseitegelegt,\ndas ich dir überreichen wollte, wenn die Blume\nwieder gesund ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nHier. Dies ist eine Belohnung für all die Mühen,\ndie du dir gemacht hast, um die Blume wieder\ngesund zu pflegen. Du hast es dir verdient!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\n\x0E\x0A\x00B\x1ABeim Wyrmgott$Bei der Wyrmgöttin! Das ist...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nEs ist eine Blumenbrosche! Ist sie nicht\ngeradezu makellos?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nDie sieht... ECHT teuer aus. Ähm, ich glaube\nnicht, dass ich das annehmen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nAch, so teuer war sie gar nicht. Außerdem finde\nich, du solltest für deine Arbeit belohnt werden!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nTut mir leid, Citrinne, aber ich habe dieser\nkleinen Wildblume ja nicht geholfen, weil ich\neine Belohnung dafür wollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nIch hoffe, es ist nicht unhöflich von mir\nabzulehnen. Aber... Oooh, es tut mir so leid...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nIst schon in Ordnung, Clanne! Ich bin dir nicht\nböse, versprochen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nIch sollte mich dafür entschuldigen, wie ich an\ndiese Situation herangegangen bin. Offenbar bin\nich wieder einmal zu weit gegangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nWas meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nMit meinen Gesten des guten Willens offenbare\nich meistens bloß anderen gegenüber, was für\nein privilegiertes Leben ich bisher geführt habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nMir ist bewusst, dass ich daran arbeiten muss,\nund ich versuche es ja auch, aber... es gelingt\nmir einfach nicht so recht.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nCitrinne? Alles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nBitte mach dir meinetwegen keine Sorgen.\nIch sollte nun gehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nEs macht mich glücklich, die Wildblume so\ngesund und munter zu sehen. Das hast du gut\ngemacht, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nAch, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x04\x03\x04
MID_RELIANCE_A_#002	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh! Clanne! Schön, dich hier zu treffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nHi, Citrinne! Lange nicht gesehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nIch wollte dich schon seit Längerem fragen, wie\nes der Wildblume ergangen ist. Ist sie noch\nwohlauf?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nAh, leider nicht... Sie hat wieder zu welken\nbegonnen und dieses Mal scheint nichts zu\nhelfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh nein! Das ist ja furchtbar...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nIst schon in Ordnung. Es war einfach an der Zeit\nfür die Blume zu gehen. Die Natur nimmt eben\nihren Lauf.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nGib doch nicht auf, Clanne! Uns fällt schon\netwas ein, um sie wieder aufzupäppeln. Lass\nmich nachdenken...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nVielleicht könnte ich besonders nährstoffreiches\nDüngemittel importieren! Damit wäre es gewiss\nmöglich--\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nJa. Natürlich. Dieses Problem lässt sich nicht\nmit Geld allein aus der Welt schaffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nAber irgendetwas muss ich doch unternehmen!\nAll deine harte Arbeit schwindet dahin... Du\nmusst untröstlich sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nWeißt du, was? Eigentlich bin ich vor allem\ndankbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nWieso denn das?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nIch finde, die gemeinsame Pflege dieser Blume\nhat uns einander nähergebracht. Dafür bin ich\ndankbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne... Das ist lieb von dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nHier. Diesmal will ich dir etwas geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nDas sind Samen der Wildblume. Ich habe sie\naufgelesen, bevor die Blume wieder einging.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nSo kann die Blume also weiterleben! Wunderbar!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nDieses Geschenk ist wertvoller als jedes Juwel\nund jeder Edelstein. Ich finde es wirklich schön.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nSag, wärst du bereit, mir beim Einpflanzen\ndieser Samen zu helfen?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nKlar doch! Wir können sie in ganz Somniel\naussäen, sodass bald überall Wildblumen\nblühen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nJa, unbedingt! Oh, und... Clanne? Ich hoffe, du\nkannst im Gegenzug dieses Geschenk von mir\nannehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nDas ist ja wieder die Brosche. Aber ich dachte...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nDiesmal will ich sie dir nicht als Belohnung für\ndeine Mühen geben. Ich wünsche mir einfach\nnur so, dass du sie besitzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nHahaha, na gut. In dem Fall werde ich sie\nakzeptieren. Danke, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nDanke, dass du sie annimmst, Clanne.\x0E\x04\x00\x00
