MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrinzessin Hortensia! Ihr seid hoffentlich nicht\ngerade beschäftigt, oder? Lasst uns ein\nTässchen Tee trinken.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHe! Warum helft Ihr nicht Prinzessin Timerra?!\nNehmt ihr die Last von den Schultern!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nHahaha. Autsch. Das hat gesessen!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nNun, lasst mich wissen, wenn Ihr Eure Meinung\nändert und Lust auf einen Tee – nur einen Tee –\nhabt. Man sieht sich.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHallo, junge Frau. So ganz allein hier?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nDa ist Prinz Fogado. Im Gespräch mit einer\nDame.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie es aussieht, macht er ihr auch gerade\nAvancen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas ist mir ja ein schöner Prinz – dem werde ich\nwas husten!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x04\x03\x04
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr habt ihr nur geholfen, etwas zu tragen?\nDas war alles?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nJa, sicher. Was verärgert Euch daran denn so?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs tut mir leid. Ich hatte nicht erwartet,\ndass Ihr den Leuten helft...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nIch habe doch gesagt, dass ich auf Patrouille in\nder Stadt bin. Und das ist der Zweck dieser\nPatrouille – den Leuten zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch glaube, ich sollte mich dafür entschuldigen,\ndass ich an Euch zweifelte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nAch, das passt schon. Das bin ich gewohnt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nIn diesem Fall möchte ich Euch gerne begleiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nWirklich? Wunderbar. Wann kommt Ihr also für\nein Tässchen Tee?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein, Ihr Dummerchen. Ich begleite Euch dabei,\nden Leuten zu helfen!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nHahaha! Ach, so habt Ihr das gemeint.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nAlso gut, ich freue mich darauf.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUff.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch muss gestehen, Ihr seid schon irgendwie\nfantastisch!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nOh, Ihr seid in mich verliebt? Ich fürchte, ich\nmuss Euer junges Herz aufs Höflichste\nenttäuschen...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nPfui! Nein! So meine ich das nicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nHahaha, tut mir leid, war keine Absicht.\nWas wolltet Ihr sagen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr habt wirklich ein offenes Ohr für die Sorgen\ndes Volkes. Prinzessin Timerra kann sich\nglücklich schätzen, Euch zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch helfe meiner Schwester auch, aber nur mit\nden Sachen, die innerhalb des Palastes\ngeschehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMit Euch durch die Stadt zu streifen hat mich\nviel darüber gelehrt, wie es im Rest der Welt\nist.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch frage mich, ob ich Ivy wirklich helfen\nkonnte... oder ob ich mir die ganze Zeit etwas\nvorgemacht habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nOh, das Gefühl kenne ich. Das Eimergefühl.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nEimer... was?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nMeine Schwester trägt sehr viel Verantwortung.\nUnd ich kann ihr nur sehr wenig helfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nEs ist, als ob ich versuchen würde, eine Sand-\ndüne für sie zu bewegen. Aber alles, was ich\ntragen kann, ist ein Eimerchen voll Sand.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm. Ihr habt recht...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm-hm.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nWisst Ihr, Ihr seid eigentlich richtig klasse.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nSchön, dass es Euch aufgefallen ist. Heißt das,\nunsere Teestunde steht?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nHihihi, anderes Thema.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber ich helfe Euch bei Eurer Patrouille, so viel\nIhr mögt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nJa, das nehme ich auch. Dann wollen wir mal!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nAuf geht's, Team Eimer!\x0E\x04\x00\x00
