MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nWir sind da. Innerhalb dieser Mauern sind wir\nsicher.\x0E\x04\x00\x00
MID_OP2_#013	Doch viele haben versucht, die Ringe zu stehlen,\num sie für ihre eigenen schändlichen Vorhaben\nzu nutzen.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nDeshalb werden sie an vielen verschiedenen\nOrten auf dem ganzen Kontinent bewahrt, nicht\nnur hier.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ルミエル\nGanz genau. Diese Ringe bieten ihre Macht nur\nalle tausend Jahre an.\x0E\x04\x02\x00
MID_OP2_#016	Wenn dies geschieht, reist der Wyrmgott durch\nganz Elyos, um die Ringe von den Regenten\naller Nationen zu empfangen.\x0E\x04\x02\x00
MID_OP2_#017	Seit dem letzten Mal sind tausend Jahre vergan-\ngen, daher wollte ich diesem Ritual schon bald\nnachgehen.\x0E\x04\x02\x00
MID_OP2_#018	Doch wenn es der Dämonendrache auf die\nRinge abgesehen hat, könnten die Embleme\nschon vorher beschworen werden...\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\n„Beschworen“?\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08ルミエル\nAuf diese Weise ruft man ein Emblem aus\neinem Ring herbei. So, wie du es bereits mit\nMarth getan hast.\x0E\x04\x02\x00
MID_OP2_#021	Nur jene mit königlichem Drachenblut sind\nfähig zu beschwören. Dazu zählst auch du,\nmein Kind.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nOh... Du meinst bestimmt diesen Spruch, der\nmir in den Sinn kam.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0A\x08ルミエル\nDu meinst eine Anrufung? Wie lautete sie?\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\n„Strahle hell, Emblem der Anfänge.“\x0E\x04\x02\x00
MID_OP2_#025	Ich habe darüber nicht einmal nachgedacht,\ndie Worte kamen einfach so über meine Lippen.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0A\x08ルミエル\nSo hast du also Marth beschworen.\x0E\x04\x02\x00
MID_OP2_#027	...\x0E\x04\x02\x00
MID_OP2_#028	Worauf lag dein Fokus – was lag in deiner\nAbsicht – als du diese Worte gesprochen hast?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0A\x08リュール\nIch wollte Clanne und Framme helfen.\x0E\x04\x02\x00
MID_OP2_#030	Ich wollte sie nicht verlieren. Ich wollte sie\nbeschützen.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x0A\x08ルミエル\nDein Fokus lag darauf, anderen zu helfen.\nErinnere dich an diese Absicht, wann immer du\nEmbleme beschwörst.\x0E\x04\x02\x00
MID_OP2_#032	Du wolltest die Macht nicht für dich, verstehst\ndu? Du wolltest sie ausborgen. Zum Schutze\nanderer.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x0A\x08リュール\nIch verstehe.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x0A\x08ルミエル\nNun, warum versuchen wir uns nicht mal an\neinem Übungskampf? Du musst doch nach all\nden Jahren etwas eingerostet sein.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08ルミエル\nLass uns hier trainieren. Du bist \x0E\x0A\x00\x10\x06der\x06diejenige, \x0E\x0A\x00\x10\x06der\x06die\nkämpft. Die Embleme leihen dir nur ihre Stärke.\x0E\x04\x02\x00
MID_OP3_#002	Du musst deinen Körper und deinen Geist\ntrainieren, wenn du die volle Macht der\nEmbleme entfesseln willst.\x0E\x04\x02\x00
MID_OP3_#003	Vander, Clanne, Framme. Ihr werdet\nmeinem Kind hilfreich zur Seite stehen\nin diesem Kampf... gegen mich.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nKönigin Lumera, selbst in einem Übungskampf\nkönnte ich meine Waffe nicht gegen Euch\nrichten.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08ルミエル\nOh, Vander... Bitte gebt alles. Ich werde es\ngewiss tun.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nDas sind... Verzerrte?\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08ルミエル\nNein, mein Kind. Ganz und gar nicht. Wie kannst\ndu das nur denken? Ich habe diese Gegner aus\nPflanzen und Steinen erschaffen.\x0E\x04\x02\x00
MID_OP4_#003	Dennoch besitzen sie die gleichen Fähigkeiten\nwie echte Verzerrte. Sei unachtsam, und du\nkönntest verletzt werden.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\nSie sind wirklich verstörend. Können wir nicht\nmit etwas anderem trainieren? Sie jagen mir\neinen Schauer über den Rücken.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0A\x08ルミエル\nHör zu. Du musst deine Angst besiegen, egal,\nwelcher Gegner vor dir steht.\x0E\x04\x02\x00
MID_OP4_#006	Laufe nicht davon. Du bist mein Kind,\n\x0E\x0A\x000\x14Beschützer\x18Beschützerin von allem – \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nIch verstehe.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x02\x08\x06フラン\nKeine Sorge, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Wir geben Euch auf\njedem Schritt des Weges Rückendeckung.\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x00\x0C\x06クラン\x023\n\x0E\x03\x02\x08\x06クラン\nJa genau! Wie Framme sagt!\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nSo sehr es mir zuwider ist, gegen Königin\nLumera zu kämpfen... Befehl ist Befehl.\x0E\x04\x02\x00
MID_OP4_#011	Ich gelobe, uns den Sieg zu bringen.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch allen.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x0A\x08ルミエル\nNun, fangen wir an.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nPasst auf, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Einige dieser Gegner\nführen Waffen für Distanzangriffe bei sich.\x0E\x04\x02\x00
MID_EV1_#002	Somit können sie uns aus der Ferne mit Pfeilen\nübersäen.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x18\x08ルミエル\x0CStatus\n\x0E\x03\x02\x0A\x08ルミエル\nSiehst du den Gegner mit der Axt? Axtträger\nsind im Nachteil, wenn sie gegen einen\nKontrahenten mit einem Schwert kämpfen.\x0E\x04\x02\x00
MID_EV2_#002	Schwerter sind stark gegen Äxte, Äxte gegen\nLanzen, und Lanzen gegen Schwerter.\x0E\x04\x02\x00
MID_EV2_#003	Wenn du deinem Gegner überlegen bist, kannst\ndu seine Haltung brechen. Das gibt dir einen\nVorteil im Kampf.\x0E\x04\x02\x00
MID_EV2_#004	\x0E\x05\x01\x16\x08ルミエル\nRelax\nVersuch es mal. Greife mit deinem Schwert an.\nWenn seine Haltung gebrochen ist, ist er\nanfällig für einen erneuten Angriff.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x16\x08ルミエル\nSmile\n\x0E\x03\x02\x0A\x08ルミエル\nGut gemacht, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_EV3_#002	\x0E\x05\x01\x18\x08ルミエル\x0CStatus\nHast du gesehen? Schwerter sind gegenüber\nÄxten im Vorteil, sie sind stärker. Behalte diese\nWaffenvorteile stets im Hinterkopf.\x0E\x04\x02\x00
MID_EV3_#003	Gegner, die ihre Haltung wiederfinden müssen,\nkönnen keinen Gegenangriff ausführen. Das\nist die Chance, sie zu besiegen!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x14\x06フラン\nSmile\n\x0E\x03\x02\x08\x06フラン\nAh! \x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x12Göttliche\x12Göttliche hat mich direkt angesehen!\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x16\x06フラン\x0CStrike\nWisst Ihr, ich kann mit meinem Stab ganz klasse\nheilen.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x16\x06フラン\x0CStatus\nNicht nur das – ich kann auch Treffer abfangen,\ndie für Verbündete in meiner Nähe gedacht\nwaren. Aber das tut weh...\x0E\x04\x02\x00
MID_EV4_#004	\x0E\x05\x01\x18\x06フラン\x0EStandBy\nWie dem auch sei, wenn Ihr unverletzt bleiben\noder zusammengeflickt werden möchtet, dann\nverlasst Euch auf mich.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x14\x06クラン\nSmile\n\x0E\x03\x02\x08\x06クラン\nHey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ich weiß gar nicht, ob Ihr das\nwusstet, aber ich kann Magie anwenden.\x0E\x04\x02\x00
MID_EV5_#002	\x0E\x05\x01\x14\x06クラン\nRelax\nIch kann aus der Nähe oder aus der Ferne\nangreifen, und selbst gut geschützte Gegner\nbereiten mir keine Probleme!\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nEs wird Zeit, dass ich mich ins Gefecht stürze.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x16\x08ルミエル\nRelax\n\x0E\x03\x02\x0A\x08ルミエル\nDas war eine fantastische Leistung. Ihr habt\ngroßartig gekämpft.\x0E\x04\x02\x00
MID_EV7_#002	\x0E\x05\x01\x18\x08ルミエル\x0CStatus\nMachen wir weiter. Bitte wartet dort drüben für\neinen Moment.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nAlso gut. Wenn jeder auf seiner Position ist,\nfangen wir an.\x0E\x04\x02\x00
MID_EV8_#002	\x0E\x05\x01\x1A\x08ルミエル\x0EStandBy\nDieses Mal werde ich mehr geben. Ich werde\nkämpfen, als sei es eine echte Schlacht.\x0E\x04\x02\x00
MID_EV8_#003	\x0E\x0B\x00n
MID_EV8_#004	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nIst das der Ring des Heiligen Ritters?\x0E\x04\x00\x00
MID_EV8_#005	\x0E\x0B\x01>
MID_EV8_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x02\x0A\x08ルミエル\n...\x0E\x04\x02\x00
MID_EV9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02b\n\x0E\x03\x02\x0A\x08シグルド\nIch bin Sigurd. Wenn Ihr Stärke und\nSchnelligkeit benötigt, so will ich Euch meine\ngerne leihen.\x0E\x04\x00\x00
MID_EV9_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x03\x02\x0A\x08リュール\nEmblem Sigurd. Er sieht aus, als sei er ein\nstarker Gegner.\x0E\x04\x00\x00
MID_EV9_#003	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nJedes der Embleme besitzt seine eigenen\nFähigkeiten.\x0E\x04\x02\x00
MID_EV9_#004	Wenn du mit einem der Embleme verbündet\nbist, kannst du all ihre Kräfte und Fähigkeiten\nnutzen.\x0E\x04\x00\x00
MID_EV9_#005	\x0E\x03\x02\x0A\x08リュール\nWas immer Sigurds Kräfte sein mögen, sie\nwerden sich wohl von Marths Kräften unter-\nscheiden.\x0E\x04\x02\x00
MID_EV9_#006	Wir bleiben besser auf Zack.\x0E\x04\x00\x00
MID_EV10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x18\x06マルス\x0EStandBy\n\x0E\x03\x02\x08\x06マルス\nMein Rapier ist effektiv gegen Berittene – so\nwie dieser Gegner dort drüben.\x0E\x04\x02\x00
MID_EV10_#002	\x0E\x05\x01\x14\x06マルス\nRelax\nWenn Ihr ein Bündnis mit mir eingeht, könnt Ihr\nmeine Waffe verwenden. Versucht es doch mal\nbei dem Gegner dort.\x0E\x04\x00\x00
MID_EV11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nEure Zusammenarbeit ist anregend. Es wird\nnun Zeit, unseren Zug zu machen.\x0E\x04\x02\x00
MID_EV11_#002	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nKommt, Sigurd.\x0E\x04\x00\x00
MID_EV12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nDas war unglaublich!\x0E\x04\x00\x00
MID_EV12_#002	\x0E\x03\x00\x10\nヴァンドレ\x02b\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nLord Sigurd ist enorm flink. Wir sollten dankbar\nsein, dass dies nur ein Übungskampf ist...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01 \x12M002_ルミエル\nRelax\n\x0E\x03\x02\x14\x12M002_ルミエル\nHalte dich nicht zurück, mein Kind.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nAlso gut!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDas ist viel schwerer als vorher.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStrike\n\x0E\x03\x02\x14\x12M002_ルミエル\nDeine Gegner werden unnachgiebig sein, und\nich ebenfalls. Deswegen musst du mich hier\nbesiegen.\x0E\x04\x02\x00
MID_BT2_#003	\x0E\x05\x01 \x12M002_ルミエル\nRelax\nWelche Freude, dich nach all den Jahren wieder\nim Kampf zu sehen.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x16\nヴァンドレ\x08Pain\n\x0E\x03\x02\x0C\nヴァンドレ\nKönigin Lumera, bitte verzeiht, dass ich mich\nEuch entgegenstelle.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01 \x12M002_ルミエル\nRelax\n\x0E\x03\x02\x14\x12M002_ルミエル\nVander, Ihr seid der Ritter meines Kindes – Ihr\nmüsst diese Rolle so gut ausfüllen, wie Ihr\nkönnt.\x0E\x04\x02\x00
MID_BT3_#003	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nGreift mich an, mit allem, was Ihr habt.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x10\x06クラン\x06Sad\n\x0E\x03\x02\x08\x06クラン\nKönigin Lumera, ich möchte Euch nicht\nangreifen. Argh, mir ist schwindelig...\x0E\x04\x00\x00
MID_BT4_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nKonzentriere dich, Clanne, ansonsten wird dein\nAngriff fehlgehen.\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x14\x06フラン\nAngry\n\x0E\x03\x02\x08\x06フラン\nIch möchte nicht respektlos erscheinen, Königin\nLumera, aber ich muss Euch angreifen!\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nDas ist die richtige Einstellung, Framme.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01\x1E\x12M002_ルミエル\x08Pain\n\x0E\x03\x02\x14\x12M002_ルミエル\nUff...\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nIhr habt gewonnen. Zu sehen, wir Ihr alle so\nwunderbar zusammenarbeitet, erfüllt mich\nmit Stolz.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\x0E\x05\x00\x18\x08ルミエル\x0CAppeal\nDas war ein guter Kampf. Ihr habt Sigurd und\nmich besiegt – das ist eine echte Leistung.\x0E\x04\x02\x00
MID_ED1_#002	Es gibt noch einiges, das verbessert werden\nmuss, aber das war ein wundervoller Anfang.\nGut gemacht, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nDanke!\x0E\x04\x00\x00
