MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIhr scheint müde zu sein, Milady Nel. Vielleicht\nsolltet Ihr pausieren und etwas zu Euch nehmen.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIch habe bereits eine Menge Schlachten ge-\nschlagen. Es ist immer besser, einen Verbünde-\nten an der Seite zu haben, als allein zu kämpfen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nWenn ich so stark und mutig wäre wie Ihr,\nhätte ich bestimmt nie den Wunsch, einfach\nwegzurennen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEs nützt nichts, sich so etwas vorzustellen. Ich\nhabe meine Rüstung und meine Kraft, und du\nhast deine Strategie.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nWir müssen unsere Stärken bündeln, dann\nkönnen wir unsere Schwäche gegenseitig aus-\ngleichen. Nur so kann man richtig kämpfen!\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nUnsere Stärken bündeln... Ja, das ergibt Sinn.\nIch werde einen Weg finden, wie wir unser\nVorgehen optimieren können!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nStimmt etwas nicht, Madeline? Du starrst mich\nso an. Habe ich irgendetwas an mir?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNein. Mir ist nur aufgefallen, dass Ihr Euch trotz\nder schweren Ausrüstung leichtfüßig bewegt.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDu hast das Talent, in jedem das Beste zu\nerkennen. Ich glaube, ich kann eine Menge\nvon dir lernen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nVon mir? Lernen? Ihr seid zu gütig, Sir Hector.\nICH muss noch viel von EUCH lernen.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nマデリーン\nSir Hector, ich muss einfach das Geheimnis\nerfahren, wie man eine so heldenhafte Figur\nwird wie Ihr.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nGeheimnis? Ich habe kein Geheimnis...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nIch kämpfe einfach für jene, die ich beschützen\nmöchte und denke, „Auf keinen Fall lasse ich zu,\ndass auch nur einer von ihnen tot zurückbleibt!“\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nJene, die Ihr beschützen wollt... Könnte es das\nsein? Ich lerne noch, daher lasst uns nochmals\ngemeinsam kämpfen.\x0E\x04\x00\x00
