MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDank dir weiß ich nun, dass ein Moment ohne\nGrazie noch nicht das Ende einer Freundschaft\nbedeutet.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nGenau. Für wahre Freunde zählt mehr als nur\nsolche Oberflächlichkeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDürfte ich mich bei dir bedanken, indem ich dir\nein köstliches, selbst gemachtes Gericht\nzubereite?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nJa! Liebend gern!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch werde etwas mit dem Rest der Äpfel\nzubereiten, die wir gesammelt haben. Es wird\nsowohl lecker als auch nahrhaft sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nOooh, ich kann's kaum abwarten! Das wird\nsuper!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu solltest deine Erwartungen etwas drosseln.\nEs wird höchstens so gut wie das Essen eines\nSpitzenrestaurants.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nHöchstens so gut, was? Hihihi, du bist ja echt\nzuversichtlich, was deine Kochkünste angeht.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch entschuldige mich bereits, falls der Genuss\nmeines Gerichts deinen Geschmackssinn so ver-\nwöhnt, dass fortan alles andere fade schmeckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nHihihi! Freut mich zu sehen, dass du wieder\nganz die Alte bist, Goldmary.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nUnd ich bin schon ganz gespannt darauf, was\ndu für mich kochst!\x0E\x04\x00\x00
