MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHallo, Clanne. Was hast du denn da?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06クラン\nMilady Veyle, die scharfen Chili-Gewürzgurken\nsind endlich fertig!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOooh, wie aufregend! Darf ich sie probieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nNa ja, sie sehen schon erschreckend scharf aus,\naber, ähm... Klar! Greift ruhig zu und probiert\neine!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nMilady Veyle! Geht es Euch gut? Soll ich\nHilfe rufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nSie sind so...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nOje, oje, oh nein! Ich hole sofort Hilfe!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nMir... Mir geht's gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSie sind nur so unglaublich gut!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nDavon könnte ich endlos viele essen!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nIhr seht aus, als hättet Ihr ganz schreckliche\nSchmerzen! Geht es Euch wirklich gut? Sagt es\nruhig.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAaah... Ich fühle mich besser denn je!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nClanne, du musst dein neues Rezept unbedingt\nselbst probieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nHm?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNein, keine Sorge. Sie sind wirklich, wirklich\ngut.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nOh... Na dann... Ich meine, wenn Ihr sagt,\ndass sie gut sind...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nMmm... Mmmmmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nHa-haaa... haaah... Scharf, scharf! Scharf!\nScharf, scharf!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nSehr scharf, aber... Langsam kann ich meinen\nMund wieder spüren. Und ich kann auch schon\nwieder was schmecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nIhr hattet recht. Die sind wirklich, wirklich gut!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nSiehst du? Bist du nicht froh, dass du etwas\nNeues ausprobiert hast?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nAusnahmsweise bin ich das mal!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\n…\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nIhr habt mich dazu ermutigt, noch bessere\nGewürzgurken zu machen. Doch nun möchte\nich Euch eine kleine Aufgabe stellen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nOooh! Hast du etwas noch Schärferes für mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nNein, keine Gewürzgurken. Ich hatte mich nur\ngefragt, ob Ihr nicht vielleicht meine Schwester\nsein möchtet.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nOh!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クラン\nAlso natürlich nicht in echt, sondern einfach\nnur so tun, als wären wir Bruder und... na ja,\nältere Schwester eben.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06クラン\nIhr habt mir geholfen, bessere Gewürzgurken\nzu machen, also will ich Euch dabei helfen,\nEuch als Geschwister besser zu fühlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nDas wäre schön...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nAber ist das wirklich in Ordnung? Wäre das\nnicht etwas zu viel verlangt?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クラン\nLasst es mich Euch noch einmal sagen, Milady\nVeyle. Ihr habt mir eine völlig neue Art gezeigt,\nwie ich Gewürzgurken herstellen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クラン\nDas ist das Mindeste, was ich tun konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ヴェイル\nOh, verstehe. Nun, dann... ja. Ich werde deine\nSchwester sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06クラン\nNa dann, willkommen in der Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nAlso ich bin die große Schwester und du der\nkleine Bruder?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06クラン\nMeine Schwester ist von uns beiden die\nJüngere, deshalb wollte ich immer ein älteres\nGeschwister, um zu sehen, wie das so ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ヴェイル\nUnd ich habe kein jüngeres Geschwister, also ist\ndas perfekt. Von nun an bist du mein kleiner\nBruder.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06クラン\nDanke, große Schwester!\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ヴェイル\nHihihi, fühlt sich schon etwas seltsam an,\n„große Schwester“ genannt zu werden.\nSeltsam... aber gut.\x0E\x04\x00\x00
