MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nWarum solltet Ihr das tun? Nur keine Sorge, ich\nwerde schon dafür sorgen, dass Ihr Spaß habt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nÜberlasst das aaalles einfach mir! ARUUU!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nJ-ja. Natürlich. Awuuu...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nIch habe ein Klingeln in den Ohren... und ganz\nweiche Knie... und bereue es so sehr...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nWarum? Warum nur habe ich es ein zweites\nMal ausprobiert? Ich wusste doch schon, dass\nich da nicht hingehöre.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAR-AR-ARUUU!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nOh. Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nPrinz Alcryst! Diesmal hattet Ihr Euren Spaß,\nrichtig? Ich konnte sehen, wie Ihr Euch auf der\nTanzfläche unter die anderen gemischt habt!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nIch habe mich ihnen angeschlossen und\nversucht zu tanzen, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nNun, ich kann nur annehmen, dass ich einfach\nunfähig bin, an einer Party Gefallen zu finden.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nWieso sagt Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nIch hatte keine Ahnung, was ich dort überhaupt\ntun sollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nAlle um mich herum haben sich mit Leichtigkeit\ngedreht und sind herumgewirbelt. Ich kenne\nnur die formellen Tänze!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nUnd das Geheule! Ich verstehe nicht, warum\njeder ständig geheult hat! In meinem Schädel\nsirrt es richtig...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nAh. Jetzt erkenne ich das Problem.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nHört zu, Euer Hoheit. Ich habe vergessen, Euch\netwas zu sagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nAuf einer Party müsst Ihr Euch über das Was,\nWarum und Wie keine Gedanken machen.\nSo tiefsinnig ist das nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nWirklich? Bist du sicher?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nJepp. Es gibt keine richtige Art zu tanzen. Und\nwas das Heulen angeht... Das bedeutet gar\nnichts!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAlso sind all das Geschrei und das Tanzen...\nabsichtlich chaotisch? Die Leute geben das nur\nvor?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nGanz genau. Es geht darum, sich in der\nBewegung zu verlieren und Spaß zu haben.\nAnsonsten ist alles erlaubt.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nIch habe so sehr versucht, eine Struktur bei\ndieser Party zu erkennen, im Verhalten und\nin den Bewegungen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nIch war immer nur in meinem Kopf, niemals\nauf der Tanzfläche. Ich habe die Spontanität\nausgeschlossen!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パンドロ\nVersuchen wir es noch einmal! Ihr, ich, ein\nfester Rhythmus und zwei ganz leere Köpfe!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\nARUUU!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nAwuuu!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nEuer Hoheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nPandreo...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nAWUUU!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nHahaha! ARUUU!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nDiese Party war unglaublich! Ich hatte so viel\nSpaß!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nIch habe geschrien, bis ich außer Atem war.\nMein Körper hat von ganz allein getanzt\nund sich hin und her bewegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nUnd ich hatte so, so viel Spaß!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nSo fühlt es sich also an, wenn man eine Party\nfeiert... Es fühlt sich an, als habe ich eine neue\nWelt betreten!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nOh, jaaa! Willkommen in der wilden Welt der\nPartys!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nVielen Dank, dass du mich hineingeführt hast,\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nIch war schon wieder kurz davor zu flüchten.\nIch fing an zu tanzen und fühlte mich so\ngehemmt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nAber dann habe ich dich gesehen – du hast\nherumgefuchtelt, deinen Körper verbogen, ohne\neine Spur von Befangenheit getanzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nAuf einmal überkam ich eine Welle der\nErleichterung. Ich habe mein Zögern zur Seite\ngeschoben und einfach... getanzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nDank deiner unkontrollierten und unvorherseh-\nbaren Bewegungen beim Tanz war ich endlich\nin der Lage, mich zu amüsieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nWisst Ihr, das ist lustig.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nMeine Freunde machen sich über die Art wie\nich tanze, lustig. Sie nennen das den Tanz der\nFinsternis.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nAber heute wurde daraus der Tanz des Lichts.\nEr strahlte ein intensives helles Licht auf Eure\nSeele.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nJa! Genau so fühlte sich es an, Pandreo!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nPartys sind eine wundervolle Sache. Ich weiß,\nwir haben gerade eben erst eine verlassen,\naber können wir bald eine andere Party feiern?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nWir werden zu so vielen Partys gehen, wie Ihr\nmöchtet, Kumpel! Es taucht stets eine neue\nParty am Horizont auf.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nPandreo, ich... ich...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nLasst es einfach geschehen, Euer Hoheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nAWUUU!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nARUUUUU!\x0E\x04\x00\x00
