MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Dies war schon immer unser\nSchicksal.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nMhm! Ich bin dem kleinen Kerl zufällig begegnet,\nund da habe ich die Chance ergriffen, ihn auf\nPapier zu verewigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nUnd auch noch so detailgetreu. ...Du weißt\ngenau, wie sehr ich seltene Viecher liebe!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nIch gebe es ungern zu, Rosado...\nDeine niedliche Zeichnung hat mein Herz\ngefesselt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nDann habe ich wohl gewonnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nNicht so schnell. Du hast noch gar nicht\ngesehen, was ich mitgebracht habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nEine ornamentale Haarnadel. Und in den\nMustern ist eine detaillierte Wyverndarstellung\neingearbeitet!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nOh nein. Oh nein! Aaah, das ist ja mit Abstand\ndas Lässigste, das ich jemals gesehen habe!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nIch weiß doch, dass du ein großer Wyvernfan\nbist. Dein Herz hat keine Chance.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nIch meine, schau nur. Jeder einzelne Reißzahn\nwurde exakt dargestellt.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nDie Handwerkskunst ist übertrieben magisch.\nUnd natürlich übertrieben lässig!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nArgh... Lässig!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ロサード\nAh... Niedlich!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nDieses Turnier...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ロサード\n...endet unentschieden!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nRosado, ich glaube, ich habe endlich etwas\nbegriffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nWir hatten die lässig-gegen-niedlich-Turniere\njetzt schon so oft, und trotzdem gibt es keinen\nSieger.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nIch stimme zu. Es gibt keinen Ausweg.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nMit jedem lässigen Objekt, das du gebracht\nhast, hast du mich überwältigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nFür mich gilt das Gleiche. Ich schmelze bei\njedem niedlichen Objekt dahin, das du mir\nzeigst.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nWir können nur eines mit Sicherheit sagen.\nLässig und niedlich... sind beide toll!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nJa! Es geht nicht darum, wer von beiden\ngewinnt. Es geht darum, dass beide großartig\nsind!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nEs tut mir leid, dass ich diesen albernen\nWettstreit so sehr in die Länge gezogen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nWas meinst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nDas war es doch wert. Jetzt wissen wir, dass\nlässig und niedlich sich auf Augenhöhe\nbegegnen!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nMoment...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nWas ist, Merrin?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nDu warst gerade total lässig, Rosado.\nViel mehr als ich in letzter Zeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nAh... Das Gleiche könnte ich über dich sagen,\nweißt du! Nur halt über deine Niedlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nDein zufriedenes Lächeln jedes Mal, wenn du\nmich erwischt hast... Das war mehr als niedlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nHahaha. Danke, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nWie klingt das hier? Jeder von uns meistert\nweiterhin seinen eigenen, individuellen,\ngleichermaßen fantastischen Stil.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nKlingt gut. Du bist weiterhin die Herrin des\nLässig, und ich strebe wie zuvor nach den\nhöchsten Höhen des Niedlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nWir können Rivalen sein, die auf unter-\nschiedlichen Pfaden wandeln, und doch\neinander anfeuern.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nJa! Rosado und Merrin, die herzlichsten Feinde\nder Welt!\x0E\x04\x00\x00
