MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa! Hyah! Hopp!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nSo sieht mein Gesicht eben aus, Lapis. Sei nicht\nso gemein.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nTut mir leid, so war das nicht gemeint.\nDu hast mich nur wirklich erschreckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nOh, was für köstlich aussehende Süßkartoffeln!\nKennst du jemanden, der sie dir vom Land\nmitbringt?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nNein. Sie sind, äh... Ich...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nSieht so aus, als hätten deine Eltern sie dir\ngeschickt. Besitzt deine Familie Land neben\neinem Kartoffelhof?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nIch hatte es so verstanden, dass deine Eltern\nin der Stadt leben würden. Stimmt das nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nAlso gut, Citrinne, ich bin ehrlich zu dir. Meine\nEltern leben nicht mal in der Nähe einer Stadt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nMeine Eltern und meine ganze Familie leben\nauf dem Land, wo diese Kartoffeln wachsen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nEhrlich? Aber du hast doch immer gesag--\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nIch habe gelogen. Ich hätte das nicht tun sollen,\naber ich habe es getan. Bitte erzähl niemandem\ndavon, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nWerde ich nicht. Natürlich nicht. Aber ich bin\nverwirrt. Warum solltest du deswegen lügen?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nIch habe versucht, mich weniger... nun ja,\nweniger „ländlich“ zu machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nIch mache mir deswegen ständig Sorgen.\nPrinz Alcryst ist königlich, du bist Teil seiner\nentfernten Familie.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ラピス\nEin Bauerntölpel wie ich hat in so einer\nnoblen Umgebung nichts verloren.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\nLapis! Das ist doch nicht wahr! Es spielt doch\ngar keine Rolle, ob--\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ラピス\nFür mich spielt das eine Rolle. Ich wünschte,\nmein Stammbaum wäre so beeindruckend wie\ndeiner, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nFür mich ist das eben anders.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nシトリニカ\nDu und ich, wir ergänzen uns perfekt.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x08\x06ラピス\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nシトリニカ\nDu meinst, deine Herkunft sei ein Hindernis,\nich denke, meine mangelnde Kraft sei ein\nHindernis.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0C\nシトリニカ\nJede von uns besitzt das, was der anderen\nfehlt.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x08\x06ラピス\nOh. Du hast recht.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0C\nシトリニカ\nDein Geheimnis ist bei mir gut aufgehoben.\nIch lasse dich nun allein. Ich muss schließlich\nmit meinem Mitternachtstraining beginnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nシトリニカ\nGute Nacht, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#035	\x0E\x03\x02\x08\x06ラピス\nNacht, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nDa bist du ja, Citrinne! Ich warte schon.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh? Weshalb denn, Lapis?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nIch hoffe, bei deinem Mitternachtstraining\nmitmachen zu können. Mit einem Partner macht\ndas doch bestimmt viel mehr Spaß, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOje! Aber es wäre doch schrecklich von mir,\nwenn ich dich von deinem Schlaf abhalten\nwürde.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nBitte. Ich bin die Schreckliche hier. Ich fühle\nmich immer noch ganz mies wegen neulich.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nAbgesehen davon finde ich eh keinen Schlaf,\nwenn ich weiß, dass eine gute Freundin von mir\nsich die ganze Nacht abrackert.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nLapis... Du bist so nett.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nIch habe auch etwas mitgebracht, das ich dir\ngeben wollte. Hier, das ist für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nEine Notiz? Nein, eine Adresse. Was ist das?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nDas ist die Anschrift eines Anwesens meiner\nFamilie, im Herzen der Stadt und nicht\nbewohnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nWir haben uns schon lange nicht mehr dort\naufgehalten, es sind nur noch die Bediensteten\ndort.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nAha. Aber warum gibst du mir die Adresse?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nWenn du deine ländlichen Wurzeln verbergen\nmöchtest, musst du darauf aufpassen, woher\ndeine Päckchen kommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nStell es dir als deinen neuen Lieferdienst vor!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nWenn deine Eltern die Päckchen dorthin senden,\nwerden die Bediensteten die Adressen aus-\ntauschen und es hierhin umleiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nDeine Familie kann das Haus auch gerne\nals Ferienhaus nutzen. Oder sogar dorthin\numziehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nSie können das Anwesen nutzen, wie sie\nmöchten.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nHui...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nCitrinne, ich danke dir. Mir war nicht bewusst,\nwie sehr du dich kümmerst.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nDas ist doch nichts. Ich passe doch nur auf eine\nmeiner liebsten Freundinnen auf.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nEs ist ein wunderbares Angebot, aber ich kann\nes nicht annehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nWas? Warum nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nMeine Familie ist nicht nobel, aber ich bin stolz\nauf sie. Ich kann sie nicht bitten, ihre Herkunft\nzu verstecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nIch bin immer noch nervös, dass andere es\nherausfinden könnten. Aber wenigstens muss\nich mir bei dir keine Sorgen mehr machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOje...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nWir sind vielleicht ein Paar, was? Jede\nvon uns hat das, was der anderen fehlt...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nUnd wir helfen, wenn eine von uns Hilfe\nbenötigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nKeine schlechte Arbeitsbeziehung.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ラピス\nÜberhaupt nicht schlecht.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nDenkst du, Prinz Alcryst hatte diese Ausge-\nwogenheit im Sinn, als er uns als seine Getreuen\nauswählte?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nOh, das bezweifle ich. Ich weiß, du fühlst dich\nzu ihm hingezogen, aber so schlau ist Alcryst\nnun auch nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ラピス\nWie bitte? T-tu ich nicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\nDu meine Güte! Du wirst ja rot. Deine Wangen\nsind so rot wie die Teppiche am königlichen\nHof.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06ラピス\nKomm schon. Hör auf, mich zu foppen.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ラピス\nAußerdem sind die Teppiche dort gar nicht so\nrot. Du solltest mal die Tomaten sehen, die bei\nmir zu Hause wachsen!\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nシトリニカ\nOh? Das klingt nach einem schönen\nTagesausflug. Würdest du mir irgendwann\nmal alles zeigen?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06ラピス\nKlar! Aber lass dein Geld zu Hause. Die Bauern\ndort bevorzugen den Tauschhandel.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nシトリニカ\nSo ländlich! Ich wollte den Tauschhandel immer\nschon mal ausprobieren. Ich könnte mich von\neinigen Halsketten trennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06ラピス\nHe, Vorsicht! Mit so guten Sachen würdest\ndu dann bald ein weiteres Anwesen benötigen,\nals Vorratslager für all deine Tomaten!\x0E\x04\x00\x00
