MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr habt die köstlichsten Augen, die\nich jemals sah. Dieses leuchtet wie eine\nKirschtomate.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nIch erweitere seit Jahren minutiös mein\nkulinarisches Vokabular. Wollt Ihr mich nicht\ndarin unterstützen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIch weiß, dass ich deine Ambitionen als\nKüchenchef gelobt habe, aber in diesem Fall\nmuss ich ablehnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch unterstütze deinen Wunsch, Inspiration zu\nfinden, aber es gibt Grenzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nAußerdem kommt es für große Kochkunst noch\nauf anderes an, als nur die Geschmacksnoten zu\nkennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nDas verstehe ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nDas wirst du schon noch. Bis dahin ziehe ich\nmich erst mal um. Bitte entschuldige mich!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nWas hat \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin damit wohl gemeint?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich schulde Euch eine Entschul-\ndigung für meine Unhöflichkeit neulich.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nAber dazu war doch alles gesagt. Und ich habe\nmeine Kleidung waschen lassen. Es ist alles in\nOrdnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nJa, aber das, was Ihr mir gesagt habt – dass zum\nKochen mehr gehört als nur die Geschmacks-\nnoten zu kennen...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nIch habe mich umgehend in mein kulinarisches\nTraining gestürzt, um besser zu verstehen, was\nIhr gemeint habt... was mir fehlt...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nTatsächlich?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nJa. Ich habe mich nach unserem Gespräch in\nder Küche geradezu eingeschlossen, und\nunermüdlich gekocht.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nIch habe mich von früh bis spät bemüht, ein\nvon diesem Soßenfleck inspiriertes Gericht\nzusammenzustellen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nUff. Nur, weil ich etwas gekleckert hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nLeider fand ich keine Antwort. Und an der\nSchwelle der Verzweiflung kam mir der\nGedanke...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\n„Anstatt mich darüber zu sorgen, sollte ich nicht\nlieber ein Gericht kreieren, das \x0E\x0A\x00<\x1Cdem Göttlichen\x1Cder Göttlichen\nschmeckt?“\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nAlso schritt ich zur Tat. Und der Geschmack\ndes Resultats übertraf meine kühnsten\nErwartungen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nDas ist das Geheimnis des guten Kochens, nicht\nwahr? Die Zuneigung zu jenen, für die man\nkocht.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nAbsolut! Da stimme ich zu hundert Prozent zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nLetztlich geht es um die Zuneigung zu anderen;\nnicht darum, alle Geschmacksnoten und\nRezepte unter der Sonne zu kennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, es tut mir leid, dass ich Euch\nUngemach bereitet habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nSchon gut. Sei gewiss, dass ich dich weiterhin\nunterstütze, auch wenn ich eine Grenze ziehen\nmusste.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nIch habe keinen Zweifel: Eines Tages wirst du\nder beste Koch der Welt sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nWisst Ihr, ich habe das Gericht zufällig dabei,\nfalls Ihr es kosten möchtet.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nAber gerne. Mit Vergnügen.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich habe ein völlig neues Gericht\nkreiert.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ボネ\nKostet es, wenn Ihr wünscht. Ich möchte gerne\nhören, was Ihr dazu meint.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEs sieht auf jeden Fall delikat aus. Die Farben\nsind wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04ボネ\nZu den Tomaten und Blaubeeren, die Ihr hier\nseht, haben mich Eure faszinierenden Augen\ninspiriert.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ボネ\nGuten Appetit.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nAlso dann. Vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nDas ist... unbeschreiblich. Besser als alles,\nwas ich jemals gegessen habe!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ボネ\nDas freut mich zu hören. Ich war entschlossen,\ndieses Gericht zu etwas ganz Besonderem für\nEuch zu machen.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ボネ\nWenn ich beim Kochen an Euch denke, wird der\nGeschmack der Speise geradezu... transzendent.\nDas würde ich mir öfter wünschen.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ボネ\nWill heißen, ich möchte beim Kochen... immer\nan Euch denken... wenn Euch das recht ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nMeinst du etwa...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ボネ\nIch meine, dass ich an Eurer Seite bleiben\nmöchte, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x06\x04ボネ\nNatürlich nur, wenn Euch das Essen, das ich für\nEuch bereite, zusagt.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ボネ\nDoch wenn Ihr ablehnt, werde ich mich mit\nFreuden an dieses Gericht erinnern und zu\nmeinen alten Pflichten als Koch zurückkehren.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nOh... Nein.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDas klingt nach der vollkommen falschen Idee.\nBitte, bleib. Ich würde mich sehr über weitere\nleckere Speisen von dir freuen.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nBunet, sogar wenn du mir kein einziges Mahl\nmehr kochen würdest, würde ich mir wünschen,\ndass du bleibst.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nHier, dieser Paktring... ist für dich.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ボネ\nDanke. Dieser Ring ist wunderschön...\ngenau wie Ihr.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVom Kochen abgesehen gibt es so vieles,\nwas wir voneinander lernen können.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x06\x04ボネ\nDarauf freue ich mich, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ボネ\nDieser Augenblick schmeckt nach reiner Süße.\nUnd ich freue mich auf all die Geschmäcke, die\nwir uns gemeinsam erkochen werden.\x0E\x04\x00\x00
