MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\nAh! Ein Verzerrter!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nAlso gut. Nehmen wir mal an, Ihr wüsstet, dass\nIhr gleich eine große, fette Raupe sehen würdet.\nIhr hättet die Gelegenheit, Euch zu wappnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nUnd nun stellt Euch vor, Ihr würdet zu Hause\nEuer Abendessen genießen, und plötzlich\nfällt eine Raupe auf Euren Teller.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nWürde Euch das nicht erschrecken? Würdet\nIhr nicht vor Überraschung aufschreien?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nDas würde ich wohl.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nUnd genau so empfinde ich diese plötzlichen\nAngriffe der sich anschleichenden Verzerrten.\nRaupen, die auf meinen Teller fallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nIch verstehe. Das war eine sehr gute Erklärung,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08リュール\nDas war ein seltsames Beispiel, aber ich bin\nfroh, dass Ihr mir folgen konntet.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid, dass Ihr mich so unbeherrscht\nerleben musstet. Wie unangenehm...\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08リュール\nIch wünschte, ich wäre makellos wie Ihr,\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nMakellos? Hm.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nSo besorgt habe ich Euch bisher noch nie\ngesehen, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Bitte verzeiht. Ich ahnte nicht,\ndass jemand hier sein würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nWas haltet Ihr denn da?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nDies ist eine Medaille. Mein Vater gab sie mir\nvor einiger Zeit. Eine Belobigung des Königs.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nVon König Morion.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIch war während einer erbitterten Schlacht\ngegen Elusia bei unseren Truppen. Wir\nwurden umzingelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nWir mussten uns schnell zurückziehen,\nund so übernahm ich das Kommando, aus reiner\nVerzweiflung.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nNach meiner Rückkehr gab mir mein Vater diese\nMedaille. Ich hatte das Gefühl, er sah in mir\nzum ersten Mal einen Anführer.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAber es gibt Momente, da frage ich mich...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nOb es meine Führungsstärke oder pures Glück\nwar, das uns nach Hause brachte? Vielleicht\nhabe ich das gar nicht verdient.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nAh, selbst der Kronprinz von Brodia erlebt also\ngelegentlich Momente des Selbstzweifels.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nEs tut mir leid, Eure Illusion zerstört zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nUm den Ruf meines Landes zu wahren, muss\nich Euch darum bitten, diese Unterhaltung für\nEuch zu behalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nNatürlich. Ihr saht neulich meinen verwundbaren\nMoment im Angesicht eines Verzerrten. Damit\nhaben wir einen Gleichstand.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nAber eine Sache werde ich dazu noch sagen...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nMmh?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nNun, da ich weiß, dass auch Ihr eine verwund-\nbare Seite habt, fühle ich mich Euch ein wenig\nnäher.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nVerwundbarkeit muss nicht immer schlecht sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nHm. Ihr seid \x0E\x0A\x00t6ein eigentümlicher Anführer:eine eigentümliche Anführerin,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche? Trainiert Ihr?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nJa. Ich werde das Gefühl nicht los, nicht stark\ngenug zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nUm ehrlich zu sein... Ich habe Angst. Ich fühle\nmich schwach. Wie kann ich der Welt in diesem\nZustand Frieden bringen?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nHo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nWas ist, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nDas kam... überraschend. Niemals wäre mir in\nden Sinn gekommen, dass \x0E\x0A\x00\x10\x06der\x06die Göttliche\nderartige Zweifel hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nNatürlich habe ich die. Ich mache mir viele\nSorgen. Mein Teller ist voller Raupen, und\nes fallen stetig mehr darauf!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nIhr wisst, was ich meine, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nJa. Nun verstehe ich auch, was Ihr neulich\nüber Verwundbarkeit sagtet. Auch ich fühle\nmich Euch jetzt irgendwie näher.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nWirklich? Jetzt? Aber Ihr kanntet mich doch\nschon längst von dieser Seite.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nIch floh in solch einer Panik vor dem Verzerrten.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha, ich erinnere mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nIch wollte damit sagen, dass ich mich bei Euch\nso gut aufgehoben fühle, dass ich mit Euch\nmeine größten Sorgen teilen würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn es Euch nicht gäbe, würde ich immer\nnoch meine Medaille in den Händen halten und\nüber meinen Vater nachdenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin daher sehr dankbar. Ich danke Euch,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nMir geht es genauso. Ich weiß es auch zu\nschätzen, einen Verbündeten an meiner Seite\nzu haben, dem ich alles anvertrauen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nIch vermute, wie sind uns in vielem ähnlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nDa könntet Ihr recht haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nDann behalten wir es so bei. So verschlossen\nwir nach außen auch wirken mögen, für ein\nGespräch mit Euch bin ich stets offen.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche? Hättet Ihr Zeit zum Reden?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nSicher. Um was geht es denn, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nIch möchte Euch das hier geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nIhr gebt mir einen Ring?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nDas tue ich. Er wurde aus der Medaille, die\nmein Vater mir gab, gefertigt. Ich ließ diese\neinschmelzen und neu gestalten.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nDie Medaille von Eurem Vater?! Warum habt Ihr\ndas getan? Sie war Euch doch so wichtig.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIn Brodia werden Medaillen und Andenken\numgearbeitet, wenn sie weitergegeben werden.\nDas ist Tradition.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nIch weiß nicht so recht. Ich kann Euch etwas so\nWertvolles doch unmöglich wegnehmen.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nIhr sagtet, wir sollten uns aufeinander verlassen,\nrichtig? Und uns gegenseitig unterstützen.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nBetrachtet dies als ein Unterpfand dieses\nVersprechens. Ich werde immer für Euch da\nsein, wenn Ihr mich braucht.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nVerstehe...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso... Werdet Ihr den Ring annehmen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nNun, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nIch bin nicht sicher, ob ich so ein persönliches\nGeschenk verdient habe.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nIch werde wohl einfach alles dafür tun, um dem\ngerecht zu werden.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso nehmt Ihr ihn an?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDas tue ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin froh, das zu hören, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nEigentlich ist das recht lustig... Ich habe auch\netwas, das ich Euch geben möchte.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nDen Paktring?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch hatte schon länger vor, ihn Euch zu geben,\naber Ihr wart schneller.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nAber dieser Ring ist so wichtig.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nSo wie der Ring, den Ihr mir gegeben habt!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nEs gibt niemanden, den ich lieber an meiner\nSeite hätte, Diamant. Ein Nein werde ich nicht\nakzeptieren.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nKeine Sorge. Ich kämpfe viel zu gerne an Eurer\nSeite um abzulehnen. Ich nehme Euer Geschenk\nan.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nUnglaublich. Es ist, als ob ich die Geschichte\nder Wyrmgötter spüren kann – die Geschichte\nvon Lythos selbst.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nUnd ich spüre die Geschichte Brodias in Eurem\nRing, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nSeine Form mag sich zwischen Vätern und\nSöhnen oft geändert haben, und dennoch\nerzählt er die Geschichte des Königreichs.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nWenn wir hoffen, eigene lohnenswerte Kapitel\nhinzuzufügen, sollten wir einander helfen.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cディアマンド\nDas werden wir. Wenn wir beide zusammen-\narbeiten, dann gibt es nichts, was wir nicht\nschaffen können.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nIch gelobe, Euch zu beschützen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nVon nun an werde ich immer an Eurer Seite\nkämpfen.\x0E\x04\x00\x00
