MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm. Vielleicht geh ich die Sache ganz falsch\nan.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nHalsketten sind beinahe genauso ausgelutscht\nwie Blumen. Die sind kein bisschen spektakulär.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nDie Kunden wollen nichts, das sie überall\nkriegen können. Sie wollen etwas Besonderes,\netwas Einzigartiges.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nSich immer wieder Waren auszudenken, auf die\ndas zutrifft – genau das macht meinen Beruf so\nknifflig.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nAlles klar. Ich werde weiter darüber nach-\ndenken. Uns wird schon noch etwas Gutes\neinfallen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Lady Anna. Ist dir am Ende noch eine\ngute Idee gekommen, was du zum Verkauf\nanbieten könntest?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nNein. Ich steh völlig auf dem Schlauch.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nOh... Weinst du etwa?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06アンナ\nNein!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nAber es macht mich ein bisschen traurig. Weißt\ndu, ich sag immer allen, dass ich nicht bloß ein\nkleines Kind bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nSo was wie das erinnert mich daran, dass ich's\ndoch bin. Ich bin nur ein Kind und daran lässt\nsich nichts ändern.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nDas ist auch der Grund dafür, warum mir kein\neinziges neues Produkt für den Tag der\nLiebenden einfallen will.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nDas tut mir leid, Lady Anna. Aber ich glaube,\ndass ich jetzt weiß, wie ich dir helfen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nHuch?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nIch habe einen Vorschlag, was du verkaufen\nkönntest.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nGenau genommen habe ich schon seit einer\nWeile darüber nachgedacht. Also, es geht um\nkunsthandwerklich gefertigte Halsketten.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nHalsketten schon wieder? Darüber haben wir\ndoch schon gesprochen!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nIch weiß, du hast gesagt, die wären ein ganz\ngewöhnliches Geschenk am Tag der Liebenden.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nAber kunsthandwerkliche Halsketten haben\nimmer etwas Einzigartiges an sich. Das ist es\ndoch, wonach du suchst, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIch glaube mich zu erinnern, dass in deiner\nHeimat die Glasbläserei ein beliebtes\nHandwerk ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nMan braucht dann nur noch eine Schnur und\nfertig ist die Halskette!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nWar die Idee so schlecht?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nNein, nein, sie gefällt mir! Das könnte sich\nwirklich gut verkaufen!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\nDanke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Du hast mir echt auf die\nSprünge geholfen!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nEs freut mich, dass ich dir helfen konnte,\nLady Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nWie läuft's mit den Halsketten?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nHallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ich bin halb fertig damit.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nOh. Die werden ja wirklich hübsch.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nEs war ja deine Idee. Im Ernst, ich bin dir\nwirklich dankbar!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06アンナ\nTut mir leid, dass ich mich neulich beklagt habe.\nWenn das hier klappt, wirst du kein Gemaule\nmehr von mir hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nDas ist sehr erwachsen von dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nObwohl sich ja jeder mal beklagt. Sogar\nErwachsene.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nWenn dich etwas bedrückt, kannst du immer\nmit mir darüber reden.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nIch bin so froh, dass du das sagst! Dafür hast\ndu bei mir echt was gut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nDa fällt mir ein, dass ich die Halsketten\n„Schmuck \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin“ nennen wollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nWa--?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nIch schätze deine gute Absicht, aber vielleicht\nsolltest du ihnen einen Namen geben, der sich\nbesser verkauft.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nDeine Bescheidenheit ist echt süß! Aber ich\nwerde sie auf jeden Fall so nennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nKomm schon! Warum schläfst du nicht noch\nmal drüber? Ich bin mir sicher, dass dir noch\netwas Eingängigeres einfällt!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nLalalala, ich kann dich nicht hören!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nSobald ich mit dem Rest dieser Schätzchen\nfertig bin, werden sie sich wie warme Semmeln\nverkaufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nNun ja, ich schätze, dass ich das mit dem\nNamen durchgehen lassen kann, wenn es dir\nsolche Freude macht.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nIch drücke dir die Daumen, dass das Geschäft\nfloriert, Lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nHeute ist der Tag der Liebenden, nicht wahr?\nWie verkauft sich das neue Produkt?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06アンナ\nSchon ausverkauft.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEcht?!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06アンナ\nJa, echt! Die guten Stücke wurden praktisch aus\nden Regalen gerissen!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nToll. Meinen Glückwunsch, Lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06アンナ\nOhne dich wäre das nie passiert, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAllerdings ist es schade, dass ich keine der\nfertigen Halsketten zu Gesicht bekommen habe.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06アンナ\nEhrlich gesagt... hab ich eine aufgehoben.\nSieh mal.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nOooh! Großartige Arbeit! Kein Wunder, dass\nsie so schnell ausverkauft waren.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06アンナ\nDu kannst sie behalten, wenn du willst.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNanu? Bist du dir sicher?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06アンナ\nDie da war nicht zu verkaufen. Sie ist am besten\ngeworden, darum hab ich sie für dich reserviert.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06アンナ\nHoffentlich gefällt sie dir.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nDas ist die beste Kette? Und es macht dir\nwirklich nichts aus, wenn ich sie nehme?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06アンナ\nSonst hätte ich sie dir wohl kaum angeboten!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06アンナ\nEs ist einfach so... weißt du... ich finde es toll,\ndass du mir so viel hilfst.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDas ist sehr freundlich von dir!\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06アンナ\nWir waren ein gutes Team bei dieser\nProduktidee. Ich bin wirklich dankbar.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06アンナ\nDarum dachte ich mir, dass du die beste Kette\nals Zeichen unserer Freundschaft haben solltest.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nOch.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch bin froh, dass es so gut geklappt hat.\nUnd es ist mir eine Ehre, deine Halskette\nanzunehmen. Danke.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nWeißt du, was? Ich habe auch ein Geschenk für\ndich. Und zwar den Paktring.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06アンナ\nWas?!? Auf keinen Fall! Das Ding ist viel zu\nkostbar!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nGenau darum will ich, dass du ihn bekommst.\nDie besten Waren sind einzigartige Waren,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIch habe ein Erinnerungsstück an unsere\ngroßartige Teamarbeit, also warum solltest\ndu keines haben?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06アンナ\nStimmt... Wir haben einen Riesenerfolg\ngelandet, also macht uns das wohl zu\nGeschäftspartnern.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06アンナ\nSchön, schön, ich nehm ihn ja. Heute ist ja\necht ein toller Tag geworden!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nHahaha, in der Tat!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06アンナ\nAlso dann. Ab morgen haben wir eine Menge\nzu tun.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06アンナ\nZuerst müssen wir Kunsthandwerker finden,\ndie diese Halsketten in Serie fertigen können.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06アンナ\nWenn du vorhin schon dachtest, dass sie sich\ngut verkaufen – warte erst mal ab, bis die Leute\nherausfinden, dass \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin eine trägt!\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nHahaha! Ganz die Geschäftsfrau. Versprich mir,\ndass du dich nie veränderst, Lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nIch kann doch nicht zulassen, dass meine\nGeschäftspartnerin plötzlich zu großzügig\nwird, oder?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06アンナ\nNö! Als Geschäftspartner werden wir Ruhm,\nReichtum und meine Familie finden!\x0E\x04\x00\x00
