MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nIrgendwas würde ich meinen Eltern ja gerne\nschenken, nur was...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nDanke für den Kauf! Warte kurz, dann packe ich\nsie noch direkt in Geschenkpapier ein.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\nDu bist zwar noch jung, aber als Händlerin hast\ndu es echt drauf.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nEins ist sicher: Du hast dir echt verdient, dass\nich dich nicht noch mal bloß „Anna“ nenne!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nVielen Dank noch mal, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nHuch? Wofür?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nIch hab meinen Eltern das Geschenk zukommen\nlassen, das ich bei dir gekauft habe, und sie\nhaben sich in einem Brief dafür bedankt!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nOh, stimmt! Da hattest du dir in der Tat ein\nschönes Geschenk ausgesucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nJepp! Es hat ihnen wirklich gut gefallen, ganz\nwie du's mir versprochen hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nAls Händlerin ist es eben meine Aufgabe, jeden\nKunden zufriedenzustellen! Ich hoffe, das heißt,\ndu wirst noch öfter bei mir einkaufen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nUnd ob! Oh, sieh dir übrigens mal diesen Teil\ndes Briefes meiner Mutter an.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nHm? Was steht denn da...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\n„Die kleine Statue war wirklich hübsch. Bedanke\ndich doch bitte auch bei deiner Freundin Lady\nAnna dafür in unserem Namen.“\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\n„Sie ist hier jederzeit willkommen, wenn du das\nnächste Mal nach Hause kommst.“\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\n„Richte ihr aus, dass sie sich auf eines meiner\nberühmten hausgemachten Gerichte freuen\nkann, falls sie dich begleiten möchte!“\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nMeine Mutter übertreibt übrigens nicht, wenn\nsie ihre eigenen Kochkünste als „berühmt“ be-\nzeichnet. Du solltest auf jeden Fall mitkommen!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nHab ich was Falsches gesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nIch will meiner Familie auch einen Brief\nschreiben!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nOooh, Lady Anna...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nIch hab gar nicht mehr daran gedacht, dass du\nzurzeit allein bist, weit weg von deiner Familie...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nEs tut mir leid, dass ich dich an so was\nTrauriges erinnert hab. Aber es ist schon in\nOrdnung, du hast doch uns!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nDanke, Framme... Das weiß ich zu schätzen,\nehrlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\nRichte deiner Mutter auch ein Dankeschön von\nmir aus. Und schreib ihr, dass ich gerne\nirgendwann mal mitkomme.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nMache ich!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06アンナ\nSo, genug Trübsal geblasen!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06アンナ\nTraurige Gesichter sind schlecht fürs Geschäft.\nMit einem Lächeln verkauft sich alles besser!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nKommt, kommt nur alle her! Tretet näher und\nstaunt!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nHeute gibt es lauter seltene Waren ganz\nbesonders günstig! Und das ist ein einmaliges\nAngebot! Kauft sie jetzt oder bereut es später!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nWie läuft das Geschäft, Lady Anna?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nKönnte nicht besser sein! Meine Waren gehen so\nschnell weg, ich komme mit dem Aufstocken\nkaum hinterher.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nNa dann... hier! Eine kleine Gaumenfreude für\ndie fleißigste Händlerin, die ich kenne.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nSind das etwa Törtchen?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nJepp, mit Zuckerrüben drin! Ich hab sie selbst\ngemacht, daher kann ich mit Gewissheit sagen,\ndass sie superlecker sind!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nDarf ich eins probieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nKlar!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nPrima! Dann wollen wir mal! Mmmpf!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nMjam! Die sind echt lecker!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nHihihi, freut mich, dass sie dir gefallen.\nDas Rezept dafür hab ich von meiner Mutter.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nVon deiner Mutter...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nOh nein! Äh, ich meine... Ich, ähm...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nEs tut mir so leid, Lady Anna! Ich wollte dich\nnicht traurig stimmen!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nOh, ich hab DIE Idee, wie man diese Törtchen\nvermarkten könnte!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\n...Was?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nWir nennen sie „Mamas süße Rübentörtchen“!\nKinder und Erwachsene werden sie\ngleichermaßen lieben!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nOooh, du musst mir unbedingt beibringen, wie\nman sie zubereitet!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nHahaha! Puh, und ich dachte schon, ich hätte\nwieder was Falsches gesagt...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\nMach dir keinen Kopf. Denk daran, was ich\nletztes Mal gesagt hab: Mit einem Lächeln\nverkauft sich alles besser! Stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nAlso setz ich mein Lächeln ein, um tonnenweise\nGold zu scheffeln, womit ich dann die Suche\nnach meiner Familie finanzieren kann!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nOh, das ist ein guter Plan! Ich unterstütz dich\ndabei gerne und bring dir das Rezept bei, damit\ndu ganz viel einnehmen kannst!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nPerfekt! Oh, danke!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nWenn ich diese Törtchen erst mal auf den Markt\ngebracht habe, werden wir nur so in Geld\nschwimmen! Katsching!\x0E\x04\x00\x00
