MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nEs ist an der Zeit, Vorsitzender Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\nNein, total super! Ich hatte was Formelleres im\nSinn, aber so ein lockerer Ansatz ist viel besser!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06クラン\nDas ist genau die Art brillante Idee, die ich von\ndir erwartet habe, Frau Vorsitzende!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nOhne den Vorschlag eines gewissen Herrn\nVorsitzenden wäre ich nie darauf gekommen!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06フラン\nAlles klar, machen wir uns gleich an die Arbeit,\ndamit wir die Broschüren schon bald in der\nganzen Stadt verteilen können!\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06クラン\nÄh, was? In der ganzen Stadt?!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\nDas sind aber viele Leute hier...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nÖhm, ja. Das ist doch der Sinn der Sache.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nDies ist unsere Gelegenheit, allen davon zu\nerzählen, wie großartig \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin ist!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nJa, schon, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nKomm schon, wir haben beide so viel Arbeit in\ndiese Broschüren gesteckt... Jetzt sollten wir sie\nden Leuten auch zeigen!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nOooder wir legen sie einfach ganz\nklammheimlich dort drüben ab und...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nZeit für unseren großen Auftritt!\nIch mach den Anfang.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nAlle mal hergehört! Mein Bruder hat eine\ngaaanz wichtige Ankündigung zu machen!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nPssst, Clanne! Das war dein Stichwort.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nDu hast selbst gesagt, die Leute würden uns für\nVerrückte halten, wenn wir uns nicht richtig\nvorstellen, weißt du noch?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nJa, aber ich bin, ähm... gerade etwas nervös...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nDie starren uns schon alle an! Langsam wird's\npeinlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nNa schön, dann stelle ich uns eben beide vor,\nin Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nJ-ja...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06フラン\nAlso dann! Wir sind Clanne und Framme, die\n33. Behüter \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nUnd wir werden alle Fragen \x0E\x0A\x00\x10\x06zum\x06zur Göttlichen be-\nantworten, die euch immer schon auf der Seele\nbrannten, mithilfe dieser handgebundenen--\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nHalt! Stopp! Das wird nichts!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nWas?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nIch kann das nicht. Nicht vor so vielen Leuten.\nDas ist mir einfach zu peinlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nDie werden uns alle bloß für verrückt halten.\nSo etwas wie die Schuhgröße \x0E\x0A\x00\x10\x06des\x06der Göttlichen\ninteressiert doch ohnehin niemanden!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nUns hat es interessiert!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クラン\nArgh, ich bin so ein Versager... Und ich will ein\nrichtiger Behüter sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\nIch tauge nicht mal als Vorsitzender unseres\nVereins etwas. Es tut mir leid, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nClanne, warte!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\nHngh...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nAlso gut, Clanne. Raus damit. Was bedrückt\ndich?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nIst das nicht offensichtlich? Die Sache mit den\nBroschüren natürlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nIch kann nicht fassen, dass ich zu feige war, sie\nan die Leute zu verteilen. Ich verdiene es nicht,\nmich Verehrer \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin zu nennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nClanne. Verehrst du \x0E\x0A\x00:\x1Cden Göttlichen\x1Adie Göttliche von\nganzem Herzen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nJa, klar. Das weißt du doch.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nNa also. Das ist alles, was zählt!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nDann kannst du dich auch als Verehrer\nbezeichnen. So einfach ist das.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nAber... Aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nEs kommt dabei nicht darauf an, was du tust,\nsondern wie du empfindest.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nWenn dein ganzes Herz vor süßer, drachiger\nLeidenschaft pulsiert, dann bist du auch ein\nVerehrer \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nJa, du hast recht... Du hast recht!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nUnd weißt du, was? Ich werd's noch mal\nversuchen. Und dieses Mal WERDE ich die\nBroschüren verteilen!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nDas ist die richtige Einstellung!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nZuerst sollten wir sie aber noch ein wenig\nüberarbeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nWas, jetzt gleich?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nNatürlich jetzt gleich. Du hast selbst gesagt,\ndass man als Verehrer mit Leidenschaft dabei\nsein soll. Wo ist die Leidenschaft?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nWir sollten unsere Begeisterung zum Ausdruck\nbringen, indem wir über persönliche Erlebnisse\nmit \x0E\x0A\x00\x10\x06dem\x06der Göttlichen schreiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nAußerdem sind gar nicht genug Bilder in der\nBroschüre! Bitten wir jemanden um Hilfe, der\nzeichnen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nUnd wir müssen... mehr Fragen stellen. Wir\nhaben ja nicht mal in Erfahrung gebracht, ob\n\x0E\x0A\x00\x10\x06der\x06die Göttliche Rot oder Blau bevorzugt!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nMeine Güte, jetzt bist du aber motiviert!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nSo kenne und liebe ich meinen fleißigen Bruder!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06フラン\nDas werden die besten Broschüren aller Zeiten.\nVorsitzender Clanne, machen wir uns an die\nArbeit!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nEs ist mir eine Ehre, Vorsitzende Framme!\x0E\x04\x00\x00
