MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHallo, Jean. Du bist ein angehender... Arzt...\nnicht wahr? Würdest du wohl für einen Moment\nhierherkommen?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ジャン\nNichts. Hab bloß mit mir geredet.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ジャン\nAber die sind schon toll. Das hast du gut\ngemacht. Du bist bestimmt 'n toller Arzt.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe die Techniken dafür von meiner\nMutter... gelernt... die eine ausgebildete Ärztin\nwar.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nWie dem auch sei. Wenn sie für dich...\nzufriedenstellend... sind, dann würde ich sie\ngerne in deinen Händen lassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06ジャン\nVielen Dank für die Medizin, Zelkov.\nDu bist wirklich unerwartet nett.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nDanke noch mal für die Medizin. Die hat\nden Leuten gut geholfen. Alle waren sehr\ndankbar dafür.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nDas freut mich zu hören. Meiner Mutter...\ngebührt... der Dank, denn es waren ihre\nRezepte.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nWo ist denn deine Mutter? Ich würde ihr gern\npersönlich danken.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nIch fürchte, das ist leider nicht möglich. Sie\nist vor mehr als eine Dekade... verstorben.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nOh, das wusst ich nicht. Tut mir leid, dass\nich das gesagt habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nMach dir keine Sorgen darüber.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nJemanden wie mich aufzuziehen erforderte\nGüte weit über das übliche Maß hinaus.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nDas Licht ihrer Liebe hatte die Kraft, meine\ndunkelsten Tage zu erhellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nMmh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nWas ist denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nWas du gesagt hast, hat mich an meine eigene\nMutter erinnert.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nSie ist fast so wie deine. Sie hat mich immer\nverwöhnt und mir gezeigt, dass ich geliebt\nwurde.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nHast du ebenfalls deine Mutter... verloren?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nOh, nein, sie lebt noch. Allerdings machen ihr\nseit einiger Zeit ihre Hüften Probleme.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nIch konnt sie in letzter Zeit nicht sehen...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEs muss schwer sein, von ihr... getrennt... zu\nsein.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nMhm. Bald hat sie Geburtstag und ich weiß\nnich', was ich dieses Jahr machen soll.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nGeburtstage feiern wir immer zusammen,\naber dieses Jahr sind wir getrennt.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nVielleicht kannst du ihr einen... Brief...\nschreiben?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nDie Idee ist toll! Wieso hab ich nich' daran\ngedacht? Danke, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nDank ist nicht nötig. Wenn ich ein Kind glücklich\nsehe, ist das... Belohnung... genug.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nAlso... Ich hab meiner Mutter 'nen Brief\ngeschrieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nIch hab vor, den heute abzuschicken, möcht\nihn dir aber vorher noch vorlesen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nNatürlich. Überhaupt kein... Problem.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nDanke. Also, dann...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\n„Liebe Mama. Herzlichen Glückwunsch zum\nGeburtstag! Ich hoffe, es geht dir gut.“\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\n„Hier ist alles in Ordnung. Neulich habe ich\neinen geheimnisvollen Kerl getroffen.“\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nWas? Wer ist diese... geheimnisvolle... Person?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\n„Als er mich das erste Mal angesprochen hat,\nhaben meine Knie gezittert, als er 'Komm her'\nsagte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nEr lächelte etwas, als er näher kam, und redete\ndarüber, dass er mir keine Angst machen wolle.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nIch dachte, 'Nun, immerhin hatte ich ein\nschönes Leben.'“\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nOh. Du sprichst von... mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\n„Aber dann hab ich gemerkt, dass er eigentlich\nein total netter Mann ist.“\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\n„Er ist auch der Grund, warum ich diesen\nBrief an dich schreibe.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nDu hast immer gesagt, man soll niemand beur-\nteilen, bevor man ihn nicht kennengelernt hat –\nund du hattest recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nNun, da ich so weit weg von dir wohne,\nmerk ich, dass du bei vielen Dingen recht\nhattest.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nIch bin glücklich, dass du meine Mama bist.\nIch hoff, du bleibst noch lange, lange\ngesund.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nNächstes Jahr komm ich zu deinem Geburtstag\nnach Hause, das versprech ich dir. Grüß\nPapa lieb von mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nDein Sohn Jean.“\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nDas ist alles. Das ist nich' zu seltsam für einen\nGeburtstagsbrief, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nNatürlich nicht. Ich denke, er ist überaus...\npassend.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nIch bin überrascht, dass ich ein... Thema...\nbin, aber wenn ich einen Eindruck hinterlassen\nhabe, macht es mir nichts aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte schick ihr dies hier auch. Ich nenne es das\n...Obsidian-Öl,\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ジャン\nDiesmal ein Obsidian?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nEs wird von der Haut aufgenommen. Es sollte\ndeiner Mutter bei... Hüftschmerzen... Linderung\nverschaffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nDanke schön, Zelkov. Hierfür und für alles,\nwas du mir gegeben hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nDu kannst mir danken, indem du gut auf deine\nMutter aufpasst.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nIch hatte niemals die Möglichkeit, meinen Eltern\nzu zeigen, wie dankbar ich bin. Ich bedauere\ndas an jedem einzelnen Tag.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nWiederhole nicht den Fehler, den ich gemacht\nhabe. Zeig ihnen, wie sehr du sie magst, solange\nsie noch da sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ジャン\nDas werde ich, Zelkov. Ich werde für uns beide\nein guter Sohn sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ゼルコバ\nDas weiß ich zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ジャン\nUnd noch mehr werde ich dir auch ein guter\nFreund sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06ジャン\nIch hoffe, du kommst das nächste Mal bei mir\nvorbei, wenn du wieder Medizin machst!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nDas bedeutet mir sehr viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nIch wollte sagen, ich werde dein Angebot...\nsehr gerne... annehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nDanke, Jean.\x0E\x04\x00\x00
