MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nVerzeiht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich wollte Euch für Eure\nHilfe neulich in der Schlacht danken.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nAh. Lasst mich nur... eine Weile darüber\nnachdenken. Auf bald, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich habe mir Eure Meinung zu\nGeschenken durch den Kopf gehen lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nIhr sagtet, Ihr bevorzugt Geschenke, die man\nnicht mit Geld kaufen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nBitte verzeiht die Verzögerung. Es fühlt sich an,\nals habe ich Euch Tage, Wochen, Monate warten\nlassen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nSo lang war das gar nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nFür mich fühlte es sich wie eine Ewigkeit an.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nIst Euch eine Idee gekommen?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nIn der Tat. Ich denke, dieses Zeichen meiner\nDankbarkeit ist mehr nach Eurem Geschmack.\nHier, für Euch!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh. Das ist, äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nDas ist ein Kieselstein!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nJa. Das ist definitiv ein Kieselstein.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nIch fand ihn am Rand der Straße, und habe\nnichts dafür bezahlt. Das ist so aufregend!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nKeine Kosten. Kein Wert. Ich bin buchstäblich\nüber das perfekte Geschenk für Euch gestolpert!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nStimmt etwas nicht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nIch habe mich vermutlich nicht richtig\nausgedrückt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nStellt Euch vor, Ihr hättet diesen Kieselstein vor\nlanger Zeit gefunden und behalten. Vielleicht\nist er Euch ans Herz gewachsen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nWenn Ihr mir diesen Kiesel geben würdet,\nder Euch viel bedeutet, würde ich ihn als ein\nwunderbares Geschenk annehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nEiner, der mir viel... bedeutet?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nMit sentimentalem Wert, wisst Ihr? Ein Wert,\nder aus dem Herzen und nicht aus der\nGeldbörse kommt?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nEin Wert, der von Herzen kommt...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nIch glaube, ich verstehe es jetzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nDas nächste Mal werde ich Euch etwas\nanbieten, das Euch wahrlich erfreuen wird.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\nSeid beruhigt, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ich komme wieder!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich bin gekommen, um Euch\ndieses... Geschenk zu geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nOh, Citrinne! Was für ein wunderschöner\nStrauß!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nIch habe an Euch gedacht, bei jeder Blume,\ndie ich pflückte. Ich hoffe, Ihr findet Gefallen\ndaran...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nIhr habt diese Blumen eigenhändig für mich\ngepflückt? Das ist eine wunderschöne Geste\nvon Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nCitrinne? Geht es Euch gut?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nIch hatte einst eine Freundin, die es liebte,\nGeschenke zu bekommen. Sie machte es zu\neinem Spiel, um Dinge zu bitten.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nJedes Geschenk machte sie so glücklich. Mit\nder Zeit wurde es für uns zu einem ganz selbst-\nverständlichen Teil unserer Beziehung.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nEines Tages überraschte ich sie mit einem\nBlumenstrauß ähnlich diesem. Sie hatte um\nein Kleid gebeten...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nAls ich sie fragte, ob ihr die Blumen nicht\ngefallen, wurde sie wütend. Sie sagte, ich sei\nein... Geizkragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nDas ist furchtbar. Habt Ihr mir aus diesem\nGrund solch teure Geschenke machen wollen?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nJa. So ist es.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nMöchte jemand nur Euer Freund sein, wenn\nIhr ihm Dinge kauft, ist es keine echte Freund-\nschaft.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nDiese Blumen sind ein wunderbares Geschenk,\nCitrinne. Sie machen mich sehr, sehr glücklich.\nIch danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nDas freut mich zu hören. Endlich habe ich den\nrichtigen Weg gefunden, meine Dankbarkeit\nauszudrücken.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nDas macht auch mich sehr, sehr glücklich.\nIch danke Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0A\x08リュール\nHier, Citrinne. Seht Euch dies hier mal an.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nシトリニカ\nIst das eine getrocknete Blume? Sie kommt mir\nbekannt vor.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nSie ist aus dem Strauß Blumen, den Ihr mir\nneulich gegeben habt. Ich habe jede Blume\ngetrocknet und als Dekoration verwendet.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Ja, natürlich! Ich bin sehr erfreut zu sehen,\nwie sorgsam Ihr mit diesen Blumen umgegangen\nseid.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nJedes Mal, wenn ich sie erblicke, denke ich an\nEure Warmherzigkeit, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nシトリニカ\nWas für ein schöner Gedanke. Danke, dass Ihr\nihn mit mir geteilt habt.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nIch habe Euch nicht herübergerufen, um Euch\neinfach nur die Blumen zu zeigen.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nHeute habe ich ein Geschenk für Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nシトリニカ\nWirklich? Für mich? Was könnte das wohl sein?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nDies hier. Der Paktring.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nシトリニカ\nBitte?!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nシトリニカ\nAber dieses geschichtsträchtige Kleinod dürfte\nweit mehr wert sein als all meine Reichtümer\nzusammengenommen!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nシトリニカ\nWarum solltet Ihr mir das geben?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nDenkt nicht an den Wert. Ich gebe ihn Euch als\nZeichen unserer Freundschaft.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nIch möchte, dass Ihr meine engste Vertraute\nseid, Citrinne. Seid Ihr bereit, an meiner Seite\nzu gehen und zu kämpfen?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh, meine Güte...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nシトリニカ\nNatürlich bin ich das, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich werde\ndieses Geschenk mit Freuden annehmen.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIch bin so froh, das zu hören.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nシトリニカ\nHeh... Wisst Ihr, ich liebe es, Geschenke zu\nmachen, aber ich bekomme nur selten selbst\neines.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nシトリニカ\nIhr hattet recht, was den ideellen Wert angeht.\nEin Geschenk, das von Herzen kommt, ist\nwirklich ein wunderschönes Geschenk.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch bin ganz Eurer Meinung.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nシトリニカ\nDanke, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00...\nIch muss die glücklichste Person auf der ganzen\nWelt sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nシトリニカ\nWenn der Krieg vorüber ist, bestehe ich darauf,\nEuch zu einem feierlichen Ball zu begleiten. Das\nwird zwar erst in ferner Zukunft sein, aber...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nWarum warten? Wir könnten doch einfach hier\nund jetzt tanzen.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nFeierlich, aber eben nur für uns zwei.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nシトリニカ\nDas würde mir sehr gefallen.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nシトリニカ\nWas für ein wahrhaftiges Geschenk – ich gebe\nEuch meine Unterstützung und Ihr mir die\nEurige... Dies ist unbezahlbar.\x0E\x04\x00\x00
