MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nSu un campo di battaglia lontano da tutto ciò\nche conosci, riuscirai a mostrare il tuo coraggio?\x0E\x04\x02\x00
MID_OP3_#056	\x0E\x03\x02\x14\x12E002_Boss\nE chi ci dà la certezza che non sia un trucco per\nindebolirci e rafforzare così i nostri nemici?\x0E\x04\x02\x00
MID_OP3_#057	Prima mostrateci la prova che avete i bracciali\ndegli altri paesi, poi discuteremo.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE002_エル\nIl Firene è la nostra tappa iniziale. Non abbiamo\nancora rivendicato gli altri bracciali.\x0E\x04\x00\x00
MID_OP3_#059	\x0E\x03\x02\x14\x12E002_Hide\nAllora non abbiamo altro da discutere.\nIn marcia, la Brodia ci aspetta.\x0E\x04\x02\x00
MID_OP3_#060	Il potere del bracciale è un ausilio indispensabile\nalla nostra missione. Non ve lo daremo.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x10\x0EE002_エル\nE così rifiutate di obbedire. Non ci lasciate altra\nscelta, allora.\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x14\x12E002_Hide\nSe desiderate combattere, saremo lieti di\naccontentarvi.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nBasta, smettetela! Non voglio combattere contro\ndi voi.\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x02\x14\x12E002_Hide\nDrago Divino?! No... Non può essere...\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x14\x12E002_Boss\nPerché mi sembra di stare davanti al\nDrago Divino?!\x0E\x04\x02\x00
MID_OP3_#066	Avevate detto che il Drago Divino era morto!\nCi avete mentito?!\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x0A\x08リュール\nNo, io vengo da un altro mondo.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x14\x12E002_Boss\nCosa?\x0E\x04\x00\x00
MID_OP3_#069	\x0E\x03\x02\x14\x12E002_Hide\nBasta, l'unica spiegazione plausibile è che sia\nun'aberrazione.\x0E\x04\x02\x00
MID_OP3_#070	I Draghi Maligni hanno usato la loro vile magia\nper trasformare il defunto Drago Divino in un\nfantoccio nefando.\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\nNon è vero! Ascoltatemi, vi prego!\x0E\x04\x00\x00
MID_OP3_#072	\x0E\x03\x02\x14\x12E002_Hide\nNon ascoltiamo gli impostori!\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x14\x12E002_Boss\nSiete caduti proprio in basso voi due per\ncompiere qualcosa di così turpe solo per rubarci\nil bracciale.\x0E\x04\x02\x00
MID_OP3_#074	Anche le vostre lacrime alla morte del\nDrago Divino erano sicuramente false.\x0E\x04\x02\x00
MID_OP3_#075	Speravo di risolvere le cose pacificamente, in\nnome della nostra vecchia alleanza.\x0E\x04\x02\x00
MID_OP3_#076	Ma il vostro subdolo inganno cambia le carte\nin tavola.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x0A\x08リュール\nNo...\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x14\x12E002_Boss\nCavalieri, tutti ai vostri posti! Assicuratevi che\ni figli di Sombron abbiano la fine che si\nmeritano!\x0E\x04\x02\x00
MID_OP3_#079	Porteremo le loro teste in Brodia, come simbolo\ndella nostra potenza!\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x14\x12E002_Hide\nSì! Questo è l'Alfred che conosco... il\ncondottiero senza paura che tutti chiamano\nil Principe dei Fiori Recisi.\x0E\x04\x02\x00
MID_OP3_#081	Forza, falli cadere uno dopo l'altro come delle\nrose recise, proprio come ai tempi della guerra!\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x14\x12E002_Boss\nDrago Divino, il tuo spirito è prigioniero dentro\nquel corpo, ma io ti libererò.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x0A\x08リュール\nAlfred, no...\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x10\x0EE002_イル\nLo scontro sembra inevitabile.\x0E\x04\x00\x00
MID_OP3_#085	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x18\x16E002_セレスティア\nSapevo che sarebbe successo. Meglio così.\x0E\x04\x02\x00
MID_OP3_#086	Non accetto che qualcuno manchi di rispetto\na lady Nel e lord Nil! Se la vedranno con me!\x0E\x04\x00\x00
MID_OP3_#087	\x0E\x03\x02\x10\x0EE002_エル\nÈ il momento, Drago Divino. Sebbene siano dei\nvolti familiari, sappi che non mostreranno pietà.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01"\x12E002_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E002_Boss\nGli addii sono sempre dolorosi, ma spero\nche almeno non soffrirai nella morte.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nUnità ausiliarie, portate i rifornimenti alle\ntruppe. Avanziamo!\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nÈ tempo di mettermi in marcia.\nNon dimentichiamo di rinforzare le armi.\nDobbiamo annientare questo branco di stolti.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nCi siamo. Aiutami, emblema Hector!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nVediamo se hai coraggio. Ma se speri di battere\nil Generale Audace, ti sbagli.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nLo sapevo... Avrei dovuto restituire il bracciale\nalla fine della guerra...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E002_Hide\nIl Firene è la mia sola priorità. Chi si mette in\nmezzo non ha scampo!\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nNo... Non è giusto. Dovevamo vincere, dovevo\navere una vita felice...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nMa... tu... sei me? Com'è possibile? È un'altra\ndelle malsane illusioni dei Draghi Maligni?\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x16\x0Cアルフレッド\x06Sad\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMmmh... Neanche l'Alfred di questo mondo è\nmuscoloso. Umpf.\x0E\x04\x02\x00
MID_BT5_#003	Possibile che non riesco a mettere su un po' di\nmuscoli nemmeno in un mondo parallelo?\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x03\x02\x14\x12E002_Boss\nChe trucco è mai questo...? Se sei un'illusione,\nti ordino di svanire!\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1A\x0Cアルフレッド\nSmile\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAccipicchia, ha più energia di quanto sembri.\nSarà interessante combattere contro me stesso.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nCéline? Cosa fai nell'esercito nemico?\nDevo avere le traveggole...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nOh, Drago Divino... Mi spezza il cuore vederti\nin questo stato.\x0E\x04\x02\x00
MID_BT7_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nChe peccato...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nAlfred, ti prego di ascoltarmi.\nPreferirei evitare questa situazione...\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\n\x0E\x03\x02\x14\x12E002_Boss\nScommetto che ti hanno suggerito cosa dirmi.\nOh, non ti preoccupare. Ti aiuterò io.\x0E\x04\x02\x00
