MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nAh, che odore delizioso! Così fresco!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nMa?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nBeh, a dire il vero tutti gli altri un po' di meno.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nMa come? Mi sono superato, ti giuro!\nIl sapore era paradisiaco.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nNon fraintendere, era un piatto buonissimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nEra solo un po' troppo... gourmet. Sai, per le\nfeste c'è bisogno di qualcosa di semplice.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nCosa?! E perché mai?!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nAlla gente piace socializzare alle feste, mentre\nquesto sembrava un rigido banchetto di corte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nAvrei dovuto dirtelo prima, so che non hai\nvisto tante feste.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nMa non abbatterti, non è che la gente non\nabbia mangiato, eh!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nIl compito principale di uno chef è creare il cibo\ngiusto per l'occasione, e ho fallito.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nÈ molto peggio che aver cucinato un piatto\ncattivo... ho cucinato il piatto sbagliato.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nBunet, non è così.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nSono tuo amico e non può bastare una scusa.\nColpiscimi, ti prego.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パンドロ\nCosa?! Dopo tutta la fatica che hai fatto per\nla festa, non ti colpirò di certo!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nTi ho rovinato la festa eppure tu riesci a\nperdonarmi. Sei un vero amico.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nPandreo. Quando sarà la tua prossima festa?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nVuoi un'occasione per rifarti, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nNo, non ancora. Prima c'è un'altra cosa che\ndevo fare.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nDevo partecipare a una festa.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08パンドロ\nCooosa?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nEhi, Bunet! Che ne pensi della festa, ti sei\ndivertito?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nOooh... è andata così male?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nScusa, ma il rumore era opprimente.\nMi gira ancora la testa.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nCapisco, è colpa mia.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nDevo dire che tutti erano di buon umore,\nnonostante i tempi difficili che stiamo passando.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nQuesta è la magia della festa! Ma tu piuttosto,\nhai imparato qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nCertamente, sono andato via con nuove\nprospettive.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nHo notato che tu hai passato la maggior parte\ndel tempo ad ascoltare i problemi della gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nCerto, le mie feste non girano intorno a me.\nVoglio che gli altri si sentano bene, capisci?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nAnche se a volte sembro un mascalzone,\nresto sempre un uomo di chiesa!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nSì, ora capisco dove ho sbagliato. Volevo che\nil mio cibo fosse il protagonista della festa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nMa nelle belle feste, è la conversazione la cosa\npiù importante.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nMal di testa a parte, ora so che per la tua\nprossima festa preparerò i piatti perfetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nSarebbe un onore! Grazie, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nE fammi sapere se c'è nient'altro in cui possa\naiutarti. Qualsiasi cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nBeh, c'è una cosa che potresti fare.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nVorrei leccarti. Solo una piccola leccata.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nUna piccola COSA?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nStai scherzando, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nNo, sono serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nDevo comprendere appieno il tuo spirito\nfestaiolo, se voglio trasporlo in cucina.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nArrotolati la manica, ci vorrà un attimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nUhm... Eheh...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nPandreo? Qualcosa non va?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nSono stato a feste bizzarre in passato...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\nMa questo è un po' troppo anche per me,\nscusaaaa!\x0E\x04\x00\x00
