MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nChe strano... Non è da molto che combattiamo\nassieme, eppure sento che ci capiamo.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クロム\nSecondo me sei già forte abbastanza, ma\nsfidando i tuoi limiti lo diventerai ancora di più.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クロム\nAll'inizio non ero così forte. Lo diventai grazie\nai miei compagni e al mio popolo.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nGrazie. Apprezzo l'incoraggiamento e prometto\nche farò del mio meglio!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nCi tengo a dirti in veste formale che è un\npiacere collaborare con te. Se hai bisogno di\ninformazioni sul Drago Divino, chiedi a me!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06クロム\nMolto bene. Ma... solo sul Drago Divino?\nD'accordo, se avrò domande allora saprò a chi\nchiedere.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nTu e lord Daraen siete un solo emblema, vero?\nCosa fate quando non siete impegnati sul\ncampo?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06クロム\nDunque, io mi alleno e faccio passeggiate.\nMentre Daraen... beh, lui passa il tempo a\nleggere romanzi e tomi di magia.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nCome posso fare a diventare forte come te, lord\nChrom?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06クロム\nÈ importante allenarsi con costanza e seguire\nuna sana alimentazione. E, naturalmente, non\ndarsi mai per vinti.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06クロム\nInsisti anche quando la situazione sembra\ndisperata, combatti per difendere ciò a cui tieni.\nLa volontà si trasforma in forza.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nSei il migliore, davvero. È un ottimo consiglio!\nDiventerò sempre più forte per proteggere i miei\namici.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nScommetto che hai molte informazioni utili su\ncome si governa una nazione. Mi farebbe\npiacere qualche consiglio.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06クロム\nNon credo di essere la persona adatta per\nquesta domanda, ma cerco sempre di capire\nle persone con cui lavoro.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWow, hai dei muscoli spettacolari! Sarà meglio\ndarmi da fare, se non voglio essere da meno.\nDomani mattina inizierò presto gli allenamenti!\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06クロム\nTi alleni di prima mattina? Complimenti per la\ndeterminazione. Forse dovrei svegliarmi presto\nanch'io e farti compagnia.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nAnche oggi sei uscito presto a fare la tua corsa\nmattutina. Non potrei mai eguagliare la tua\ncostanza, poco ma sicuro.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nE lo faccio senza sforzo... Mi piace allenarmi.\nIn effetti, non credo che in tutto il Firene ci sia\nqualcuno di così appassionato.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06クロム\nAh, sì? Non voglio essere da meno. La passione\ncerto non mi manca. Ho rotto tante di quelle\nattrezzature...\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nE... te ne vanti...?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nPer me è un onore averti al mio fianco,\nemblema dei Legami! D'ora in avanti dovrò\nstare più attento.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06クロム\nApprezzo l'entusiasmo, un po' meno la\nformalità. Non siamo forse amici?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nÈ stato gentile da parte tua aiutarmi a ritrovare\nla strada l'altro giorno, quando mi ero perso.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06クロム\nUn tempo ero il comandante di un gruppo\nchiamato i Pastori. Mi viene naturale guidare\ngli altri.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nMi domandavo... Sei sempre stato così forte?\nO è tutto frutto dell'allenamento?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nCredo che venga dal lavoro nella guardia reale.\nPersino quest'ascia mi sembra leggera.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06クロム\nUno dei Pastori era un guerriero molto dotato\ncon l'ascia. Quando non dimenticava di\nportarsela in battaglia...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nEd entrava in campo disarmato? Ma è terribile!\nSe è ancora vivo, digli che mi piacerebbe\nincontrarlo.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nDimmi, Chrom, come posso fare? Mi sono fatta\nprendere dall'entusiasmo e ho distrutto una\nparete, mentre mi allenavo.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06クロム\nParlando per esperienza, direi che forse devi\ndelle scuse a qualcuno...\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nCos'hai, Etie? Qualcosa ti turba? Se vuoi\nparlarne, ti ascolto.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nHo solo bisogno di sfogare l'energia che ho\naccumulato al consiglio di guerra. Facciamo\ncento giri di corsa mentre parliamo!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nTi sei svegliato presto, oggi. Credo che persino\nil principe Alfred sia ancora a letto.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06クロム\nNon riuscivo a dormire, così ho pensato che\nun po' di sana fatica mi avrebbe fatto bene.\nE tu cosa fai già in piedi?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nVolevo fare una corsa sotto le stelle, tanto per\ncambiare. Vuoi venire anche tu?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06クロム\nMi sembra una buona idea, sì. Fammi strada.\nPenso proprio che dormirò come un sasso,\ndopo.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nHai davvero superato te stessa in battaglia,\nCéline. Cerca di raccogliere le forze per il\nprossimo scontro.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nTi ringrazio, senza di te non avrei ottenuto quei\nrisultati. Concediti anche tu un po' di riposo.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nDa dove viene questo profumo delicato?\nMi scalda il cuore...\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nÈ del tè nero che produciamo solo in Firene,\nuna miscela chiamata Ylisse proprio come\nil regno da cui provieni.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVorrei essere più forte, sentirmi adeguata a\nproteggere il mio regno. Farò tutto il possibile.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06クロム\nLa penso come te. Ora che so che abbiamo gli\nstessi obiettivi, sarò ancora più contento di\naiutarti.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSe la guerra finirà, mi piacerebbe festeggiare\nassieme davanti a una tazza di tè.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06クロム\nAllora porta quel tè dell'altra volta. Discuteremo\ndel futuro godendoci il suo aroma delizioso.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nQuindi tu e Daraen condividete lo stesso\nbracciale? Dev'essere bello avere sempre\ncompagnia.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06クロム\nCondividiamo anche un potente legame. Non\nper niente, siamo finiti insieme a servire come\nemblemi.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nAnche se tu e Daraen siete un unico emblema,\nnon capita spesso di vedervi assieme...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06クロム\nLa tua delusione è palpabile, ma non temere.\nFarò in modo di chiamare anche lui qualche\nvolta.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nHo saputo che hai due sorelle. Io, invece, sono\ncresciuto circondato da fratelli maschi.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06クロム\nCorretto. Mi sono sempre domandato come\nfosse avere un fratello.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nForse potremmo trovarti un fratello fittizio.\nSono sicuro che tra i nostri commilitoni ci sia\nqualcuno di adatto al ruolo.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06クロム\nAhah, perché no? Sembra divertente.\nTi candiderai anche tu?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nTu e Daraen siete un duo fantastico, sembrate\nusciti da un libro di fiabe!\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06クロム\nAh, tu dici? Grazie, sei gentile.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nCosa mangi di buono, Chloé? L'odore non\nsembra malvagio, ma l'aspetto...\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nÈ un panino ripieno di grasso, interiora e sangue\ndi manzo. È delizioso e nutriente!\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nGuarda cos'ho comprato al mercato! Un frullato\nal caviale e un panino fritto al sangue di pollo.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロム\nOh, accipicchia... Davvero... impressionante.\nMi ricorda un po' un piatto che mi cucinò una\nvolta una mia amica.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nOh, è tutto così buono. Se vuoi assaggiarne\nun po', basta chiedere.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロム\nDi solito mi dispiace molto non poter mangiare.\nOggi, invece, sono felice di essere un emblema.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSe sei parente del Re Eroico Marth, significa\nche saresti un degno avversario. Facciamo un\nduello.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06クロム\nCome vuoi. Sono curioso di vedere di cosa è\ncapace il principe ereditario di una nazione di\nguerrieri.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSono l'erede al trono, ma mi trovo spesso preda\ndelle incertezze. Capitava anche a te?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06クロム\nIl lutto per la morte di mia sorella era più forte\ndella mia ansia per il peso delle responsabilità,\nma ti capisco.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nParli del passato con spensieratezza. Non ti\nsentivi mai oppresso dalle limitazioni imposte\ndal tuo sangue blu?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06クロム\nA volte, sì. Ma il tempo passato coi Pastori\nmi aiutò ad aprire gli occhi.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06クロム\nLa libertà altro non è che un concetto della\nmente. Se hai dubbi, prova a cambiare\nprospettiva.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ un approccio interessante, il tuo.\nPotresti avere ragione, in effetti.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nIl mio sogno è diventare un cavaliere potente e\nleggendario! Per fortuna, ora ci sei tu con me!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06クロム\nAhah! Mi ricordi mio nipote. Forza, allora.\nInsieme realizzeremo il tuo sogno.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nÈ impressionante la tua bravura in battaglia.\nDove hai imparato quelle tecniche?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nPassavo dieci ore al giorno ad allenarmi, quando\nvivevo alla fattoria degli alpaca, sognando di\ndiventare cavaliere.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nDa quando mi hai fatto tutti quei complimenti,\nmi sento bello carico. Diventerò un eroe\nleggendario, ormai quel giorno si avvicina.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nNon sarò di nobili natali, ma imparerò tutto\nquello che c'è da sapere da te e dal principe\nDiamant. Ce la farò!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06クロム\nLe tue imprese non sono da sottovalutare. Non\nsei da meno di molti veterani di guerra.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06クロム\nTi starò accanto sostenendoti nel tuo percorso\nper diventare una leggenda. Non vorrei mai\nvederti perdere la tua baldanza.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nLa tua occupazione precedente come guardia\ndel corpo ha qualcosa in comune con il mio\nlavoro in una milizia di volontari.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIn confronto alle imprese dei Pastori, ho ancora\nmolta strada da fare. Mi sto solo tenendo attiva,\ntutto qui.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMi racconteresti qualcosa del tuo mondo? Mi\npiacerebbe parlarne in un nuovo romanzo.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06クロム\nPotrei raccontarti dell'Eletta che c'era prima di\nme. Caso vuole, che fosse anche la mia cara\nsorella maggiore.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nDa quel che ho sentito, sei in grado di\ndistruggere ogni muro che ti trovi davanti.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06クロム\nBeh, non lo faccio apposta. Ma in effetti mi\nsuccede spesso, quando mi alleno.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nCiò che conta è il risultato. Mi aiuteresti\na raccogliere un po' di gemme?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06クロム\nCon piacere. Chiediamolo anche a Daraen.\nVedrai che escogiterà un piano per ottimizzare\nil lavoro.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nSei troppo remissivo per le abilità che possiedi.\nSe ti lodassi, avresti più fiducia in te stesso?\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nCosa?! No, mi sentirei sprofondare!\nMi accontento del pensiero, grazie.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nスタルーク\nAvete entrambi così tanta fiducia nelle vostre\nabilità. Mi dispiace che vi siate ritrovati con me.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x08\x06クロム\nTu e Daraen avete una mente più tattica, a\ndifferenza di me. Ognuno di noi fa la sua parte,\ncome vedi.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nスタルーク\nMi incoraggiate sempre, siete così gentile.\nQuesto non fa che sottolineare quanto siamo\ndiversi.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06クロム\nIl tuo valore in battaglia non è da meno rispetto\nai tuoi compagni e hai anche un grande spirito\nd'osservazione.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x08\x06クロム\nSono queste le qualità che ti aiutano a\nproteggere le persone a cui tieni, o sbaglio?\nSiamo più simili di quanto tu creda.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nMi state di nuovo lodando! Cercherò di\ndiventare degno delle vostre parole, e farò in\nmodo di non vergognarmi più!\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nHai davvero dato il meglio di te in battaglia.\nImmagino che dietro la tua bravura ci sia\nun allenamento estenuante.\x0E\x04\x00\x00
