MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, Drago Divino! Proprio il drago che cercavo.\nHo un favore da chiedervi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nDi che si tratta?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nA un certo punto, tutti vi siete messi a\nululare... che cosa significa?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nAh, ehm... quello...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nI membri della mia congrega esprimono così\nla loro passione. Un po' sguaiato, lo so...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nVi prego, fate finta di non aver visto niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nRicevuto... ahuuuuu!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nDrago Divino, vi prego!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nAhahah! È divertente! Ora capisco perché\nlo fate!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAuuuh! Ehilà, Pandreo!\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08パンドロ\nDrago Divino! Non riesco proprio ad abituarmi\na sentirvi ululare. Non abbassatevi così al mio\nlivello.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nAh, beh, se insisti...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAllora, che si dice?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08パンドロ\nVolevo parlarvi di qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08パンドロ\nMeglio se mi tolgo il dente... Nutro dei\nforti sentimenti per voi, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nEh? Che ti salta in mente, così all'improvviso?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08パンドロ\nNon è qualcosa di improvviso. È da molto che\nli provo.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08パンドロ\nMa temevo che fosse sacrilego. In fondo siete\nun'entità divina e io un sacerdote...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08パンドロ\nTuttavia, in quanto uomo di fede, non me la\nsento di tenere questo segreto.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08パンドロ\nMa so benissimo che non potete legarvi\na un umile sacerdote come me.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08パンドロ\nVi ringrazio già solo di avermi dedicato il\nvostro tempo. Ora, se permettete, vado.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nAspetta.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08パンドロ\n...?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nChi ha detto che un Drago Divino e un\nsacerdote non possano legarsi? Sentiamo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08パンドロ\nB-Beh...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nPandreo, grazie a te ho capito una cosa\nimportante...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nHo capito che cosa io significhi per le altre\npersone, e quale sia il mio ruolo in tutto ciò.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nMi hai fatto sentire un legame con gli altri.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nSei una persona preziosa per me. E secondo te\nnon avrei il diritto di provare quello che provo?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08パンドロ\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08パンドロ\nNo. Nessuno ha l'autorità di decidere sui\nvostri sentimenti. Nessuno.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nAllora accetta questo. È l'anello del patto.\nVoglio che lo porti tu, voglio averti al mio\nfianco.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08パンドロ\nSe è questo ciò che desiderate...\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nSì, Pandreo. È ciò che desidero.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08パンドロ\nAvete notato? Tutto sembra quasi più brillante.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nForse è mia madre che ci sta dicendo quanto\nsia felice per noi.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08パンドロ\nLa regina Lumera? Lo spero.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nQuando due persone provano l'affetto che\nproviamo noi, quei sentimenti non possono\nessere proibiti, né negati, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nD'ora in avanti cammineremo mano nella mano.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08パンドロ\nSì.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08パンドロ\nDrago Divino, vi adoro. Qualunque cosa ci\nattenda nel futuro, non lascerò mai la vostra\nmano.\x0E\x04\x00\x00
