MID_Movie_S02	Una battaglia del passato
MID_H_Movie_S14	Sombron riacquista parte dei poteri\ngrazie a un rituale. Per ripristinarli del\ntutto, usa il sangue di re Hyacinth.
MID_Movie_S15	Timerra
MID_H_Movie_S15	Timerra, principessa ereditaria di Solm,\nviaggia accampandosi in vari luoghi del\nregno insieme alle sue attendenti.
MID_Movie_S16	Il desiderio di Veyle
MID_H_Movie_S16	Veyle si dirige in Elusia con i Quattro\nSegugi. Tornata in sé, lancia l'anello del\nSacro Cavaliere a \x0E\x06\x03\x00.
MID_Movie_S17	La morte del Drago Divino
MID_H_Movie_S17	Sombron si appresta a eliminare Veyle,\nma \x0E\x06\x03\x00 viene colpit\x0E\x0A\x00\x08\x02o\x02a mentre\ncerca di proteggerla.
MID_Movie_S18	Il ritorno del Gradlon
MID_H_Movie_S18	Ora che ha tutti gli anelli, Sombron li usa\nper trasformarsi e fare riemergere la\nterra di Gradlon.
MID_Movie_S19	Ricordi di mille anni fa
MID_H_Movie_S19	Mille anni or sono, \x0E\x06\x03\x00 cade\ntra le braccia di Lumera, a causa delle\nferite subite sconfiggendo Sombron.
MID_Movie_S20	Un nuovo emblema
MID_H_Movie_S20	\x0E\x06\x03\x00 sta morendo, ma il suo\ndesiderio di combattere è più forte. I 12\nemblemi concedono un miracolo.
MID_Movie_S21	Incubo
MID_H_Movie_S21	\x0E\x06\x03\x00, ormai senza forze,\nscorge Sombron, Veyle e un riflesso\nche \x0E\x0A\x00\x0E\x06gli\x04le è insopportabile...
MID_Movie_S22	L'attesa di un incontro
MID_H_Movie_S22	Dopo la battaglia finale, \x0E\x06\x03\x00\ncomunica agli emblemi l'incoronazione,\nsognando di poterli avere al suo fianco.
MID_Movie_C01	Il risveglio
MID_H_Movie_C01	\x0E\x06\x03\x00 si risveglia. Clanne e\nFramme, stupiti e felici, corrono a dare\nla notizia.
MID_Movie_C02	Le aberrazioni
MID_H_Movie_C02	Il gruppo viene attaccato da alcuni\nmostri nella piana del Lythos.\nClanne e Framme sono nei guai.
MID_Movie_C03	L'emblema
MID_H_Movie_C03	\x0E\x06\x03\x00 sente una voce provenire\ndall'anello. Appena capisce di chi si\ntratta, evoca l'emblema.
MID_Movie_C04	Unione perfetta
MID_H_Movie_C04	L'emblema Marth e \x0E\x06\x03\x00\ncombattono fianco a fianco per salvare\nClanne e Framme dalle aberrazioni.
MID_Movie_C05	Assalto alla sala degli anelli
MID_H_Movie_C05	\x0E\x06\x03\x00 sente un'esplosione e si\nprecipita nella sala degli anelli. Strada\nfacendo, incontra Vander e gli altri.
MID_Movie_C06	La cronogemma del drago
MID_H_Movie_C06	Quando \x0E\x06\x03\x00 blocca il nemico,\nuno strano potere ribalta la situazione.
MID_Movie_C07	La morte di Lumera
MID_H_Movie_C07	Lumera è in fin di vita e dona a\n\x0E\x06\x03\x00 un anello dell'emblema.\n\x0E\x0A\x00\x0A\x02I\x04Le due giurano di rivedersi in futuro.
MID_Movie_C08	Céline
MID_H_Movie_C08	La principessa Céline, sotto attacco, si\nprecipita da Alfred, mentre Louis\ne Chloé tengono a bada le aberrazioni.
MID_Movie_C09	La regina Ève
MID_H_Movie_C09	Un generale elusiano sta interrogando\nla regina Ève, ma viene interrotto\ndall'arrivo della comandante Zephia.
MID_Movie_C10	Una questione in sospeso
MID_H_Movie_C10	Zephia punisce Nelucce per il fallimento\nal castello di Firene, poi dà il benvenuto\na una figura misteriosa.
MID_Movie_C11	Alcryst
MID_H_Movie_C11	Il principe Alcryst presidia il confine,\nma scambia Alfred e \x0E\x06\x03\x00\nper banditi. Risolto l'equivoco, si scusa.
MID_Movie_C12	Hortensia
MID_H_Movie_C12	La principessa d'Elusia cerca gli anelli\ndegli emblemi e \x0E\x06\x03\x00 la trova\nad attenderl\x0E\x0A\x00\x08\x02o\x02a al Grande Passaggio.
MID_Movie_C13	Emblema oscuro
MID_H_Movie_C13	Hortensia controlla un emblema oscuro.\nOltre ai Draghi Divini, anche i Draghi\nMaligni possono evocare emblemi.
MID_Movie_C14	La lotta di Veyle
MID_H_Movie_C14	Veyle elimina i nemici. Nonostante il\nsuccesso, sa di non essere ancora\nsufficientemente forte.
MID_Movie_C15	Un contrattempo
MID_H_Movie_C15	Re Morion, sconfitto da Hyacinth, viene\ntrasportato in Elusia. Ivy impedisce a\n\x0E\x06\x03\x00 di salvarlo.
MID_Movie_C16	Re Morion aberrante
MID_H_Movie_C16	Nella cattedrale di Destinea,\n\x0E\x06\x03\x00 affronta re Hyacinth. Re\nMorion è trasformato in un'aberrazione.
MID_Movie_C17	Furto di alleati
MID_H_Movie_C17	Con gli anelli rubati a \x0E\x06\x03\x00,\nSombron evoca gli emblemi e li usa\nper i suoi piani malvagi.
MID_Movie_C18	Fogado
MID_H_Movie_C18	\x0E\x06\x03\x00 e i suoi amici si perdono\nnel deserto di Tullah. Lì incontrano\nFogado, il capo delle sentinelle.
MID_Movie_C19	Danzando tra le rovine
MID_H_Movie_C19	Nella fortezza settentrionale appaiono\ndelle aberrazioni. Il ballerino Seadall\nè guidato in salvo da una voce.
MID_Movie_C20	Mulini in fiamme
MID_H_Movie_C20	Il pacifico villaggio Mulini di Florra\nè sotto attacco e in preda alle fiamme.\nNel porto sono ancorate navi elusiane.
MID_Movie_C21	L'altra Veyle
MID_H_Movie_C21	Zephia lancia un incantesimo e risveglia\nil lato malvagio di Veyle, che attacca\n\x0E\x06\x03\x00 con un emblema oscuro.
MID_Movie_C22	L'erede del Drago Maligno
MID_H_Movie_C22	Griss vede \x0E\x06\x03\x00 mentre evoca\nun emblema con un sortilegio. In preda\nalle risate, \x0E\x0A\x00\x0E\x06gli\x04le rivela un segreto.
MID_Movie_C23	La ribellione di Marni
MID_H_Movie_C23	Marni cerca di distruggere l'elmo\nmagico che controlla Veyle, ma viene\nfermata da Zephia.
MID_Movie_C24	La pietra drago in frantumi
MID_H_Movie_C24	Il Drago Divino \x0E\x06\x03\x00 si\nsacrifica per Veyle. La pietra drago va in\nfrantumi e Veyle apprende la verità.
MID_Movie_C25	Il risveglio di Veyle
MID_H_Movie_C25	Veyle sconfigge il proprio lato oscuro,\npoi resuscita \x0E\x06\x03\x00 e \x0E\x0A\x00\x0C\x04lo\x04la\ntrasforma in aberrazione.
MID_Movie_C26	I Quattro Segugi
MID_H_Movie_C26	Zephia e Griss vengono sconfitti. Nel\npoco tempo che rimane loro, confessano\nl'un l'altra i propri sentimenti.
MID_Movie_C27	Nuovo incontro
MID_H_Movie_C27	L'ultima scheggia del drago è protetta\nda Lumera, tramutata in aberrazione da\nSombron. Veyle la affronta in battaglia.
MID_Movie_C28	Il secondo addio
MID_H_Movie_C28	Lumera recupera i suoi ricordi e stringe\nun patto con \x0E\x06\x03\x00, prima\ndi scomparire per sempre nella luce.
MID_Movie_C29	Gli emblemi annullati
MID_H_Movie_C29	Sombron chiude il portale con gli altri\nmondi e gli emblemi svaniscono.\n\x0E\x06\x03\x00 prepara la sua mossa.
MID_Movie_C30	Tredici legami
MID_H_Movie_C30	\x0E\x06\x03\x00 evoca i 12 emblemi. Ora\nche tutti gli emblemi sono al loro posto,\npuò iniziare la battaglia finale.
MID_Movie_C31	Gran Sombron
MID_H_Movie_C31	Per un istante, Sombron sembra\nsconfitto, invece sorride beffardo\ne si trasforma in un grande drago.
MID_Movie_K01	Emblema Sigurd
MID_H_Movie_K01	Emblema Sigurd, evocato dall'interno\ndell'anello del Sacro Cavaliere.
MID_Movie_K02	Emblema Celica
MID_H_Movie_K02	Emblema Celica, evocata dall'interno\ndell'anello della Premurosa.
MID_Movie_K03	Emblema Micaiah
MID_H_Movie_K03	Emblema Micaiah, evocata dall'interno\ndell'anello della Fanciulla della Luce.
MID_Movie_K04	Emblema Roy
MID_H_Movie_K04	Emblema Roy, evocato dall'interno\ndell'anello del Giovane Leone.
MID_Movie_K05	Emblema Leif
MID_H_Movie_K05	Emblema Leif, evocato dall'interno\ndell'anello del Saggio Lord.
MID_Movie_K06	Emblema Lyn
MID_H_Movie_K06	Emblema Lyn, evocata dall'interno\ndell'anello della Guerriera.
MID_Movie_K07	Emblema Lucina
MID_H_Movie_K07	Emblema Lucina, evocata dall'interno\ndell'anello dell'Eletta.
MID_Movie_K08	Emblema Ike
MID_H_Movie_K08	Emblema Ike, evocato dall'interno\ndell'anello dell'Eroe della Fiamma.
MID_Movie_K09	Emblema Byleth
MID_H_Movie_K09	Emblema Byleth, evocato dall'interno\ndell'anello del Mentore.
MID_Movie_K10	Emblema Corrin
MID_H_Movie_K10	Emblema Corrin, evocata dall'interno\ndell'anello della Mano del Fato.
MID_Movie_K11	Emblema Erika
MID_H_Movie_K11	Emblema Erika, evocata dall'interno\ndell'anello dei Gemelli Azzurri.
