MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSei il cuore di questo gruppo. Mi impegnerò\naffinché non ti accada nulla di male.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh, sono sicuro che ve la caviate più che bene.\nChe tipo di lavori fate?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVander, sarebbe un problema se restassi a\nguardarti mentre lavori a maglia?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo, naturalmente. Potreste omaggiarmi di\nqualcuno dei vostri racconti, intanto.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カミラ\nBenissimo. Allora ti va di passare la giornata\nassieme, tra racconti e lavoretti?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nNe sarei lieto. Ma non serve che vi avviciniate\ncosì tanto, mi mettete a disagio.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nClanne, volevo proprio dirtelo: sono colpita dallo\nzelo che metti nel lavoro.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nGrazie, lady Camilla. Se hai bisogno di qualcosa,\nsono a disposizione.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クラン\nPerdonami, lady Camilla... Sono grato per i\ncomplimenti, ma non ti sembra di esagerare?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カミラ\nMa no, caro Clanne. Sei sempre di grande aiuto,\nper me, come per chiunque.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nC'è forse qualcosa di più gratificante che\nprendersi cura dei propri cari? Io sono pronta\na tutto per Corrin.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nE io cerco sempre nuovi modi per rendermi utile\nal Drago Divino. Avresti qualche suggerimento?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06カミラ\nMmmh, vediamo... Ah! Pensavo di incoraggiare\nCorrin in battaglia sventolando una bandiera.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nSì, è un'idea fantastica! Potremmo fare delle\nbandiere per tutt\x0E\x0A\x00\x08\x02i\x02e e due!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nTi ho vista combattere valorosamente, oggi.\nLa tua forza è incredibile.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nOh, dici davvero? Allora cercherò di impegnarmi\nsempre di più, in modo da meritarmi la tua\nammirazione!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMi domandavo... Cosa va di moda tra le ragazze\ndi questo mondo?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nUhm, direi le barbabietole. Sono rosse e\nsuccose, ne porto sempre qualcuna dietro!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAdori proprio il Drago Divino, o sbaglio?\nFiniamo sempre a parlare di l\x0E\x0A\x00\x0C\x04ui\x04ei...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nProprio così. Tu invece parli sempre di lady\nCorrin. Devi provare gli stessi sentimenti per lei,\nvero?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nÈ divertente parlare delle persone che contano\nper noi e mi fa piacere discuterne con te!\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06カミラ\nAnche a me, devo dire. Ora basta parlare degli\naltri, però. Dimmi qualcosa di te...\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMi piacerebbe trascorrere del tempo assieme\na te. Vuoi venire a correre?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06カミラ\nSembra un'ottima idea. Penso che ti seguirò\na dorso della mia viverna, però. Posso?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nConosci qualche metodo particolare per\nmettersi in forma prima di una battaglia?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06カミラ\nUh, non credo di avere suggerimenti speciali.\nAh, forse... Bere molto latte?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDa bambino ero piuttosto debole. Mia sorella\nsi preoccupava sempre per me.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06カミラ\nDavvero? Si vede quanto teniate l'uno all'altra.\nPuoi raccontarmi altro della tua infanzia?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nTi racconterò tutto correndo, ma mi piacerebbe\nche mi parlassi anche tu dei tuoi fratelli e\nsorelle.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06カミラ\nAh, sì? I tuoi capelli biondi me li ricordano un\npo', in effetti. Sarà bello scambiarci i nostri\nricordi d'infanzia.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nStai girando in tondo da un po', ormai. Si tratta\ndi un allenamento speciale, per caso?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNo... Volevo andare alla grotta, ma non ricordo\nmai dove girare e finisco di nuovo qui.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nHai mai provato a salire su una viverna?\nDall'alto è più facile trovare la strada.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nUhm, non ci avevo mai pensato. Solo che... se\nmi perdessi per aria, sarebbe un bel problema.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nブシュロン\nFinisco sempre qui dove sei tu, in un modo o\nnell'altro. Forse perché mi piace parlare con te...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06カミラ\nMi fa piacere che la pensi così. Anche io adoro\nchiacchierare con te. Ti va di scambiare due\nparole, visto che sei qui?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06カミラ\nTi conosco, ma non abbastanza. Parlami di te.\nQuali sono i tuoi passatempi preferiti?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nMi piace leggere... È un modo per occupare il\ntempo quando mi perdo. Vuoi che ti racconti\nl'ultimo libro che ho letto?\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nNon credo di aver mai incontrato una ragazza\ncon la tua passione per gli allenamenti, Etie.\nTi ammiro, sai?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nFa parte della mia natura. Ma anche tu avrai\nun regime rigoroso, immagino!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nScommetto che conosci degli allenamenti\nspeciali tipici del tuo mondo. Me li insegneresti?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06カミラ\nNon mi viene in mente nulla che fosse tipico\ndel Nohr. Mi allenavo per diventare forte e\nproteggere i miei fratelli, tutto qui.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nCom'era il Nohr? Io vengo dal Firene, che è\nfamoso per i suoi bellissimi fiori.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06カミラ\nUn paese fiorito sembra meraviglioso. Il Nohr\nera immerso nell'oscurità, e i fiori erano rari.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nL'oscurità ha i suoi vantaggi! Potevate allenarvi\nall'aperto senza temere di scottarvi la pelle!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06カミラ\nEheh, non ci avevo mai pensato. Che ne dici\ndi allenarci più spesso insieme, con la pioggia\ne con il sole?\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSei stata fantastica in battaglia. Possiedi quel\ndelicato equilibrio tra garbo e forza.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nNon amo combattere, ma è inevitabile, se si\nvuole ottenere la pace. Unendo le forze,\nporremo fine a questa guerra.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSo che in Nohr non c'era molta luce solare, ma\ncoltivavate ugualmente le vostre varietà di tè?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06カミラ\nUhm... avevamo un tè delizioso, fatto con i\npetali del gelsomino notturno.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNon ho trovato il gelsomino di cui mi hai\nparlato, ma sono riuscita a procurarmi un fiore\nsimile. Cosa ne pensi?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06カミラ\nL'aroma sembra delizioso. Per quanto non sia\nlo stesso che avevamo noi, mi ricorda molto il\nmio paese.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nNe sono lieta. Ti andrebbe di parlare un po',\nintanto che ci godiamo questo buon profumo?\nVorrei ringraziarti per l'aiuto che mi dai.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06カミラ\nOh, principessa Céline, sono io che dovrei\nringraziarti! Abbiamo molte cose interessanti\nda raccontarci.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLouis? C'è un motivo per cui hai lo sguardo\nfisso nella mia direzione? Volevi dirmi qualcosa?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nOh, perdonami. Mi sono perso a sognare a occhi\naperti.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nNon sai quanto sia contento che tu vada così\nd'accordo con tutti gli altri.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06カミラ\nMi trovo proprio bene con loro! Anche con te,\nnaturalmente.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nSono cresciuto circondato da fratelli, quindi\nora trovo stupefacente la forza delle donne\nche ci sono qui.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06カミラ\nQuand'ero in Nohr, mi assicuravo di scegliere\ndelle attendenti che fossero forti e adorabili\nal contempo.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nSaranno state meravigliose, non ho dubbi.\nSpero di poterle incontrare, un giorno.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06カミラ\nSarebbero liete di conoscerti. Hanno le loro\nstranezze, ma non potrei desiderare delle alleate\nmigliori.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nLa principessa di un paese senza il sole...\nSembra una fiaba! Voglio ascoltare tutti i tuoi\nracconti.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06カミラ\nEheh, non la definirei proprio una fiaba, ma\ncondividerò con te la mia storia.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nQual è il tuo cibo preferito? Fammi indovinare...\nScommetto che ti piace la carne molto al\nsangue.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06カミラ\nHai proprio indovinato. A dire il vero, dicevo a\ntutti che mi piaceva la frutta, ma poi il mio\npiatto preferito era la carne.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLo ammetto. Hai dei gusti strani in fatto di cibo,\nma tutto sommato affascinanti... proprio come\nte.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nAffascinante io? Così mi farai arrossire!\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06カミラ\nDovremmo proprio volare insieme una volta.\nAbbiamo tanti segreti da svelarci a vicenda!\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nSarebbe fantastico! Potrei portare anche tanto\ncibo affascinante.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSono Camilla, prima principessa di Nohr...\nO forse queste formalità non sono necessarie\ntra noi reali?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSiamo alleati che condividono un obiettivo\ncomune. Preferirei qualcosa di meno formale.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nLa storia del tuo paese mi affascina. Ci furono\nmolte invasioni?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06カミラ\nIl Nohr era in guerra con un paese chiamato\nHoshido. Fu mia sorella Corrin a porre fine a\nquella guerra.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nQuando salirò al trono, lavorerò per la\nprosperità del mio paese. Voglio dare una\nvita piacevole al mio popolo.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06カミラ\nSe riuscirai a gettare le fondamenta di questa\nprosperità collaborando con altre nazioni, ci\nsaranno anche meno conflitti.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ confortante quello che dici. La Brodia è\nun regno di guerrieri, ma non desideriamo\nla guerra.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06カミラ\nSotto la tua guida, la Brodia diventerà un regno\ndi pace. Sarà un piacere assistere a questo\ncambiamento.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLa mia viverna ha il suo caratterino, ma tu le\npiaci. Ci sai fare con gli animali, eh, Amber?\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08アンバー\nLa mia famiglia aveva una fattoria. Sono\ncresciuto in mezzo agli animali. La tua viverna\nè proprio graziosa!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08アンバー\nLa tua armatura ha uno stile molto particolare.\nNasconde per caso una leggenda? Vado matto\nper queste cose!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06カミラ\nGrazie. In effetti la mia armatura ha una storia.\nTe la racconterò, prima o poi.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLa mia armatura si chiama "Swaläups Mena",\novvero la grande luna! Infatti, ricorda il cielo\nnotturno in tutto il suo splendore.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWoah! Ma è un nome MITICO! Lo sapevo che\nera un'armatura leggendaria! Oooooh, che\nemozione!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06カミラ\nEheh, farò in modo di riferirlo all'uomo che le\ndiede quel nome. Andreste d'accordo, voi due.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nDigli che è un nome di tutto rispetto. Ho molta\nstima di chi riesce a trasmettere tutto lo spirito\ndell'avventura!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nNon hai un briciolo di pietà per i nemici, vero?\nFai bene. Sento che andremo d'accordo.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIn quanto attendente del principe Diamant, è\nmio dovere annientare i nemici.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAmmiro il tuo zelo. Mi ricordi un po' una delle\nmie attendenti, dal passato da assassina.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nPrecisiamo: non sono, né sono mai stata\nun'assassina. Prima di entrare al servizio del\nprincipe, ero la guardiana di una miniera.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nNon sei una persona loquace, ma so che la tua\nmente è affollata di parole.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNon mi sono mai sentita a mio agio a parlare.\nEcco perché ho imparato ad apprezzare la\nscrittura.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x08\x06カミラ\nAh, e che tipo di storie scrivi? Vorrei proprio\nleggerle, sarebbe un modo per conoscerti\nmeglio.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nLo faccio come passatempo, non so se ti\npiacerebbero... ma posso mostrartele.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nスタルーク\nVorrei salutarvi come si deve, lady Camilla,\nma temo di farvi perdere tempo...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06カミラ\nChe tipo curioso che sei. Sul campo di battaglia\nti poni in modo diverso.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCominci a piacermi, principe Alcryst. Non c'è\nniente di male ad accettare il mio aiuto, sai?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nVi prego, non rivolgetemi sguardi gentili! Il peso\nsarebbe troppo! Perdonatemi, ma devo proprio\ntogliere il disturbo!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSiamo simili, secondo me. Entrambi gentili nella\nvita quotidiana, ma crudeli sul campo di\nbattaglia...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nSarei simile a voi?! Ma io non valgo niente!\nPerò è vero che ce la caviamo bene insieme\nin battaglia.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nForse perché facciamo di tutto per difendere\ngli alleati e non mostriamo pietà nei confronti\ndel nemico.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06カミラ\nEsatto. Continuiamo a infliggere il feroce\ncastigo ai nostri nemici.\x0E\x04\x00\x00
