MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nSono un drago anch'io e ti offro volentieri il mio\npotere per aiutarti a porre fine a questa guerra.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06カムイ\nSì, anche se non posso mostrartelo qui.\nSarebbe un bello scontro se potessimo allenarci\nin forma di drago.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nÈ vero che volevi trionfare su tutti i tuoi\nfratelli e sorelle? Perché? Bramavi il potere?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nUn tempo ero debole. Dovevo diventare il più\nforte di tutti per ottenere il rispetto di mio\npadre.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nMa il mio desiderio non si è avverato. E ora,\nironicamente, mi trovo in questo mondo\nad affrontare l'alter ego di mio padre.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06カムイ\nSo come ci si sente a scontrarsi con una\nfigura paterna. Se ti senti in difficoltà, sappi\nche io ci sono per te.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIo sono un Drago Magico, Corrin. Visto che\nsiamo draghi entrambe, sento che avremo molto\ndi cui parlare.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カムイ\nUn Drago Magico? Nel mio mondo non\nesistevano questi draghi. Anch'io non vedo\nl'ora di chiacchierare con te, Zelestia!\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI Quattro Venti sono nati con lo scopo di\nproteggere lady Nel e lord Rafal, ma\nproteggeremo anche te. Conta su di noi.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カムイ\nMi sento al sicuro, sapendo di avere il vostro\nsostegno. Sappi che anche io veglierò su di te,\nZelestia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nChe sollievo. Anche oggi siamo sopravvissute.\nNon ce la farei a perdere altri alleati, è troppo\ndoloroso.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カムイ\nAnche io persi degli alleati a cui tenevo.\nAnche uno che mi chiese di portare avanti\nil suo compito.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カムイ\nNoi sopravvissuti abbiamo il dovere di\nrealizzare i loro desideri, per riportare quella\npace di cui loro non possono essere testimoni.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nRestiamo unite finché non arriva quel giorno,\ncercando ogni volta di tornare a casa sane e\nsalve.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCorrin... Non avevo mai incontrato qualcuno\ncon la tua determinazione e gentilezza. Sento\ndi poter fare affidamento su di te.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06カムイ\nMi fa piacere che tu ti senta così. Farò del\nmio meglio per proteggerti.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nUn tempo odiavo combattere, ma poi ho capito\nche è spesso inevitabile per proteggere coloro\nche amiamo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nTi capisco perfettamente, ma talvolta è\nimportante anche scappare e mettersi al\nsicuro per pianificare le prossime mosse.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nInvidio i tuoi abiti robusti. Sembrano adatti\na proteggerti da ogni tipo di attacco.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06カムイ\nSono molto efficaci contro le spade, ma non\naltrettanto contro altri tipi di attacchi.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nUhm... allora immagino che dovrò fare del mio\nmeglio per assisterti in battaglia, non voglio che\nti faccia male.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06カムイ\nCome sei premuroso, Gregory. Farò in modo che\nnessuno ferisca il tuo cuore gentile a mia volta.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHo sentito dire che perdonasti i tuoi nemici\ne imparasti a fidarti di loro. Per noi cavalieri,\nè lodevole una tale benevolenza.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06カムイ\nUn tempo odiavo combattere, ero preda della\npaura. Ma ora mi sento più forte, grazie a tutti\nvoi.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nChe spirito combattivo che hai, Madeline.\nSegui il cammino che hai intrapreso senza\nvacillare.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nNon occorre lodarmi. Sto solo seguendo\ni passi dei miei genitori. Voglio diventare\nuna nobile cavaliera come loro.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIn passato avevo paura di combattere e vedere\nla gente soffrire. Tu sei ancora più giovane di\nme a quel tempo... ma sei già così forte.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nNon ho fatto tutto da sola. Devo molto ai\nmiei genitori e ai miei alleati.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カムイ\nAnche quando la paura ci blocca, gli amici\nci aiutano a proseguire. Insieme potremo\nandare avanti.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nGià. Non voglio fare affidamento sugli altri\ntutto il tempo, ma mi sento tranquilla\nsapendo di averti accanto.\x0E\x04\x00\x00
