MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh no, che guaio che ho combinato...\x0E\x04\x02\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nグレゴリー\nSono solo contento che tu sia tornat\x0E\x0A\x00\x08\x02o\x02a da noi\nsan\x0E\x0A\x00\x08\x02o\x02a e salv\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	Non capisco perché, ma... sono costantemente\npreoccupato che tu possa morire.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nOh... perché mi caccio sempre nei guai, vero?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nグレゴリー\nNon proprio... Scusa, è un po' difficile da\nspiegare, ma ci proverò.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Quando ho saputo che sei imparentat\x0E\x0A\x00\x08\x02o\x02a con il\nDrago Maligno, in me è scattato qualcosa.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	Ti temevo, quando ci siamo incontrati la prima\nvolta. E pensavo che questa paura fosse quello\nstesso timore.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nAvevi paura perché sono \x0E\x0A\x00(\x12il figlio\x12la figlia del Drago\nMaligno?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nグレゴリー\nAssolutamente no, anzi... ero sollevato.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nDavvero? Perché?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nグレゴリー\nSì, forse ero sollevato perché non sei proprio\nuguale al nostro Drago Divino.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Da una parte, se foste stati uguali, sarebbe\npiù facile per me fidarmi...\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Dall'altra parte, però, sarei costantemente\npreoccupato che tu possa morire, come il mio\nDrago Divino.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Tuttavia, anche se adesso so che non siete la\nstessa persona, non posso fare a meno di\npreoccuparmi lo stesso. Che mi succede?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nSei davvero in pensiero per me...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nグレゴリー\nMi vergogno un po' ad ammetterlo, ma non\nriesco ancora a capire questo concetto di\n"amore" di cui parlano tutti.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Ma se amore significa trovare qualcuno così\nimportante da avere il terrore di perderlo...\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Voglio restare al tuo fianco e proteggerti.\nOggi e per sempre.\x0E\x04\x02\x00
MID_RELIANCE_S_#019	E così mi chiedevo... se potessi accompagnarti\nper il resto della tua vita, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nグレゴリー\nSe ti sembra un'idea terribile, dillo senza\nproblemi.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Non è per niente terribile, sono così felice\ndi sentirtelo dire.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Se lo desideri tanto quanto lo desidero io,\nvorrei darti il mio anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nグレゴリー\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nAhahah! Stavo giusto pensando di confessarti\nquanto sei importante per me, ma mi hai battuto\nsul tempo.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Voglio diventare forte abbastanza da allontanare\ntutte le tue paure. Insieme.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nグレゴリー\nSarà bello crescere insieme e diventare più\nforti. Temevo che mi avresti rifiutato, e invece...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Per fortuna ho trovato il coraggio di dirti tutto.\nAnche se non sono abituato a fare certi\ndiscorsi...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Conserverò con cura questo anello per il resto\ndella mia vita. È la prova del legame che ci\nunisce.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nグレゴリー\nQuesto sentimento... è così forte da fare male.\nMa non mi dispiace. Se sono insieme a te, niente\npuò ferirmi.\x0E\x04\x00\x00
