MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nScusate, Drago Divino... vorrei parlarvi di\nqualcosa, se non è troppo disturbo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nQuello che sto cercando di dire è... Per favore,\nosservami quanto vuoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nDavvero?! Parlate sul serio?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nSul serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nGrazie, Drago Divino! Lo apprezzo davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nQuando vi osservo, tutte le mie preoccupazioni\nsembrano svanire.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nE io mi sento così... gioiosa! Voglio condividere\nquella gioia con gli altri, capite?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAhah, sei davvero speciale, Merrin. Forse dovrei\nscrivere io un libro su di te, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nMi fate arrossire, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nMa ho una richiesta per te. Smetti di pensare\na me come "più che uman\x0E\x0A\x00\x08\x02o\x02a", d'accordo?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nIo sarò pure l'unico Drago Divino, ma anche\ntu sei davvero speciale.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nQuesta è una giusta osservazione! Suppongo\nche siamo entramb\x0E\x0A\x00\x08\x02i\x02e bestie rare, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nEsatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nAh, e poi... voglio essere \x0E\x0A\x00$\x10il primo\x10la prima a leggere\nil tuo libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nCerto, per controllare che sia tutto giusto!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDrago Divino! Ho finito la prima bozza per\nl'enciclopedia! Potreste dare un'occhiata?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nMa certo. Fammi vedere...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n"Il Drago Divino \x0E\x06\x03\x00 aprì gli occhi\ndopo un sonno durato mille anni, in un castello\nfluttuante..."\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n"Umile e gentile, il Drago Divino combatté con\ncoraggio per proteggere il popolo."\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nCosì mi fai arrossire...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06メリン\nMa è tutto vero.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n"Il Drago Divino può vivere migliaia di anni\ne possiede abilità sovrumane."\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\n"Tuttavia l'habitat e il comportamento di questo\ndrago non differiscono da quelli di un umano\ntipico."\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n"E che sia ben chiaro, il Drago Divino è l'essere\npiù caro al mondo per l'autrice."\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nMa Merrin...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06メリン\nSì, scusatemi. Non ho potuto fare a meno di\nscriverlo. State tranquill\x0E\x0A\x00\x08\x02o\x02a, non finirà nella\nversione finale...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06メリン\nVolevo solo che sapeste quanto siete\nimportante per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06メリン\nE vorrei che i posteri sappiano che c'era una\npersona che teneva molto a voi...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nAllora non togliere quelle righe.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06メリン\nVa bene...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAnzi, aggiungi questo: "L'autrice è altrettanto\npreziosa per il Drago Divino".\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n"Preziosa a tal punto da ricevere l'anello del\npatto, con il quale il Drago Divino fece voto di\nstarle accanto per sempre."\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06メリン\nD-Drago Divino! Ma non potete darmi\nquell'anello... È troppo prezioso!\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nSe davvero tieni a me, dovrai accettarlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIl tuo libro deve raccontare la verità... e cioè che\nil Drago Divino adorò un'umana di nome Merrin.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06メリン\nSe è davvero quello che volete, allora vi\nringrazio, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nQuando avrai completato la tua enciclopedia,\nspero che la gente capisca che non sono poi\ncosì divers\x0E\x0A\x00\x08\x02o\x02a da loro.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06メリン\nCerto, c'è solo un problema. Penso di non poter\nancora concludere la stesura.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nE come mai?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06メリン\nDevo scrivere del nostro futuro insieme... Di\ncome un'umana e un drago si sono voluti bene.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nMi sembra un'ottima idea, Merrin. Non vedo\nl'ora di scrivere questa parte della storia\ninsieme a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06メリン\nSì!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06メリン\nVi adoro, Drago Divino. Le nostre storie\nsaranno narrate per migliaia e migliaia di anni!\x0E\x04\x00\x00
