MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nOh! Guarda chi c'è! La principessa Céline del\nregno di Firene!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nCome ti dicevo, la vita di una principessa non\nè tutta rose e fiori.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nCiò che mi dà gioia è la vista del mio popolo\nche prospera in un mondo di pace.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nLe persone nel quadro sembrano felici,\nin effetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSe posso mantenere la pace e la prosperità\nnelle loro vite, allora le mie fatiche non sono\nvane.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nDevi proprio amare il tuo popolo, principessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nCi puoi giurare!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nOra ho capito in cosa trova gioia\nuna principessa!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nIo invece mi sento felice quando posso battermi\ncontro un degno avversario!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nOh, già... Volevi allenarti con me.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nAllora sappi che se mai dovessi fare uno sgarbo\nal Firene, troverai in me un'avversaria potente\ne spietata.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nPer quanto voglia un duello, non arriverei a\nmettermi contro il tuo paese per farlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nEheh, ne sono sollevata.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nNiente duelli. Quindi ci restano i tè.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nQuelli che bevi tu sono sempre di ottima\nqualità.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nSì, questa opzione mi piace di più.\nCosì potremo restare amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nCerto! Saremo amici per sempre!\x0E\x04\x00\x00
