MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, ti cercava mia sorella.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nNe sarei onorato... ma preferisco rifiutare.\nCredo sia meglio per entrambi.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome mai dici così?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nInsegnare richiede molta energia, e non sono\nsicuro di averla.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nMh, capisco. Hai ancora molte battaglie davanti\na te. Non avrei dovuto chiedertelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nSono sicuro che da qualche parte là fuori ci\nsia un mago più giovane e in forze che sarebbe\ncontento di farvi da insegnante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSalve, Lindon. Posso parlarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nSperavo di riuscire a farti cambiare idea...\nProprio non vorresti essere il mio insegnante?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nCome vi ho già detto, principessa Hortensia,\nnon ho più l'energia per queste cose.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nE poi, so che siete già una studentessa\nesemplare all'accademia elusiana, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nLasciate che vi dia un consiglio: non abbiate\ntroppa fretta di crescere. Prendetevi il tempo\nche vi serve per imparare.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nMio padre è morto senza potere vedermi\ncrescere.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nEcco perché ho questa fretta. Non voglio altri\nrimpianti.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nÈ più che comprensibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nVoglio che mio padre possa riposare in pace,\nsapendo che sono in grado di badare a me\nstessa. Come fanno i tuoi figli.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon potresti aiutarmi? Per favore...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nVi capisco, principessa... Ma ho anche altre\nragioni per rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuali sarebbero?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nDa quando è morto re Hyacinth, l'Elusia sta\nattraversando un periodo di crisi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nIn tempi come questi, basta il minimo\naccadimento per creare scompiglio nel regno.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nVoglio proteggere la nostra amata patria e\ndedicarmi con tutte le mie forze a rimetterla\nin piedi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nEcco perché il mio tempo scarseggia. Non potrei\ndedicarmi anche a voi, principessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nAllora è per questo che ti cercava mia sorella,\nl'altro giorno...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nScusami se ho insistito, Lindon. Sono stata\negoista.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nStavi lavorando con mia sorella per il bene\ndell'Elusia, e io ero qui che pensavo solo\nalla mia educazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nNon fatevene un cruccio.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nNon è sbagliato volersi migliorare,\nVostra Altezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nForse hai ragione. Grazie, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nComunque se hai bisogno di aiuto, sappi che\nci sono. Sono la principessa d'Elusia, non\ndimentichiamolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nCosa posso fare per il nostro regno?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nCi sarà qualcosa... Padre... dammi un segno.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nSe re Hyacinth fosse qui vi direbbe che siete\ngià una degna servitrice della patria.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa come fai a esserne sicuro? Mio padre non\nè più qui...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nE so di avergli causato molti problemi, quando\nera ancora tra noi. A differenza di mia sorella.\nLei era una figlia modello.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon mi stupirei se mio padre mi stesse\nlanciando sguardi di disappunto, dall'aldilà.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nCome sapete, all'inizio della mia carriera ero\nl'attendente di vostro zio, il fratello di vostro\npadre...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nAll'epoca non avevo una buona opinione su\nre Hyacinth.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDavvero? Non lo sapevo...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nCi furono delle discussioni legate a chi dovesse\nsuccedere al trono. Diciamo che vostro zio non\nera d'accordo con vostro padre.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nIl trono andò a vostro padre... e vostro zio\ndovette abbandonare il paese.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nIo avevo preso le parti di vostro zio, quindi non\nnutrivo grande simpatia nei confronti di vostro\npadre, all'inizio.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nMa un giorno il re mi disse: "Lindon, sei\nun degno servitore della patria".\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nRimasi molto stupito dalle sue parole. Credevo\nche saremmo stati nemici, e invece...!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nUn giorno poi capii cosa intendeva. Sia io sia lui\nlavoravamo per il bene dell'Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nQuindi ora posso prendermi la briga di parlare\nal posto suo e dirvi senza ombra di dubbio\nche anche voi servite degnamente la patria.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nGrazie per le belle parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nUn genitore ama i propri figli di un amore\nincondizionato.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nRe Hyacinth non potrebbe mai disapprovarvi,\nprincipessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nHo cresciuto tre figli, so quello che dico.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nVa bene, mi hai convinta.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi sento già meglio. Grazie davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nContinuerò a prendermi cura di me e farò del\nmio meglio per rendere orgoglioso mio padre!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nBene, mi fa piacere sentirlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リンデン\nForse ho poco tempo, ma non mi mancano\ni consigli. Se ne avrete ancora bisogno, sarò\nqui ad ascoltarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nSiete una brava signorina, ricca di risorse.\nNon vedo l'ora di vedervi diventare una donna\ndi successo.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nSarai orgoglioso di me, Lindon.\x0E\x04\x00\x00
