MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nQuest'isola ha una strana atmosfera... Sembra\nemanare un'energia magica.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nRelax\n\x0E\x03\x02\x0E\x0Cアルフレッド\nStavo pensando che conosci il Firene dai tempi\nantichi. È compito mio mostrarti quanto siamo\nforti adesso.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x14\x06セリカ\nAngry\n\x0E\x03\x02\x08\x06セリカ\nSbaglio o le tue parole trasudano molta\nautostima?\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNon potrebbe essere altrimenti, avendo la\ncertezza che vincerò la sfida!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02b\n\x0E\x05\x01\x16\x06セリカ\x0CStatus\n\x0E\x03\x02\x08\x06セリカ\nDevo ammettere che è strano combattere\ncontro di te, Céline.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x12\x08セリーヌ\x06Sad\n\x0E\x03\x02\x0A\x08セリーヌ\nCapisco. Piacerebbe anche a me sedermi a\nfare due chiacchiere, ma dato che è una sfida\nnon credo sia il momento adatto...\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x18\x08セリーヌ\x0CStrike\n\x0E\x03\x02\x0A\x08セリーヌ\nQuindi, invece di stare a chiacchierare\ncortesemente, combatterò con tutta me stessa.\nTi sta bene?\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x18\x06セリカ\x0EStandBy\n\x0E\x03\x02\x08\x06セリカ\nAnch'io non mi tratterrò, bada bene. Fammi\nvedere cosa sai fare.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nMi arrendo. Hai superato la sfida,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie, Celica.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06セリカ\nI legami che stringi ti rendono ancora più forte.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06セリカ\nContinua a coltivare questi legami con i tuoi\nalleati. Sono importanti.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06セリカ\nSolo così avrai la forza per salvare il mondo.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nMetterò tutt\x0E\x0A\x00\x08\x02o\x02a me stess\x0E\x0A\x00\x08\x02o\x02a in questo compito.\nColtiverò i legami che già ho e ne creerò di\nnuovi.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06セリカ\nUna volta ristabilita la pace con la forza, potrai\nfinalmente affidarti solo alla tua gentilezza.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06セリカ\nCon la gentilezza puoi creare un mondo senza\nconflitti e soprusi.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nCredi che ne sia in grado?\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x08\x06セリカ\nCerto, ho fiducia nelle tua capacità. Non sarà\nfacile, ma ce la farai.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nSpero che tu abbia ragione, Celica. Non mi resta\nche provare.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06セリカ\nEheh. Uniamo i nostri poteri e riportiamo\nla gentilezza in questo mondo, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nPuoi dirlo forte!\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
