MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJean, ti devo dei ringraziamenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nMi dispiace tanto. Ma grazie per aver pensato\na me!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAllora rimandiamo a un'altra volta. L'attesa lo\nrenderà ancora più buono.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nCerto che il tè della mia isola deve essere\ndavvero speciale!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nEheh. E te ne accorgi solo ora?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nQuel tè è senza paragoni, te lo assicuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nAccipicchia!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nHai mai pensato di lavorare nel campo?\nDi seguire le orme di tua madre, intendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nNon direi. Mi piace il tè, ma non salva vite.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nNon... salva vite?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ジャン\nMh? Principessa Céline?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nNon è niente. Ora continua a studiare.\nMi riprendo le mie foglie e ti lascio sfogliare\ni tuoi libri.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nVi ringrazio. Ero arrivato a un punto\ninteressante!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nFai il bravo, ma non chiedere troppo a te stesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nUgh... Non vuole entrarmi in testa...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\nCiao, Jean. Vedo che sei sempre immerso nei\ntuoi studi.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ジャン\nPrincipessa Céline!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nNon so quante volte ho riletto questo capitolo.\nLa mia testa non ce la fa più.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSo io cosa ti serve. Ecco qui.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nChe profumo... È il tè del mio villaggio?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nPenso proprio che tu abbia bisogno di una\npausa dallo studio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nWow. Vi ringrazio, principessa Céline!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nMmmh, che buon profumo... Così rilassante.\nMi ricorda casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nUna volta mi hai detto che non credevi che il\ntè potesse salvare delle vite.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nMa ti dirò che il tè del tuo villaggio mi ha salvata\ntante volte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nIl tè... vi ha salvata?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nQuando qualcosa va storto e mi sento un po'\ngiù... so che è il momento di un buon tè.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nUna tazza di tè bello caldo fa miracoli in quei\nmomenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nLe cose prendono subito il verso giusto, fosse\nanche solo perché mi aiuta a riflettere.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nE se i problemi che mi affliggono sono gravi,\nnon ha forse senso dire che il tè mi salva?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nPenso di sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nIn effetti mi sento già meglio!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nGrazie, principessa Céline. Oggi ho imparato una\nlezione importante, e non era nei libri.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ジャン\nForse il tè ha davvero delle qualità curative\ndal punto di vista medico. Scusate se non l'ho\nriconosciuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNon hai niente di cui scusarti. Sono contenta\nche tu ti senta meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nQuando torno a casa dalla mamma le dirò che\nil suo tè è il migliore del mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nSe mai avesse qualche dubbio, andrò a farle\nvisita di persona per dirle quanto sia buono.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nVostra Altezza, pensavo... Forse è un buon\nmomento per il nostro tè.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nBere da solo non è divertente e poi...\nMi piacerebbe parlare un po' con voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\nAppena finito mi rimetto a studiare,\nnaturalmente!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nIhihih... Ne sarei felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nIn effetti mi sento in vena di bere un tè. Chiedo\nscusa per non averti invitato subito.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セリーヌ\nAllora andiamo nella sala da tè? C'è ancora\ncosì tanto da dire su questa bevanda deliziosa!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ジャン\nVi seguo!\x0E\x04\x00\x00
