MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nNon eravamo altro che due viaggiatrici che\nvagavano insieme per il regno.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nAll'epoca, ovviamente, non avevo idea che tu\nfossi la principessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nMa tu non me l'hai mai chiesto! Pensavo che\nalla fine ci saresti arrivata da sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nMia principessa, ascolta.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nLe principesse di solito non sgattaiolano fuori\ndal palazzo per sgominare bande di ladri.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nMa io non sono come le altre principesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nAhahah! Non lo metto in dubbio.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nMa ti ricordi com'ero sconvolta quando scoprii\nche eri la principessa di Solm?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nAvevo appena finito di raccontarti...\npraticamente la storia della mia vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nCome avevo sempre sognato di diventare una\ncavaliera, nonostante non potessi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nTi dissi che era quello il motivo per cui ero\nscappata di casa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nE allora tu...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nTi chiesi se volevi davvero, con tutto il cuore,\ndiventare una cavaliera.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nE io risposi: "Sì, lo desidero con tutto il mio\ncuore".\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nPosasti la spada sulle mie spalle, una e poi\nl'altra, e dicesti...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n"Ti nomino cavaliera del regno."\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nIo scoppiai a ridere! Pensavo fosse uno\nscherzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nMa tu non ridevi, mia principessa.\nMi guardavi negli occhi con totale serietà.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nNon scorderò mai il tuo sguardo quando mi\nnominasti cavaliera. Così serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nCerto che ero seria.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nDopo tutto il tempo che avevamo passato\ninsieme, sapevo che eri una brava persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nSarei stata pazza a non legarti a me al più\npresto.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nEheheh... mia principessa, non mi adulare.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nMa avrei preferito che mi rivelassi prima la tua\nidentità...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nAncora?! Non ci avevo pensato, davvero...\nMa te l'ho detto subito dopo, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nSiamo anche andate insieme al tuo villaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nSì, è vero.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nIl modo in cui ti inchinasti di fronte a mia\nmadre, la matriarca...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\n... chiedendole di dare il suo benestare alla\nmia nomina di cavaliera.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nNon l'avevo mai vista così sconvolta.\nMa accettò a condizione che tornassi un giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nTua madre è una brava persona. Capì subito\nche non avremmo accettato rifiuti.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nAhah.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nDa quel momento, ero nelle tue mani.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nQuello è il giorno in cui le nuvole si dispersero\ne la mia vita fu illuminata.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nE poi sarei io l'adulatrice!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nE la tua luce non si affievolirà mai.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nQuesto, mia principessa, è il motivo per cui\ndecisi di mettermi al tuo servizio.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nGrazie, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nSpero che resterai al mio fianco per sempre,\nmia cavaliera senza macchia e senza paura.\nAmica mia.\x0E\x04\x00\x00
