MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAhia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nSembrava troppo bello per essere vero.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAh, che peccato.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nAmmetto però di essere anche un po' sollevato.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nAh, sì? Come mai?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\n"Ho guadagnato esperienza." "Il mondo ha\nbisogno di mentori."\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nLe tue parole mi risuonavano sempre in testa,\nmentre facevo i miei esperimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nDa giovane ho imparato molte cose grazie\nalla guida di chi era più saggio e più vecchio\ndi me.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nUn mondo senza mentori non sembra\nun bel posto dove vivere.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nInoltre, invecchiare e veder scemare le mie\nabilità di cavaliere mi ha insegnato qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nForse è proprio grazie alla nostra età che\nriusciamo a occupare questo ruolo nella società.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nBene, mi fa piacere che abbiate tratto delle\nsagge conclusioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nPeccato che chiunque abbia scritto quel tomo\nnon abbia avuto una guida al suo fianco che\nlo facesse ragionare...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nDevo ammettere che ci sono rimasto male,\nquando ho trovato l'errore... eppure ho ricavato\nuna lezione anche da questa avventura.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nDitemi, sono curioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nGuardami bene. Noti qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nUhm... Sembrate più arzillo della volta scorsa.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nOttima osservazione!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nInfatti nelle mie ricerche, ho almeno scoperto un\npiccolo rituale che libera dai dolori di schiena.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nE ora mi sento arzillo come un fringuello!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nDite davvero?!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nSbaglio o c'è interesse da parte tua? Per\ncaso la schiena ti ha dato qualche problema?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nLo ammetto, sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08リンデン\nNon dire altro! Ora stai fermo così, e lascia che\nio esegua il rituale magico.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nPensaci, ti sarà più facile fare da mentore,\nsenza dolori di schiena.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nヴァンドレ\nCi vuole proprio un saggio elusiano per riuscire\na trovare un lato positivo anche nei fallimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nTroppo gentile. E ora mostriamo a quegli\nsbarbatelli cosa siamo in grado di fare noi\nvegliardi!\x0E\x04\x00\x00
