MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nQuando sarò soddisfatta del risultato, allora\naccetterò con piacere.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nCapito. Quando pensi che avverrà?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nQuando avrò messo da parte l'odio.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nCosa significa?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nNella guerra con l'Elusia è stato versato troppo\nsangue.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nNon è qualcosa che si supera da un giorno\nall'altro.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nVorrei lasciarmi tutto alle spalle, ma per farlo\ndovrò diventare ancora più forte.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nHo capito. Mi dispiace, Saphir. Non volevo\nrisvegliare dei brutti ricordi.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nザフィーア\nNo, la colpa è solo mia. Sono contenta\ndel vostro invito e mi dispiace doverlo\nrifiutare per ora.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSaphir! Per caso è la giornata buona per\nun combattimento con te?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nPrincipe Diamant, ve l'ho detto. Ora come ora,\nno...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nLo so, lo so. Ma anche se pensi di non essere\npronta, vorrei lo stesso farmi un'idea delle\ntue abilità.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nD'accordo. Sarebbe maleducato rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nMa se vinco io, vorrei che mi ascoltaste.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nSe hai bisogno di parlarmi non serve\ncombattere.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nVe lo dirò solo se vinco. Altrimenti non avrebbe\nsenso.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nInteressante. Affare fatto, allora.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x04\x03\x04
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nMi hai sconfitto per davvero...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSapevo che fossi forte... ma non credevo fino\na questo punto.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nE va bene. Un patto è un patto. Di cosa volevi\nparlarmi?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nAllora...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nQuand'ero ancora una bambina... il mio villaggio\nvenne attaccato e raso al suolo dall'esercito\nelusiano.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nSe sopravvissi fu solo per un colpo di fortuna,\nma i miei genitori e amici non ce la fecero.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nA quel tempo... non avrei potuto fare niente.\nEro indifesa.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nAncora oggi mi addolora... vorrei strapparmi\nil cuore con le mani, tanto è il tormento.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nConosco questo tipo di dolore.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nSe mi alleno così tanto è solo per liberarmi\nda questa angoscia.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nI regnanti come me dichiarano le guerre... ma\na pagarne il prezzo sono i civili e i militari.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nTutto l'allenamento che fai potrebbe servire\na salvare dei brodiani un domani. Questo è\nciò che conta maggiormente.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nGrazie, principe Diamant. Mi sento molto meglio\nora che vi ho parlato.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nザフィーア\nIl dolore è come una zavorra. Farò di tutto per\nliberarmene.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPrincipe Diamant... Vi serviva qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nHo notato una certa esitazione nei tuoi ultimi\nallenamenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nMi alleno per superare la mia angoscia, ma più\ndivento forte, più ho paura...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nSe continuo così rischio di diventare qualcuno\nil cui unico scopo è fare del male agli altri...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nLe guerre lasciano delle cicatrici indelebili.\nEntrambe le fazioni ne rimangono\nimmancabilmente segnate.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nAnche io tendo a sentirmi perso, proprio come\nte... ma poi cerco di concentrarmi su due cose.\nPrimo: non posso scappare da nessuna parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nSecondo: non combatto per vincere. Combatto\nper mettere fine allo scontro. E come soldati,\nè tutto ciò che possiamo fare.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nNon so se potrei riuscirci.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nMi dispiace... ma ci tocca. È l'unico modo che\nabbiamo per cambiare un mondo vittima delle\nguerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nFarò del mio meglio...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nCon voi al mio fianco, sento che posso farcela.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ proprio questa la ragione per cui ci alleniamo\ninsieme: per diventare più forti nel fisico e nel\nnostro legame.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nA forza di parlare di combattimenti... mi sento\nin vena di un altro dei nostri allenamenti. Che\nne dici?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nNon possiamo fare molto altro, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nEsattamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nVa bene. Ma non trattenetevi questa volta!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nCredi che mi stessi trattenendo? Io non mi\ntrattengo mai, sia ben chiaro!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nSe lo dite voi. Avanti, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nAhah. Sono pronto più che mai! Fatti sotto!\x0E\x04\x00\x00
