MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...! Griss...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle, volevo chiederti scusa per il nostro\nultimo incontro. Ti ho portato un dono.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nUn dono? Grazie, Gregory. Di cosa si tratta?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nBeh, mi sono informato un po' in giro e mi\nhanno detto che ti piacciono i sapori piccanti...\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Allora sono andato a comprare le spezie più\npiccanti che ho trovato. Le proviamo insieme?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nHai fatto tutto questo per me?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nBeh, se si fa qualcosa bisogna farla bene.\nTi prego, serviti pure, se ti piace!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	(È sempre così gentile. Eppure... anche se so che\nnon è Griss, quando sono insieme a lui non mi\nsento a mio agio.)\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nEh? C'è qualcosa che non va? Non ti va di\nmangiare da sola, forse?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Allora ti farò compagnia. Uhm, questo panino\nrosso fuoco sembra buono.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nAttento, quello sembra piccantissimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nUhm... non è piccante come pensavo.\nO forse... il bruciore arriva dopo?\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Aaaaargh!!!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh, no! Ti vado a prendere dell'acqua!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nCoff! Coff! Non preoccuparti per me, sto bene!\nTi prego, assaggia qualcosa anche tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nS-Sei sicuro? Beh, se insisti... proverò anche\nio quello che hai preso tu.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Ma è delizioso! Non l'avevo mai mangiato prima,\nma è proprio il livello di piccantezza che piace\na me!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nDici sul serio? Non lo trovi troppo piccante?\nWow...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Sono contento di averti strappato un sorriso\nfinalmente. Ce n'è ancora tanto. Coff! Non fare\ncomplimenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nStai sudando. Ti senti bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nグレゴリー\nForse era un po' troppo piccante per me.\nNon ho il tuo stesso livello di sopportazione...\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Ma sto bene, davvero. Ce la posso fare...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nGregory?! Gregory!\x0E\x04\x02\x00
MID_RELIANCE_B_#024	E adesso che faccio? È svenuto! Devo andare\na chiamare aiuto!\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Oh, perché hai esagerato così?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle, mi dispiace per l'altra volta.\nNon volevo spaventarti, quando sono svenuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nNon preoccuparti, l'importante è che tu stia\nbene.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nVoglio comunque chiederti scusa e, per farmi\nperdonare, ho portato dei nuovi stuzzichini da\nprovare insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nSono tutti piccanti? Li hai nuovamente scelti\nper venire incontro ai miei gusti?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Apprezzo il gesto, ma se non puoi mangiarli\ninsieme a me...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nNon temere, mi sono esercitato.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nPerò...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nForza, mangiamo!\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Uhm... questo biscotto rosso fuoco ha un\nprofumino... O è meglio questo? No, prendo\nquesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nVacci piano, mi raccomando.\nHo visto che non tolleri il piccante.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nSì che lo tollero! Mi piace il cibo piccante,\ndavvero!\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Adesso provo questo tortino... Urgh! Pizzica\nil naso solo a sentirne l'odore.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nMa perché lo fai? Spero che non sia solo per\nme.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nBeh, a nessuno piace aver paura, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNon ti capisco...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nSo che hai paura di me. Ti basta guardarmi\nper cominciare a tremare.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	A me non piace avere paura, quindi l'ultima\ncosa che desidero è far provare a te questa\nsensazione.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	So che l'altro me stesso ti ha ferita... ma io non\nsono un tuo nemico. Non oserei mai\nspaventarti o farti del male.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Speravo di potertelo dimostrare in questo\nmodo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nHo capito... forse.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nSe mangiare insieme questo cibo ti rende felice,\nallora ne vale la pena. Mi abituerò al bruciore.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nNon ho più paura di te, Gregory. È evidente\nche sei una persona buona.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Ma... mi spaventi quando esageri in questo\nmodo per il mio bene. Ho paura che potresti\nsvenire di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nLa prossima volta, se vorrai portarmi un dono,\ndovrà essere qualcosa che piaccia a entrambi.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Voglio che siamo amici, ma ciò non significa\nfare qualcosa che ci metta in difficoltà.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	A meno che tu non voglia essere mio amico...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nNo! Cioè, sì! Certo che voglio essere tuo amico.\nSe sta bene a te...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie!\x0E\x04\x02\x00
MID_RELIANCE_A_#030	A proposito, che cibo piace a te?\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Ora tocca a me portarti qualcosa, per\nringraziarti di tutto quello che hai fatto per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nグレゴリー\nGrazie, lady Veyle. Porterò del cibo che piace\nanche a me... quando potrò sentire di nuovo\ni sapori.\x0E\x04\x00\x00
