MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nQuesto bracciale contiene un emblema.\nMa al suo interno... la situazione è complicata.\x0E\x04\x02\x00
MID_OP1_2_#026	\x0E\x03\x02\x0A\x08リュール\nEheh. Dev'essere stata una nottata campale.\x0E\x04\x00\x00
MID_OP1_2_#027	\x0E\x03\x02\x0C\nディミトリ\nLo hai appena incontrato, non mi aspetto che tu\ncapisca quando scherza. Lascia che ti dia un\nconsiglio: ignora la metà di ciò che dice.\x0E\x04\x00\x00
MID_OP1_2_#028	\x0E\x03\x02\x0A\x08クロード\nE dai, non esagerare. Almeno un terzo di quello\nche dico è degno di essere ascoltato.\x0E\x04\x00\x00
MID_OP1_2_#029	\x0E\x03\x02\x10\x0Eエーデルガルト\nLo sai, vero, che un terzo è meno della metà?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x08\x06ベレト\nVedo che abbiamo guadagnato tre validi alleati.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nProfessore! Anche tu qui? Ora sì che mi sento\nmotivata.\x0E\x04\x02\x00
MID_OP2_#003	Che onore combattere al tuo fianco!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06ベレト\nFarò in modo di essere degno del tuo rispetto,\nallora.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0C\nディミトリ\nQuesto momento mi ricorda la prima volta che\nincontrammo il professore.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0Eエーデルガルト\nParli della notte in cui l'accampamento\nfu attaccato dai banditi?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nディミトリ\nSì. Con l'unica differenza che ora Claude non\npotrà fare la sua "ritirata strategica".\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08クロード\nSiamo costretti a stare insieme, mh?\x0E\x04\x02\x00
MID_OP2_#009	Detesto dirlo, ma dovremo cercare di andare\nd'accordo se dobbiamo combattere nello stesso\nesercito.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ベレト\nCe la farete.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x10\x0Eエーデルガルト\nGiusto. Da soli non si arriva a nulla.\x0E\x04\x02\x00
MID_OP2_#012	Ma se restiamo uniti come parte di questo\nesercito, una sconfitta sarà impossibile.\x0E\x04\x02\x00
MID_OP2_#013	A costo di sembrare arrogante, sono certa che\ngrazie agli insegnamenti del nostro professore\nsiamo in grado di superare ogni ostacolo.\x0E\x04\x02\x00
MID_OP2_#014	Non sei d'accordo, professore?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x08\x06ベレト\nCerto, sono orgoglioso di voi. Combatteremo\nassieme fino alla fine.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nLasciamelo dire formalmente, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP3_#002	Il nostro potere è a tua disposizione, fanne buon\nuso.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0C\nディミトリ\nLa vittoria sarà nostra, non temere. Ti aiuteremo\nnoi.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08クロード\nSe questi due con le loro tattiche convenzionali\ndovessero fallire, ti mostrerò qualche trucchetto\ndei miei.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nGrazie, mi sento sollevat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_OP3_#006	Farò in modo che possiate collaborare al meglio.\x0E\x04\x00\x00
