MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nDavvero?! Ugh... Ma non ci riesco.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nForza, dai, è solo questione di pratica. Un\nerrorino maldestro non è la fine del mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nMaldestro! Eh già, è proprio quello che sono...\nUgh. Mi arrendo, Vander. Il lavoro a maglia\nnon fa per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nApprezzo il tuo sforzo e la tua pazienza, ma non\nsono fatta per queste cose.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nE questo cosa sarebbe? Non credevo che i\ncavalieri brodiani si tirassero indietro alla prima\ndifficoltà.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nPensavo foste più risoluti, ma si vede che mi\nsbagliavo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nUhm.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nChe fai, mi provochi? Non ti si addice.\nMeglio se torni al tuo passatempo delicato.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nMa su una cosa hai ragione. I cavalieri brodiani\nnon si tirano indietro di fronte a niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nForse sono stato troppo severo con te.\nCercherò di essere più paziente.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nNo, no. Hai già fatto più del dovuto. Continuerò\nda sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nVedrai, farò un lavoro coi fiocchi. Ti farò\nschizzare di dosso l'armatura.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nMmmh... Allora aspetto con ansia di vedere\ni risultati del tuo lavoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nVander! Ho finito il mio lavoro a maglia!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nBene, bene. Era ora!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nÈ solo un piccolo borsello... però non è venuto\nmale, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nUhm... I punti sono dritti e non vedo anelli\nsaltati. Un lavoro eccellente.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSembra proprio il degno risultato di tanti sforzi\ne molta dedizione. Sono orgoglioso di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nDevo dire, una volta che mi sono abituata al\nritmo... mi è quasi piaciuto. Lo trovo molto\nrilassante, sembra quasi di meditare.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nOra capisco cosa volevi dire quando dicevi\nche era come un allenamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nGrazie per i tuoi insegnamenti, Vander.\nIn segno di gratitudine... ti ho fatto questo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nNulla di eccessivo. Giusto una sciocchezzuola\nche ho ricavato dagli scarti del gomitolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nUna sciarpa!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nIl borsello era già molto ben fatto, ma sono\nstupito che tu sia riuscita a fare anche questa\nsciarpa così in poco tempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nI cavalieri brodiani odiano tirarsi indietro, tanto\nquanto amano imparare cose nuove. Ci vuole\nolio di gomito.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nBrava. Comunque non mi farò superare dalla\nmia allieva così facilmente!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nHo ancora tanta strada da fare per quello.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nForse potremmo allenarci insieme, sai?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nAllenarci?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nIo ti insegnerò il lavoro a maglia e tu potresti\ninsegnarmi qualcuna delle tue tecniche di\ncombattimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nOra sì che si ragiona!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nVa bene, lo farò con piacere. Abbiamo tante\ncose da imparare l'una dall'altro!\x0E\x04\x00\x00
