MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\nChe stai facendo, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nAh, Zelkov! Ti stavo *aspettando*!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDrago Divino?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nHo finito i miei compiti *in anticipo* e così sono\nvenut\x0E\x0A\x00\x08\x02o\x02a *qui*. Spero non ti *disturbi*!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNon mi disturbate affatto, ma questo vostro\nmodo di parlare suggerisce un *significato\nprofondo*?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nForse. O forse hai *influenzato* il mio modo\ndi parlare, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nNon dovreste seguire le mie orme, o la\ngente vi lancerà *occhiate* strane.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nLasciali fare. Non mi *importa* cosa la gente\npensa di me.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nMi sto solo *divertendo* e *ammazzo il tempo*\nparlando come se ci fosse un *significato\nprofondo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nOh, no no no! Vi prego, Drago Divino, non\nlasciatevi *influenzare* da uno come me.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nPerché *no*?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nNon potremmo essere più diversi, Drago Divino.\nVoi avete uno *scopo* importante da compiere.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nSono un'influenza terribile. Vi prego, seguite\nil cammino più *consono* al vostro obiettivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nNo, non penso che lo *farò*. Non in questa\nstanza, comunque.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nCosa intendete?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nÈ vero che ci sono *differenze* tra me e te,\n*Zelkov*.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nMa qui, in *questa* stanza, che cosa importano\nqueste *differenze*?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nStiamo solo *ammazzando il tempo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nMi spiace avervi riempito la testa con queste\n*fandonie*.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nNon ti scusare. *Sbrigati*, dimmi di più sulla\ntua *collezione*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nCome volete. Aaah, questo pezzo è *perfetto*.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\n*Le 100 parole più misteriose da enfatizzare\nper suggerire un significato profondo.*\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nOooh! Sembra *interessante*!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nVi stavo *aspettando*, Drago Divino. Prego,\nsedetevi.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nCosa facciamo di bello oggi, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nOggi vorrei raccontarvi una *storia*.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nDi cosa parla?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nParla di come sono diventato ciò che sono.\nDel perché ho bisogno di questi *obiettivi*\na farmi da ragione di vita.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nTemo che sia una storia un po' *lugubre*, ma è\nl'unico modo che ho per farvi comprendere.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nQuando ero piccolo, i miei familiari furono\nattaccati e *uccisi* dai banditi.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nMa è terribile...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nGiurai *vendetta*... Fu questo il mio primo\nscopo di vita, che mi portò a diventare un\nassassino.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nUna decina di anni fa, i miei *sforzi* diedero\ni loro ultimi frutti. Tutti gli assassini della mia\nfamiglia erano stati eliminati.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMa non appena arrivai alla fine, mi resi conto\nche non mi restava *niente*. Nessuno scopo.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nFu re Hyacinth a salvarmi, alquanto\nfortuitamente. Fui *selezionato* per entrare\nnella guardia reale.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPoi fui *promosso* ad attendente e da allora\nè soprattutto *questo* che mi fa andare avanti.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nE ora sono *qui*, davanti a voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nGrazie per esserti confidato. Ma ancora non mi\nè chiaro perché ci tenessi a farlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nMi piacerebbe che mi affiancaste nella mia\nperenne ricerca di un obiettivo, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nHo capito bene?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nPerdonate la mia sciocca richiesta. Avrei dovuto\n*immaginare* che non avreste desiderato niente\ndel genere.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nTutt'altro, Zelkov. In realtà non c'è nulla che\nio desideri di più.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nÈ già da un po' che pensavo di darti una cosa,\ne penso che sia arrivato il momento di farlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nL'anello del *patto*...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nVoglio starti accanto e sostenerti, che sia\nper ammazzare il tempo o per uno scopo più\nnobile.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nDite sul *serio*?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nCerto. Pensi che scherzerei su qualcosa così\nimportante?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nNo... Allora accetto con piacere.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nIn cambio voi prendete questo regalo da parte\nmia, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nUna collana? Ma che bella!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nHo selezionato ciascuna parte in modo che\nrappresentasse un aspetto della mia devozione\nnei vostri confronti.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio, Zelkov. È bellissima.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nOra che ci penso...\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nCosa c'è?\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nStai parlando... in modo diverso dal solito, ma\nnon capisco bene perché.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nEheh, avete ragione. Non ho sentito il bisogno\ndi far sembrare che le mie parole avessero un\nsignificato più profondo.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nProbabilmente perché questa conversazione\nè già pregna di significato per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nEheh, sono lusingat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nE ora raccontami tutto. Dimmi come hai scelto\ni materiali per la collana.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nVa bene, vi racconto tutto il procedimento,\ndal principio alla fine.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08ゼルコバ\nE capirete come ogni singola scelta sia stata\ndettata dall'affetto che provo per voi.\x0E\x04\x00\x00
