MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nClanne, cos'hai lì?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06クラン\nMa così facendo non potrò mai creare qualcosa\ndi nuovo e più buono...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\nLady Veyle! Mi avete aperto gli occhi!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nCosì mi piace! Allora proviamo con\ni peperoncini?\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\nSarà fatto!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nClanne, hai poi preparato quei sottaceti\npiccanti?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nStanno marinando proprio ora. Ma il colore\ndell'acqua mi preoccupa un po'... Sembra\nun po' troppo rossa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nSono sicura che saranno buonissimi. Non\nvedo l'ora di assaggiarli.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nChe c'è? Sei così silenzioso.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nÈ solo che mi avete fatto pensare a mia sorella.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nAh, sì? Spiegati meglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nAvete detto che tutto andrà bene, anche se non\nne avete le prove. Anche lei fa sempre così.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nNon è molto gentile quello che dici.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nGah! Scusatemi!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nTranquillo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nSiete gemelli, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nMh mh. Ma io sono il più vecchio.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nMi chiedo cosa si provi a crescere con\nun fratello o una sorella.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nSono lontana \x0E\x0A\x00\x14\x06dal\ndalla mi\x0E\x0A\x00\x08\x02o\x02a da così tanto tempo\nche non so più come ci si senta...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nOra è difficile recuperare tutto il tempo perduto.\nNon so cosa significhi essere una famiglia...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nSono un po' invidiosa. Tu e tua sorella sembrate\ninseparabili.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nAvere una sorella per me è come... respirare\nl'aria.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nCioè?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nL'aria la diamo per scontata, ma se non ci fosse\nci mancherebbe, eccome. Non so se riesco a\nspiegarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nCredo di avere capito.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nPiacerebbe anche a me essere così per\nqualcuno... come l'aria...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クラン\nSecondo me lo siete già.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06クラン\nLa famiglia è sempre la famiglia. Nonostante\nla lontananza, c'è qualcuno per cui voi siete\ncome l'aria.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie, Clanne. Le tue parole sono un balsamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06クラン\nLady Veyle. I peperoncini sottaceto sono\npronti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nMa è fantastico! Posso assaggiarli?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nSembrano piccanti da far paura, ma se avete\nil coraggio... servitevi pure!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nLady Veyle! State bene?! Vado a chiamare\naiuto?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nGah... Coff, coff... M-Ma sono...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nOh, accipicchia! Oh, mamma! Vado a cercare\nqualcuno!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nNo... Coff... Sto bene, non preoccuparti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSono deliziosi!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNon potrò più farne a meno!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nMa... sembrate un po' sofferente... Siete sicura\ndi stare bene? Mi sento così in colpa.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMai stata meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nClanne, devi assolutamente assaggiarli.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nMh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nFidati, ne vale la pena.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nMh. Mi fido di voi...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nCrunch. Mmmh...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nUrgh... Uh... Uaaaah! Aiuto, aiuto!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nCome piccano... ma mi sta tornando la\nsensazione sulla lingua... e anche il sapore...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nAvete ragione... sono proprio buoni!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nVisto? Lo dicevo, io! Non sei contento di\naver provato qualcosa di nuovo?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nUna volta tanto sì, sono contento!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nVisto che mi avete spinto a creare dei sottaceti\nancora migliori, ora c'è qualcos'altro che vorrei\nfarvi provare.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nOooh? Hai qualcosa di ancora più piccante?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nNo, basta sottaceti. Ma mi chiedevo se vi\nfacesse piacere far finta di essere mia sorella.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クラン\nNon dico di fare per davvero. Solo fare finta\ndi essere fratello e sorella maggiore.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06クラン\nVoi mi avete insegnato una nuova ricetta, e io\npotrei insegnarvi le dinamiche familiari.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nAh, sarebbe bello, sì...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nMa sei sicuro che posso? Non è un problema\nper te?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クラン\nVoi mi avete aiutato a scoprire un modo tutto\nnuovo di fare i sottaceti, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クラン\nQuesto è il mio modo per ringraziarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ヴェイル\nVa bene... allora sarò tua sorella.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06クラン\nBenvenuta in famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nAllora farò la sorella maggiore e tu sarai il mio\nfratellino.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06クラン\nFramme è la gemella più piccola, quindi mi sono\nsempre chiesto come sia avere una sorella\nmaggiore.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ヴェイル\nE per me un fratello minore è una novità.\nProviamo, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06クラン\nGrazie, sorellona!\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ヴェイル\nEheh. Mi sembra così strano essere\nuna sorella maggiore. Strano... ma bello.\x0E\x04\x00\x00
