MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nGregory, come te la passi? Ti stai abituando\nal nuovo mondo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nMauvier me ne parlò solo una volta. Mi disse\ndi quanto rimpiangeva non essere stato in grado\ndi proteggerla.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Mi raccontò che lei era morta prematuramente\na causa sua, in una battaglia insensata.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nPortiamo tutti un fardello sulle spalle e avere\nun luogo a cui sappiamo di poter tornare ci\nallevia questa sofferenza.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Nessuno di noi ha mai avuto niente di simile,\nper questo Mauvier fondò i Quattro Venti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nグレゴリー\nMessa così riesco a capire cosa vuoi dire, ma\nnon è una cosa diversa dalla famiglia?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nAll'inizio sarei stata d'accordo con te.\nI Quattro Venti erano amici e alleati, non una\nfamiglia.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Dopo aver passato del tempo insieme, ridendo\ne parlando, mi sono resa conto che stavamo\nriempiendo quei nostri vuoti.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Noi quattro ci siamo sostenuti a vicenda in un\nmodo in cui altri non avrebbero potuto.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	È qualcosa che può essere fatto solo da persone\npiù vicine degli amici, persone di cui ti fidi\nciecamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nQuesto sì che sembra una famiglia...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nLa penso così anche io. È per questo che\ndobbiamo proteggerci a vicenda.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	I Quattro Venti sono la nostra famiglia. Anche se\nuno di noi non c'è più, dobbiamo continuare a\nproteggere quello che abbiamo.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Persino se alla fine dovesse rimanere solo uno\ndi noi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nE visto che tu sei un Drago Magico, con buona\nprobabilità quella sarai proprio tu...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\nOh! Niente.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Sono curioso... Se siamo una famiglia, quali\nsono i nostri ruoli al suo interno?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nIo sono la mamma. Mauvier è il fratello\nmaggiore, tu il minore e Madeline la sorellina.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nAhahah! Tutto torna. Ma perché io sarei il\nfratello minore? E dov'è papà?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, preferiresti essere il padre?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nNon mi ci vedo.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	E tu dovresti essere la sorella maggiore, invece\ndella mamma. Non sei poi così vecchia.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nSei un vero cavaliere... ma no, io vi amo come\nuna mamma ama i propri figli.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Per questo puoi anche fare un po' di capricci\nquando sei con me. Non fare il timido.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Vedi come scherziamo tra di noi?\nÈ così che si fa in famiglia, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nSì, a dire il vero... è un sollievo sentirtelo dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Ora e per sempre, i Quattro Venti saranno una\nfamiglia, un luogo sicuro a cui poter far ritorno.\x0E\x04\x00\x00
