MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nOrmai nel nostro gruppo ci sono fin troppe\npersone carine. Inammissibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nProvalo pure, se non mi credi!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nMmh... che buon profumo! Vediamo un po'.\nUno spruzzo e via! Allora, sono carina ora?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nWoah! Ci siamo! Funziona persino meglio\ndi quanto sperassi!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nDavvero? Quindi ora sono completamente\nirresistibile?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nSenza dubbio!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06アンナ\nMi sento generosa, te ne lascio un campioncino.\nE se ti piace torna a comprarlo, mi raccomando!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPosso dirti due parole, signorina Anna?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nAh, principessa Hortensia! Com'è andata col\nprofumo? Sei qui per fare rifornimento?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, non penso che questo profumo mi serva.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nPerché? Non ha funzionato?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, sì, ha funzionato. Ero al centro\ndell'attenzione.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nPerò... non voglio più usarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nMa perché? La popolarità era quello che volevi,\nno?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon fraintendermi, amo i trucchi e i profumi, ma\npenso che d'ora in avanti mi terrò lontana da\nquesti mezzucci.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nLa magia è una scorciatoia troppo facile. Non\nc'è gusto così. Voglio guadagnarmele, le\nattenzioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nChiedo scusa, allora, principessa Hortensia.\nNon era il prodotto giusto per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nInvece lo era. Se ho capito tutto questo è solo\ngrazie al tuo profumo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nTe ne sono grata, sai?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nWoah.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nPer me sei più favolosa adesso che quando\navevi addosso il profumo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nGrazie. D'ora in avanti cercherò di perfezionare\nil mio fascino a modo mio, senza trucchetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nE io continuerò a lavorare sodo per diventare\nla mercante numero uno al mondo!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi sembra un ottimo obiettivo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nA proposito, ti interessa la mia linea di prodotti\ndi bellezza non magici?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nHo tutto ciò che ti serve per spianare la tua\nstrada verso la popolarità!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhih... sei proprio una venditrice nata, signorina\nAnna!\x0E\x04\x00\x00
