MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Spasso, spasso per tutti! Suono la chitarra\ne compro dei frutti! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nDevo ammettere che è stata una bella sfida.\nUna boccata d'aria fresca.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMa probabilmente non sono tagliato per\nil tuo approccio.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nMi sento più a mio agio a servire il mio popolo\ncon la forza e il combattimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nÈ anche giusto che ognuno faccia le cose\na modo suo.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie per avermi permesso di accompagnarti,\nprincipessa Timerra. Mi sono divertito.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nミスティラ\nAnche io mi sono divertita. Abbiamo stili\ndiversi, ma facciamo una bella squadra.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrincipe Diamant, ti dispiace se mi unisco\na te durante gli allenamenti?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nCerto che no, ma ti avverto... il mio allenamento\nè piuttosto intenso.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nGuarda che so fare altro oltre a cantare.\nVedrai, questa ragazza scoppia di energia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nBenissimo, allora cominciamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nBene, siamo a metà... prendiamoci una pausa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nAnf... anf...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nNon scherzavi... quando hai detto...\nche il tuo allenamento... è intenso...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nPensavo di... scoppiare di energia...\nma mi sento già a pezzi...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nSono sorpreso che tu sia arrivata fin qui!\nDi solito si fermano molto prima.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nCon tutta quell'energia che hai immagina cosa\nsuccederebbe se ti allenassi ancora di più.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nGrazie, ma preferisco continuare a fare le cose\na modo mio.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nAaaah... bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nEhi, detto tra me e te... pensi che la pace\nsia davvero possibile?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nBella domanda... me lo chiedo spesso anche io.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nCome guide dei nostri paesi, è nostro dovere\ncredere che la pace sia possibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nSe non combattiamo noi per assicurare un\nfuturo pacifico al nostro regno, chi lo farà?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nHai ragione... anche se il futuro è incerto, è\nun motivo in più per provare a cambiarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nParlare con te mi ha dato la forza di credere\nin un futuro più luminoso.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nNe sono felice. Siamo entrambi eredi al trono\ndei nostri regni... Se avrai bisogno di parlare,\nio ci sarò sempre per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nGrazie, lo apprezzo davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nBene, è ora di riprendere l'allenamento.\nSei pronta a continuare?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nSai una cosa? Ho appena avuto una grande\nidea.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nPerché non ci mettiamo a cantare per il resto\ndell'allenamento? Potrebbe essere divertente.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nSì, sembra divertente... ma comincia tu.\x0E\x04\x00\x00
