MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, no... Non so proprio come fare...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nSai, Goldmary, mi sorprende che tu venga da\nun villaggio. Sei così sofisticata.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, non esagerare. Ma hai ragione, continua.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nVediamo se indovino. Sei nata lì, ma sei\ncresciuta in una grande città?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo, in realtà ho lasciato il villaggio solo\nqualche anno fa.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÈ stato quando mi sono trasferita per\nfrequentare l'accademia.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nAh, allora il tuo villaggio deve essere diverso\ndal mio.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi interessa sapere tutto del tuo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nVa bene, la prossima volta ti racconto meglio\ndelle mie parti.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nE preparerò anche qualcosa da mangiare! So\ngià cosa fare.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDi solito sono io che cucino per gli altri. Una\nvolta tanto mi fa piacere invertire i ruoli.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllora aspetto con ansia la nostra chiacchierata.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x08\x06ラピス\nCiao, Goldmary! Ho portato il pranzo, spero\ntu abbia fame.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUuuh, che bell'aspetto. Cosa sono?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nSono gnocchetti di patate dolci, fatti con le\npatate del mio villaggio. Assaggia!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIncredibile... non li conoscevo. Scommetto che\nsono buonissimi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMmmh... Da non credere!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSono deliziosi. Non mi aspettavo fossero dolci!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nSono le patate a essere dolci. Non ho aggiunto\nzucchero.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSe per te non è un problema, ne prenderei\nancora.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nFai pure! Sono sicura che i miei genitori\nsarebbero contenti di sapere che le loro\npatate ti piacciono così tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nFanno i contadini?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nSì. Purtroppo la loro terra non è tra le più fertili,\nquindi non navigano nell'oro.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nE poi ci sono gli orsi che non ci lasciano mai\nin pace, per cui dovevamo cacciarli e anche\nmangiarli.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa dai... Ecco perché sapevi così tante cose\nsugli orsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nHo imparato un mucchio di cose grazie agli orsi.\nSoprattutto a combattere.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nFinché non partecipai a un famoso torneo di\ncombattimento in Brodia. Era la mia occasione\nper uscire dalla povertà.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nQuando vinsi il torneo, guadagnai la posizione\ndi attendente del principe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nIn un certo senso il mio successo lo devo agli\norsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nTra tutti gli sfidanti del torneo non ce n'era uno\nche fosse forte anche solo la metà di un orso!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhih, ti hanno allenata bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nE ora, sempre grazie a loro, siamo diventate\namiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVero. E ne sono lieta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDi solito non amo mostrare il mio lato più\nintimo con gli sconosciuti, ma con te posso\nessere me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTi andrebbe di passare più spesso del tempo\ninsieme?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nEccome se mi va!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nParleremo di cose che solo noi campagnole\npossiamo capire.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nEheh, perfetto, ci sto!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nÈ bello avere amicizie nei posti giusti.\x0E\x04\x00\x00
