MID_PLACE_Filene	Firene
MCID_M015_OUTLINE	Liberato il palazzo di Solm, gli eroi\ncercano l'anello della Mano del\nFato nella fortezza settentrionale.
MCID_M016_PREFIX	Capitolo 16
MCID_M016	Viaggi oltremare
MCID_M016_PLACE	Costa Celestina
MCID_M016_OUTLINE	Dopo aver preso un nuovo anello,\nl'armata pensa alla prossima\nmossa, ma riceve una notizia.
MCID_M017_PREFIX	Capitolo 17
MCID_M017	Serenità in frantumi
MCID_M017_PLACE	Porto di Florra
MCID_M017_OUTLINE	Inseguendo le navi elusiane dirette\nin Firene, l'armata del Drago\nDivino arriva al porto di Florra.
MCID_M018_PREFIX	Capitolo 18
MCID_M018	Il freddo cammino
MCID_M018_PLACE	Via per l'Elusia
MCID_M018_OUTLINE	Scoperta la verità su Veyle, gli eroi\nsi dirigono verso l'Elusia, dove li\nattende il Drago Maligno.
MCID_M019_PREFIX	Capitolo 19
MCID_M019	La città morta
MCID_M019_PLACE	Porto di Givre
MCID_M019_OUTLINE	L'armata del Drago Divino arriva in\nun vivace porto elusiano, dopo aver\nvinto la battaglia navale.
MCID_M020_PREFIX	Capitolo 20
MCID_M020	Il castello senza re
MCID_M020_PLACE	Castello di Elusia
MCID_M020_OUTLINE	Recuperati due anelli da Marni e\nMauvier, il gruppo raggiunge infine\nil castello di Elusia.
MCID_M021_PREFIX	Capitolo 21
MCID_M021	Il ritorno
MCID_M021_PLACE	Castello di Lythos
MCID_M021_OUTLINE	Dopo la sconvolgente rivelazione\ndi Griss, il gruppo insegue il Drago\nMaligno fino al castello di Lythos.
MCID_M022_PREFIX	Capitolo 22
MCID_M022	Divino e Maligno
MCID_M022_PLACE	Castello di Lythos
MCID_M023_PREFIX	Capitolo 23
MCID_M023	I Quattro Segugi
MCID_M023_PLACE	Campi di lava
MCID_M023_OUTLINE	Per distruggere la barriera nel cielo\ndell'Elyos, gli eroi devono trovare\nuna scheggia del Drago Maligno.
MCID_M024_PREFIX	Capitolo 24
MCID_M024	Ricordi
MCID_M024_PLACE	Regione montana
MCID_M024_OUTLINE	Con il potente artefatto di Zephia,\nil gruppo si dirige verso un lago in\ncerca di una scheggia sommersa.
MCID_M025_PREFIX	Capitolo 25
MCID_M025	Il guardiano finale
MCID_M025_PLACE	Tempio di Gradlon
MCID_M025_OUTLINE	Dopo l'incontro col Drago Divino\ndel passato, resta una sola scheggia,\nma un'oscura sorpresa è in agguato.
MCID_M026_PREFIX	Capitolo 26
MCID_M026	L'ultima unione
MCID_M026_PLACE	Portale degli altri mondi
MCID_S001_PREFIX	Appendice
MCID_S001	Talento precoce
MCID_S001_PLACE	Villaggio del tè
MCID_S001_OUTLINE	L'armata del Drago Divino riuscirà\na salvare gli abitanti di un pacifico\nvillaggio dalle aberrazioni?
MCID_S002_PREFIX	Appendice
MCID_S002	La misteriosa mercante
MCID_S002_PLACE	Covo dei banditi
MCID_S002_OUTLINE	Una ladruncola è in cerca di tesori\nnel covo dei banditi.
MCID_S003_PREFIX	Appendice
MCID_S003	L'Eletta
MCID_S003_PLACE	Arena degli dei
MCID_S003_OUTLINE	Un luogo importante per l'emblema\nLucina, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S004_PREFIX	Appendice
MCID_S004	La Guerriera
MCID_S004_PLACE	Pianure del vento agile
MCID_S004_OUTLINE	Un luogo importante per l'emblema\nLyn, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S005_PREFIX	Appendice
MCID_S005	L'Eroe della Fiamma
MCID_S005_PLACE	Forte della speranza
MCID_S005_OUTLINE	Un luogo importante per l'emblema\nIke, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S006_PREFIX	Appendice
MCID_S006	Il Mentore
MCID_S006_PLACE	Tomba sacra
MCID_S006_OUTLINE	Un luogo importante per l'emblema\nByleth, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S007_PREFIX	Appendice
MCID_S007	La Mano del Fato
MCID_S007_PLACE	Incrocio di destini
MCID_S007_OUTLINE	Un luogo importante per l'emblema\nCorrin, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S008_PREFIX	Appendice
MCID_S008	La Gemella Azzurra
MCID_S008_PLACE	Rovine oscure
MCID_S008_OUTLINE	Un luogo importante per l'emblema\nErika, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S009_PREFIX	Appendice
MCID_S009	Il Sacro Cavaliere
MCID_S009_PLACE	Fiume di luci e ombre
MCID_S009_OUTLINE	Un luogo importante per l'emblema\nSigurd, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S010_PREFIX	Appendice
MCID_S010	Il Saggio Lord
MCID_S010_PLACE	Ponti collegati
MCID_S010_OUTLINE	Un luogo importante per l'emblema\nLeif, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S011_PREFIX	Appendice
MCID_S011	La Fanciulla della Luce
MCID_S011_PLACE	Fortezza di ghiaccio
MCID_S011_OUTLINE	Un luogo importante per l'emblema\nMicaiah, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S012_PREFIX	Appendice
MCID_S012	Il Giovane Leone
MCID_S012_PLACE	Terre dei sigilli
MCID_S012_OUTLINE	Un luogo importante per l'emblema\nRoy, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S013_PREFIX	Appendice
MCID_S013	La Premurosa
MCID_S013_PLACE	Santuario dimenticato
MCID_S013_OUTLINE	Un luogo importante per l'emblema\nCelica, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S014_PREFIX	Appendice
MCID_S014	Il Re Eroico
MCID_S014_PLACE	Castello distrutto
MCID_S014_OUTLINE	Un luogo importante per l'emblema\nMarth, dove il Drago Divino\naffronterà una sfida decisiva.
MCID_S015_PREFIX	Appendice
MCID_S015	La Coesione
MCID_S015_PLACE	Giardino dei ricordi
MCID_S015_OUTLINE	Un anello misterioso è custodito in\nun luogo che ricorda i giardini del\ncastello di Lythos.
MID_ENCOUNT	Scaramuccia
MID_ENCOUNT_TRAINING	Esercitazione
MID_RULE_Title	Vittoria:
MID_RULE_Title_LOSE	Sconfitta:
MID_RULE_ANNIHILATE	Sconfiggi tutti i nemici.
MID_RULE_DESTROY_BOSS	Sconfiggi il comandante nemico.
MID_RULE_DESTROY_BOSS_TURN	Sconfiggi il comandante nemico in \x0E\x01\x00\x00 turni.
MID_RULE_SURVIVE_TURN	Resisti \x0E\x01\x00\x00 turni.
MID_RULE_COMMON_LOSE	\x0E\x06\x03\x00 perde.
MID_RULE_WANNIHILATION_LOSE	Tutti gli alleati perdono.
MID_RULE_M000_WIN	Sconfiggi il nemico.
MID_RULE_M001_WIN	Sconfiggi tutti i nemici.
MID_RULE_M002_WIN	Sconfiggi Lumera.
MID_RULE_M003_WIN	Sconfiggi tutti i nemici.
MID_RULE_M004_WIN	Sconfiggi Rodine.
MID_RULE_M005_WIN	Sconfiggi Nelucce.
MID_RULE_M006_WIN	Sconfiggi Teronda.
MID_RULE_M006_LOSE	\x0E\x06\x03\x00 o Yunaka perde.
MID_RULE_M007_WIN	Sconfiggi Hortensia.
MID_RULE_M008_WIN	Sconfiggi Ivy.
MID_RULE_M008_LOSE	\x0E\x06\x03\x00 perde o invadono l'area.
MID_RULE_M009_WIN	Sconfiggi Ivy.
MID_RULE_M010_WIN	Sconfiggi Hyacinth e Morion aberrante.
MID_RULE_M011_WIN	\x0E\x06\x03\x00 si mette in salvo.
MID_RULE_M012_WIN	Sconfiggi tutti i nemici.
MID_RULE_M013_WIN	Sconfiggi Tetchie e Totchie.
MID_RULE_M014_WIN	Sconfiggi Hortensia, Zephia, Marni e Mauvier.
MID_RULE_M015_WIN	Seadall si mette in salvo.
MID_RULE_M015_LOSE	\x0E\x06\x03\x00 o Seadall perde.
MID_RULE_M016_WIN	Sconfiggi Marni e Mauvier.
MID_RULE_M017_WIN	Sconfiggi i sei comandanti nemici.
MID_RULE_M018_WIN	Sconfiggi Abyme.
MID_RULE_M019_WIN	Sconfiggi Marni e Mauvier.
MID_RULE_M020_WIN	Sconfiggi Griss.
MID_RULE_M021_WIN	Sconfiggi Veyle.
MID_RULE_M022_WIN	Recupera tutti gli anelli.
MID_RULE_M023_WIN	Sconfiggi Zephia e Griss.
MID_RULE_M024_WIN	Sconfiggi \x0E\x06\x03\x00 del passato.
MID_RULE_M024_LOSE	\x0E\x06\x03\x00 perde o passano \x0E\x01\x00\x00 turni.
MID_RULE_M025_WIN	Sconfiggi Lumera aberrante.
MID_RULE_M026_WIN	Sconfiggi Sombron.
MID_RULE_S001_WIN	Sconfiggi tutti i nemici.
MID_RULE_S002_WIN	Sconfiggi Mitan.
MID_RULE_S003_WIN	Sconfiggi l'emblema Lucina.
MID_RULE_S004_WIN	Sconfiggi l'emblema Lyn.
MID_RULE_S005_WIN	Sconfiggi l'emblema Ike.
MID_RULE_S006_WIN	Sconfiggi l'emblema Byleth.
MID_RULE_S007_WIN	Sconfiggi l'emblema Corrin.
MID_RULE_S008_WIN	Sconfiggi l'emblema Erika.
MID_RULE_S009_WIN	Sconfiggi l'emblema Sigurd.
MID_RULE_S010_WIN	Sconfiggi l'emblema Leif.
MID_RULE_S011_WIN	Sconfiggi l'emblema Micaiah.
MID_RULE_S011_LOSE	\x0E\x06\x03\x00 perde o invadono l'area.
MID_RULE_S012_WIN	Sconfiggi l'emblema Roy.
MID_RULE_S013_WIN	Sconfiggi l'emblema Celica.
MID_RULE_S014_WIN	Sconfiggi l'emblema Marth.
MID_RULE_S015_WIN	Recupera l'anello.
MID_RULE_S015_LOSE	\x0E\x06\x03\x00 perde o il nemico fugge.
MID_RULE_TURN_LOSE	\x0E\x06\x03\x00 perde o passano \x0E\x01\x00\x00 turni.
MID_RULE_VERSUS_LOSE	Tutti gli alleati perdono o passano \x0E\x01\x00\x00 turni.
MTID_Nothing	Niente
MTID_Engage	Aura emblema
MTID_SoulOfDead	Spirito
MTID_GuardFence	Recinto
MTID_BreakableWall	Muro fragile
MTID_Cargo	Deposito
MTID_Crystal	Cristallo
MTID_Pedestal	Piedistallo
MTID_Rock	Pietra
MTID_RockLarge	Rocce
MTID_Sandbag	Barricata
MTID_Chair	Panca
MTID_Paling	Palizzata
MTID_Barrier	Barriera
MTID_ObstacleLow	Ostacolo
MTID_Altar	Altare
MTID_Rubble	Macerie
MTID_Pier	Molo
MTID_Ground	Terra
MTID_Forest	Foresta
MTID_Grove	Alberi
MTID_Desert	Sabbia
MTID_Quicksand	Sabbie mobili
MTID_Shallow	Secca
MTID_River	Fiume
MTID_Waterway	Canale
MTID_Mountain	Monte
MTID_Sky	Cielo
MTID_Bridge	Ponte
MTID_BridgeBroken	Ponte rotto
MTID_BridgeRise	Ponte alzato
MTID_Ruin	Rovine
MTID_Windmill	Mulino a vento
MTID_PrivateHouse	Casa
MTID_House	Edificio
MTID_StoneStatue	Statua
MTID_Building	Costruzione
MTID_Hull	Nave
MTID_Sarcophagus	Bara
MTID_Object	Ostacolo
MTID_Bush	Cespuglio
MTID_Sea	Mare
MTID_Tile	Pavimento
MTID_Lava	Lava
MTID_Wall	Muro
MTID_Stairs	Scale
MTID_SummonCircle	Sigillo
MTID_WallLow	Muretto
MTID_Door	Porta
MTID_Chest	Scrigno
MTID_Chest_Empty	Scrigno vuoto
MTID_Roof	Tetto
MTID_TileCollapsed	Suolo rotto
MTID_TileRecovery	Suolo cura
MTID_TileDefense	Suolo protettivo
MTID_Fort	Forte
MTID_Pillar	Colonne
MTID_PillarLarge	Pilastro
MTID_Cliff	Rupe
MTID_Bonfire	Braciere
MTID_Candlestick	Candelabro
MTID_Beach	Spiaggia
MTID_Shrubbery	Arbusti
MTID_Deck	Ponte
MTID_Mast	Albero
MTID_EvilDragonVein	Scheggia del Drago Maligno
MTID_BowCannon	Balista
MTID_MagicCannon	Artiglieria magica
MTID_FireCannon	Cannone igneo
MTID_Ring_Siglud	Anello del Sacro Cavaliere
MTID_Ring_Celica	Anello della Premurosa
MTID_Ring_Micaiah	Anello della Fanciulla della Luce
MTID_Ring_Roy	Anello del Giovane Leone
MTID_Ring_Leaf	Anello del Saggio Lord
MTID_Ring_Lucina	Anello dell'Eletta
MTID_Ring_Lin	Anello della Guerriera
MTID_Ring_Ike	Anello dell'Eroe della Fiamma
MTID_Ring_Byleth	Anello del Mentore
MTID_Ring_Kamui	Anello della Mano del Fato
MTID_Ring_Eirik	Anello dei Gemelli Azzurri
MTID_NoEntry	Fuori limite
MTID_HelpSpot	Ingresso
MTID_Sandbox	Sabbia
MTID_GoldMountain	Monete
MTID_Spring	Acqua
MTID_IceFloor	Ghiaccio
MTID_Snowman	Pupazzo di neve
MTID_Hay	Fieno
MTID_Cactus	Cactus
MTID_RoseArch	Archi
MTID_Remains	Rovine
MTID_Cart	Carretto
MTID_Well	Pozzo
MTID_Loading	Casse
MTID_Fence	Pali
MTID_AnimalStatue	Statua alpaca
MTID_SoraStatue	Statua spirito
MTID_EarthPillar	Pilastri di pietra
MTID_Fog	Nebbia
MTID_Fire	Fuoco
MTID_Miasma	Miasma
MTID_Aroma	Bagliore
MTID_Block	Pilastri di ghiaccio
MTID_Water	Pozza
MTID_Ivy	Edera
MTID_Light	Fulgore
MID_TE_Avoid	Scv
MID_TE_Heal	Cura/turno
MID_TE_Damage	Danno/turno
MID_TE_Def	Dif
MID_TE_MDef	Res
MID_TE_PlayerDamage	Dif/Res alleato
MID_TE_EnemyDamage	Dif/Res nemico
MID_TE_Break	Antibreccia
MID_TE_FlightOnly	Solo volanti
MID_TE_NoEntry	Impraticabile
MID_TE_Destroy	Distruttibile
MID_TE_Shine	Illumina l'area circostante
MID_TE_HelpSpot	Schiera unità
MID_TE_Cannon_Attack	Att
MID_TE_Cannon_Hit	Clp
MID_TE_Cannon_Stock	\x0E\x01\x00\x00/\x0E\x01\x01\x00
MID_TE_Skill_Effect	Abilità attive
MID_TE_Move	Mov
