MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nEhi, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nQuando sarà finita la guerra e sarà tornata\nla pace, promettimi che mi lascerai riprovare\nad allargare i tuoi orizzonti.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nQuando sarà tornata la pace, dici.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nAhah. Sei proprio strano.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nFaresti meglio a passare il tuo tempo con\nqualcun altro, ne trarresti più soddisfazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nMa non voglio fare promesse con gli altri. Voglio\nfarle con te!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nA-Apprezzo molto...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nAllora è promesso? Quando sarà tornata la\npace esploreremo il mondo in tutta la sua\nbellezza?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nSe proprio ci tieni, allora sì. Viaggeremo in\nlungo e in largo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nVedremo cose "carine" e mangeremo cibi\nspeziati a volontà.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nAh, certo... Cibo speziato. Ogni tuo desiderio\nè un ordine!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nAhah, non vedo l'ora.\x0E\x04\x00\x00
