MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, posso farti qualche domanda personale?\nMi serve per il prossimo romanzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nMi hai sempre battuto in tutto. Sembra quasi\nuna maledizione.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nBeh, c'è da ammettere che sei arrivato in\nsvantaggio a quella finale.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nNon hai avuto il tempo di fare riscaldamento,\nperché stavi aiutando quel bambino.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nMa anche tu lo hai aiutato. Sei tu che hai\ntrovato i suoi genitori in mezzo alla folla.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nMh. Hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nIl successo ti arriva naturale, mentre a me\nsembra sempre di incespicare...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nMa quell'alpaca imbizzarrito è l'ultimo della\nserie! Oggi inizia una nuova era!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nIn guardia, Jade! Non mi lascerò mai più\nsconfiggere!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x04\x03\x04
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nFiuuu. Può bastare, che dici?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nGuhhh... Non ci riesco, non riesco a batterti,\nJade. Sono un caso... disperato...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nI patti erano chiari. Ora che ho vinto posso\nscrivere cosa voglio nel mio romanzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nSì, lo so. Hai vinto, quindi scrivi pure cosa vuoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nCi puoi contare. E sarai il primo a leggerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHo finito il romanzo, Amber. Come promesso,\nvoglio che tu sia il primo a leggerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, fantastico...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nTi piace mettere il dito nella piaga, eh? E va\nbene... Spero che non sia troppo imbarazzante.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nMh. Mmmh!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nJade... ma cosa sarebbe?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nUhuh!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nÈ basato su di me? Non si direbbe...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nE invece sì. È basato sui tuoi racconti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nMa dov'è l'incidente dello stagno?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nNon vedo nulla di imbarazzante qua dentro.\nQuesto libro mi fa quasi sembrare... eroico!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nNon sei un eterno secondo, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nSei stato il primo a intercettare quell'alpaca\nselvatico.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nE il primo che è accorso in aiuto di quel\nbambino che non trovava i genitori.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nIo sono quella che mette la parola "fine" nei miei\nlibri, ma tu sei l'ispirazione che me li fa iniziare.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nWoah.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nSei forte, gentile... Il principe e io ti riteniamo un\nottimo attendente e abbiamo piena fiducia in te.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nOh, Jade! Grazie. Che belle parole. E che bel\nlibro! Mi hai fatto sentire meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nMe ne rallegro. In fondo questa iniezione di\nfiducia ti è utile a guardarci meglio le spalle.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nSì, proprio così! Allora continuerò ad allenarmi\nfinché non sarò all'altezza del "me" del libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nVoglio proprio vederti.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nRimbocchiamoci le maniche! È il momento di\nallenarsi come mai prima d'ora!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nRimarrai a bocca aper- Gah! Un sasso!\nInciampo, aiuto!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nEheh, lo ammetto. Mi hai proprio lasciata\n"di sasso".\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nSo che diventerai sempre più forte, Amber... Ma\nspero che alcune cose di te non cambino mai.\x0E\x04\x00\x00
