MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPrincipe Alfred. Posso permettermi una veloce\nleccata?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nComincio subito a cercare gli ingredienti.\nDatemi un po' di tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nSe funziona a risolvere i miei problemi con i\nmuscoli, puoi prenderti tutto il tempo che vuoi!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nUhm... una nota di dolcezza...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuello è il fiore che ti ho portato dal Firene?\nÈ buono come speravi?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nSì, come una sontuosa danza regale sulla mia\nlingua. Dovrebbe abbinarsi bene alle insalate.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nE dunque è questo il sapore dei reali firenesi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nBeh, è il sapore del fiore, non il mio.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nComunque, ho sentito che sei stato molto\noccupato.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nSì.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nHo lavorato sodo per preparare un piatto che\nvi permetta di rimpolpare i muscoli.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nE finalmente è pronto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nGrazie!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nE mi darà i muscoli duri e grossi che ho sempre\nsognato?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nIn teoria sì.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nCapisco, non c'è niente di sicuro, in fondo!\nTanto vale provare!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nEsattamente. Ve lo porto subito.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x04\x03\x04
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nUhmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nBeh? Che ve ne pare?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nPare... carne.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nCarne, in salsa di carne, adagiata su un letto\ndi fettine sottili di carne.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nSì, beh, visto che la carne è fatta di muscoli,\nho avuto questa idea.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nHo pensato che più carne mangiate, più i\nvostri muscoli dovrebbero crescere.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa senso. Devi averci riflettuto molto!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nE per ringraziarti, mi papperò tutto con piacere!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi comincia! Gnam gnam chomp...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nChe appetito... sono contento che apprezziate\nil mio piatto così... velocemente.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nOra non ci resta che aspettare e vedere\nse questi benedetti muscoli spuntano o no.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nNon posso assicurarvi il risultato, ma... a volte\ni miracoli accadono davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nVostra Altezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNonostante tutti quei piatti che hai fatto per me,\nsono ancora magro magro.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nHo fallito, Altezza. Vi chiedo scusa.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon è colpa tua! Ce l'hai messa tutta.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nE poi tutti i piatti erano buonissimi, complimenti\ndavvero allo chef.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo, il vero problema è che sono debole,\nfino al midollo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nNon siate così critico nei vostri confronti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nQuei piatti forse non sono stati in grado di\nfare qualcosa per i vostri muscoli...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\n... ma non è stato tutto inutile. Quella carne\nha sortito un effetto diverso.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon ti seguo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nIl nostro sapore, il vostro e il mio.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nAbbiamo... un sapore?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nAll'inizio non ce l'avevamo, eravamo come un\npiatto che manca di condimento. Ma più ci\nconosciamo, più il sapore diventa ricco.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nMa non so se è un esempio calzante.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nLo è, Bunet! Abbiamo esaltato ciascuno i\nsapori dell'altro.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nPrima eravamo semplici ingredienti, ora creiamo\ninsieme un piatto delizioso e completo!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nSì, proprio quello che cercavo di dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nE ora spesso mi ritrovo a pensare a voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nForse è vero quello che dicono: la strada del\ncuore di un uomo passa per lo stomaco.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nL'ho sempre pensato. E per questo, spero di\npoter presto cucinare ancora per voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nOooh, sul serio? Hai in mente qualcosa di\nparticolare?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nPensavo a un piatto di verdure con in cima\nuno dei vostri dolci fiori.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nE magari un po' di pesce per contrastare\nl'abbondanza di carne che vi ho fatto mangiare.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi sta venendo fame solo ad ascoltarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nContinuate a mangiare i miei piatti e magari,\nchissà...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\n... prima o poi potreste ritrovarvi con i muscoli\nche tanto desiderate.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nIncrociamo le dita, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nUn giorno i miei muscoli saranno forti come\nla nostra amicizia!\x0E\x04\x00\x00
