MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMi fa piacere che possiamo parlare un po',\ndopo che ho vegliato su di te così a lungo,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06マルス\nAnche il cavaliere più forte può soccombere di\nfronte alla malattia. Hai fatto un ottimo lavoro.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nLavoro sodo, tutto qui. A proposito, stavo\nproprio per andare a correre. Vuoi venire\ncon me?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nSono onorato di combattere al tuo fianco.\nFarò del mio meglio per esserne all'altezza.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06マルス\nDobbiamo tutti impegnarci al massimo,\nBoucheron. Uniamo le nostre forze.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nStai piangendo, Boucheron?\nÈ successo qualcosa di terribile?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNo... Stavo leggendo una storia molto\ncommovente. Mi basta pensarci per scoppiare\na piangere.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nLa guerra ha straziato la terra e inquinato\nle acque. Deve finire, e al più presto.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06マルス\nHo sentito che il tuo villaggio è bello e ricco di\nvegetazione. Immagino ci siano anche acque\nincontaminate.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nSì. I fiumi hanno acqua cristallina. Ci andavo\nspesso a pesca. Chissà se sono ancora puliti.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06マルス\nL'amore per il tuo villaggio è la tua forza.\nCombinala con la nostra per riportare la pace.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalve, Marth. Mi trovi proprio in un buon\nmomento. Ho appena finito una bella sessione\ndi allenamento!\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06マルス\nTi alleni con l'arco con molta diligenza. Presto\nsarai all'altezza dei migliori arcieri di Altea.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalve, Marth. Sto per prepararmi un tè.\nVuoi farmi compagnia?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06マルス\nNon posso sorseggiare il tè insieme a te, ma\nposso apprezzarne l'aroma. Se per te va bene,\nne sarei felice.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nCome vorrei che questi pensieri la smettessero\ndi ronzarmi in testa. C'è solo una cosa da fare.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06マルス\nHai dei dubbi che ti assillano, Etie?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06マルス\nPotrebbe farti bene parlarne. Condividere\nuna preoccupazione spesso aiuta a dissiparla\nun po'.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nGrazie, ma niente mi aiuta quanto l'esercizio\nfisico. Scaccerò questi dubbi con una bella\ncorsa!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNon avrei mai immaginato di incontrare un\nemblema. Ho tante cose di cui vorrei parlarti.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06マルス\nSarei molto felice di ascoltare delle storie\nsul regno di Firene... e su di te.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nChe graziosa quella tiara. Ti sta proprio bene...\ne ho come l'impressione che abbia un valore\nsentimentale per te.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06マルス\nHai indovinato. È molto preziosa per me.\nMi è stata donata da una persona a me cara.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nAmo il mio regno e il suo popolo, ed è per\nloro che ho deciso di combattere.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06マルス\nSo bene che ci sono cose in questo mondo\ndegne di essere protette armi alla mano.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nGrazie. Mi fa piacere sapere che anche altri\ncondividono questo sentimento. È un sollievo\ncombattere al fianco di chi la pensa come me.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06マルス\nCombatterò al tuo fianco finché lo vorrai...\nFino a quando il tuo regno non sarà al sicuro.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nSei un uomo affascinante, Marth. La tua luce\nillumina tutti quelli che sono al tuo cospetto.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06マルス\nLouis, basta con i complimenti. Anche tu\nsei bravo a ravvivare il morale di tutti noi.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nVederti interagire con il Drago Divino è uno\nspettacolo unico. Una tela tutta da dipingere...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06マルス\nUna tela? Perdonami, ma non capisco cosa\nintendi. Potresti spiegarti meglio?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nNon posso fare a meno di notare quanto tu sia\npremuroso. Sei sempre stato così?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nSin da piccolo mi sono sempre preso cura degli\naltri. Ho molti fratelli più giovani di me, forse è\nquesto il motivo.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nDevo molto alla mia famiglia. È anche grazie a\nloro che sono stato scelto come attendente.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06マルス\nEheh, il tuo supporto sul campo di battaglia ci\nmette tutti a nostro agio. Ci sei di grande aiuto,\nLouis.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nParlare con l'emblema che ha vegliato sul\nDrago Divino durante il suo sonno mi fa sentire\ncome in una fiaba.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06マルス\nMi fa piacere parlare con te. Mi ricordi una\ncavaliera pegaso che mi era molto cara.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nNon c'è niente di male a riposarsi ogni tanto.\nPerché non ti rilassi un po' prima della prossima\nbattaglia?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06マルス\nSono d'accordo e tu dovresti fare lo stesso.\nVoglio arrivare alla fine della guerra senza\nperdere nessuno.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nPrima di incontrare la principessa Céline non\nsapevo nulla del mondo. Non immaginavo fosse\ncosì vasto.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06マルス\nMolte persone lavorano senza sosta solo per\nsopravvivere. Pensa a loro quando combatti.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nFarò il possibile per proteggerli. È questo il\nsegreto per combattere con motivazione, Marth?\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06マルス\nProprio così. Con l'aiuto dei nostri fedeli alleati,\ndobbiamo riportare la pace nel mondo.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nÈ un onore combattere al fianco di un eroe così\nvaloroso. Sono contento di averti con noi,\nMarth.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06マルス\nLo sono anch'io, Diamant. Lotteremo insieme\nin nome della pace.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nNon regnerò come faceva mio padre. Voglio\nche la Brodia prosperi, ma senza ricorrere\nalla guerra.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06マルス\nSono considerazioni importanti per qualsiasi\nerede. Farai ciò che è meglio per il tuo regno.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCi sono delle abilità che ti danno dei problemi,\nMarth? Detto tra noi, a me la magia intimidisce.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06マルス\nMa allora il principe ereditario di Brodia non\nè perfetto come dicono? Come mai la magia?\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDa bambino, causai un'esplosione durante una\nlezione di magia. Da allora la paura non mi ha\npiù abbandonato.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06マルス\nQuando sei in difficoltà, affidati ai tuoi amici.\nSe sono diventato il cosiddetto "Eroe Adunante"\nè grazie all'aiuto dei miei alleati.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\nWow! Combatterò assieme a un emblema?!\nSono così contento di essere diventato un\nattendente reale!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06マルス\nMi lusinghi, Amber. Ti prego, pensa a me come\na un altro alleato che combatte per proteggere\nquesto mondo.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\nDimmi, dove sei nato, Marth? Anche il tuo\npassato è una leggenda, proprio come te?\nA me piacciono molto queste storie!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06マルス\nLa storia del mio regno inizia con il grande eroe\nAnri... Un giorno ti racconterò di lui.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nHo saputo che sei diventato un attendente\nandando contro la volontà della tua famiglia\ne partecipando a un torneo.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nSì. Non odiavo la vita al mio villaggio, ma era\nun posto noioso. Dovevo andarmene per\ncominciare a vivere la mia leggenda!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nDopo il torneo, Diamant venne a parlarmi. Mi\nchiese di diventare il suo cavaliere e... è stato\nil momento più entusiasmante della mia vita!\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06マルス\nHai trasformato i tuoi sogni in realtà grazie\nalla tua forza di volontà. Credo che tu sia\ngià una leggenda.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIo rappresento il principe Diamant... Devo\nessere cauta. È un onore lavorare con te,\nser Marth.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x08\x06マルス\nNon vedo l'ora di vederti in azione, Jade.\nChe il futuro ci sia propizio!\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSi vede come tu sia amato da tutti, ser Marth.\nBasta la tua presenza a mettere gli altri a\nloro agio.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06マルス\nAnche avere tra noi il "Muro di Ferro" è un\ngrande sollievo per tutti. Insieme proteggeremo\ni nostri alleati.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSer Marth, spero che non sia una domanda\nscortese, ma... potrei ispirarmi a te per\nun personaggio del mio nuovo romanzo?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06マルス\nLa tua richiesta mi imbarazza un po', ma certo,\nfai pure. Non vedo l'ora di leggerlo.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nGrazie, ser Marth. Spero che ti piacerà il mio\nstile! Di sicuro il principe Diamant lo apprezza.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06マルス\nMi fido del suo giudizio. Sono curioso di vedere\nche personaggio sarò!\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nAaah! Scusatemi, lord Marth! Un emblema come\nvoi non dovrebbe essere costretto a poggiare\nil suo sguardo su uno come me.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06マルス\nSu... va tutto bene. Non parlare di te a quel\nmodo. Qui siamo tra amici!\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSiete così affascinante, lord Marth. Se solo\npotessi avere un briciolo del vostro carisma...\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x08\x06マルス\nMa tu hai tante virtù, Alcryst. Vorrei tanto\nche te ne rendessi conto.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSiete davvero incredibile, lord Marth.\nPerdonatemi, sono un fallimento totale...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06マルス\nFallimento? Mai. Sei un bravissimo arciere\ne combatti per il tuo regno!\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nM-Ma non so fare altro. Quelle sono le mie\nuniche virtù.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06マルス\nNo, Alcryst. Non sono le tue "uniche virtù", ma\nsono "virtù uniche" che appartengono solo a te.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSei fortissima, Lapis. I nostri nemici sono\nagguerriti... ma insieme riusciremo a ristabilire\nla pace.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nNon so se farò la differenza, ma ci proverò.\nAuguriamoci buona fortuna. Male non fa, no?\x0E\x04\x00\x00
