MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nTi ho visto in battaglia, Ike. Hai dato davvero\nspettacolo di te. Devo ammettere che sei\nproprio forte.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nTieni molto agli amici, vero?\nInsieme a te non ho paura di combattere, Ike.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEhi, tu con la fascia! Complimenti per la\nprestazione sul campo di battaglia.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06アイク\nChe fascia? Ah, questa. Chiamami pure Ike.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nTi ringrazio davvero per l'aiuto. Mi hai salvato\nla vita, non so come avrei fatto senza di te.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06アイク\nTranquillo, era il minimo. Te la saresti cavata\nanche da solo, secondo me.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSai... io odio combattere. Ho avuto la mia buona\ndose di paura e dolore. Ne ho abbastanza per\nil resto della vita.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06アイク\nEppure non ti arrendi, il che dimostra il tuo\ncoraggio e la tua determinazione.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nNon direi. Combatto solo perché devo. Sono\nun codardo e nulla più. Non ho molto da offrire.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06アイク\nNon dire così. Sei un degno alleato e so\ndi poter fare affidamento su di te fino alla fine.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nA giudicare da come ti sei destreggiata in\nbattaglia, si capisce che ti alleni molto.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNon perdo mai un allenamento. I miei genitori\nerano cavalieri di prim'ordine e vorrei che\nfossero orgogliosi di me.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nマデリーン\nLa tua forza è fuori dal comune.\nChe allenamento seguivi?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06アイク\nQuello che segui tu. Mi allenavo con costanza\nper diventare degno di mio padre.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nTi ho vista un po' troppo avventata in battaglia.\nÈ successo qualcosa? Con me puoi parlarne.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nDevo essermi fatta prendere la mano.\nHo fretta di diventare una brava cavaliera.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06アイク\nCerca di non strafare. L'importante è dare il\nmeglio, ma sempre tenendo conto dei tuoi limiti.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nHai ragione. Sai, mi piacerebbe averti come\nistruttore!\x0E\x04\x00\x00
