MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪ Mhmhmh ♪ Una giornata perfetta per\nil bucato.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nÈ solo che... Credetemi, è meglio per tutte e\ndue se non vengo. Scusatemi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCome mai?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nCosì. Preferirei non parlarne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nOra devo proprio andare. Vi saluto.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nChissà cosa le prende...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪ Mhmhmh ♪ Quanti bei piatti da lavare.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBei piatti e bel riflesso... Ho un sorriso\nsmagliante.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nGoldmary, eccovi. Volevo chiedervi scusa per\nl'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE per cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nFare il bucato con voi sembrava divertente.\nAvrei voluto venire, davvero! Ma proprio non\npotevo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon potevi? In che senso?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nEhm... È una storia privata...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSu, non essere timida.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nVa bene. Non amo parlarne di solito, ma se\ninsistete... La mia infanzia non fu delle più\nrosee.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nLa mia famiglia era povera, mi abbandonò e\nfui costretta a vivere con un personaggio poco\nraccomandabile.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nLe faccende di casa erano sulle mie spalle,\nanche se ero molto giovane.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nE quindi anche ora, c'è qualcosa nei lavori\ncasalinghi che mi fa tornare in mente quei\ngiorni... Mi riempie di terrore.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, no... Non lo sapevo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nEcco perché preferisco essere da sola quando\nfaccio il bucato o lavo i piatti.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nAlmeno non sono di peso a nessuno, se\nvado nel panico.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo capito.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nMa non sono qui per trovare delle scuse.\nVoglio davvero provare a superare i miei traumi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ユナカ\nVorrei iniziare da zero. Essere una persona\nnuova. E quindi...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nLasciate che vi aiuti con le faccende!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÈ un gesto coraggioso da parte tua. Allora\nlaviamo questi piatti. Ti va?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\nGrazie, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nGoldmary, temo di aver rovinato l'atmosfera\nl'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nÈ più forte di me. Non riesco proprio\na trattenermi...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa no, non preoccuparti.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSai, ci ho pensato su e forse mi è venuta\nun'idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo sentito dire che sei brava a fare le imitazioni.\nÈ così?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nEh, sì. Insomma, me la cavo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPuoi fare la mia imitazione?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nEh? Perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nProva a imitarmi quando faccio il bucato.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nVa bene... Dunque, se non ricordo male...\nera più o meno così...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\n"♪ Mhmhmh ♪ Quanto è bello fare il bucato."\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\n"Lava e sciacqua, asciuga e piega... Con grazia\ne leggiadria."\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBrava. Continua a imitarmi mentre facciamo\nil bucato. Due Goldmary al prezzo di una.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nMh. Proviamo!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllora? Hai provato spavento?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nNo! Stranamente mi sentivo tranquilla.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nEro così concentrata a imitarvi che mi sono\ndimenticata chi ero!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOttimo. Come immaginavo!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nD'ora in avanti, quando devi fare i lavori di\ncasa fai finta di essere me.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE pian piano vedrai che ti abituerai a farli senza\nstare male.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTraumi come i tuoi non sono facili da superare,\nma un passetto alla volta stai andando nella\ndirezione giusta. Vedrai che starai meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nAh, ecco cosa avevate in mente!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nGrazie, Goldmary! La vostra è stata un'idea\ngeniale.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nHo detto che volevo diventare una persona\nnuova, ma ora ho anche un modello a cui\nispirarmi: voi!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie, mi sento onorata... Ci sono obiettivi\npeggiori, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerfetta come sono, non credo sia facile\nraggiungermi... ma fai bene a puntare in alto!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nOh, bene. Interessante. Dovrei prendere appunti!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nMi segno come rispondere ai complimenti:\n"Perfetta come sono, non credo sia facile\nraggiungermi". Ecco, segnato.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo, quello no! Non serve imitare proprio tutto\nquello che dico.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ユナカ\nEheh! Scherzavo, scherzavo. Ma adesso mi\navete mostrato anche la vostra faccia agitata!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nGrazie per i vostri insegnamenti. Non sono\nun'allieva facile, lo so!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTi prendo con piacere come mia allieva. D'ora\nin avanti sarò la tua maestra.\x0E\x04\x00\x00
