MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nOh, no! E va bene, Jean. Ti sei perso.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nHo potuto curarlo nel migliore dei modi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nMa è fantastico!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nNon so cosa sarebbe potuto succedere a quel\npovero bambino se mi fossi perso nella foresta.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nE se non fosse per te tutto questo non sarebbe\nstato possibile, Clanne. Ti ringrazio di cuore.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nNon ho fatto nulla di che, ti ho solo detto come\ntornare indietro.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nMa grazie al tuo aiuto ho potuto aiutare altri.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nLa famiglia di quel bambino è povera. Non\npotevano permettersi una visita dal dottore.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nE senza quelle erbe, la sua infezione\nsarebbe peggiorata.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nAccipicchia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ジャン\nAnche se ho pianto un po', pensavo che\nperdersi nel bosco non fosse la fine del mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nInvece un vero dottore non può perdere tempo,\nquando ci sono delle vite che dipendono da lui.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nDovrò stare più attento.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nJean, non hai del tutto torto, ma non\ndevi tormentarti così.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nTutti hanno una giornata no.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nMa se ti chiedi: "Come ha fatto a succedermi\nquesto?" puoi evitare che succeda di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nE poi anche io commetto sempre gli stessi errori\nnel mio lavoro di valletto del drago...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nErrori? Tu? Non ci credo. Sembri sempre\ncosì sicuro di te stesso!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nE invece no. Sono solo un apprendista.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nQuasi tutti qui sono più vecchi di me... È bello\navere anche qualcuno più vicino alla mia età.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\nHo detto qualcosa di sbagliato?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\nNo, no! Quello che hai detto è gentile. Mi sono\nsempre sentito un peso per gli altri.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\nÈ bello sapere che c'è qualcuno contento\ndi avermi intorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クラン\nSecondo me ti fai troppi problemi.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ジャン\nAspetta e vedrai, Clanne. Voglio diventare\nbravo come te!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06クラン\nAhi!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nClanne! Tutto bene?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nNon preoccuparti. È solo un graffio.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nAnche un graffietto, se non trattato, può\ninfettarsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nFammelo vedere, ci penso io a disinfettarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nVa bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nStai sanguinando. Lascia fare a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nOhi, brucia!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nNon preoccuparti ho finito. Visto?\nNon faceva poi così male, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nGrazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nNon c'è bisogno di ringraziarmi. Era il minimo\nper sdebitarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nE per cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nQuello che mi hai detto l'altra volta mi ha\ncolpito.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\nQuando dicevi che puoi imparare dai tuoi sbagli\nper non ripeterli.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nAh, sì, ora ricordo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nÈ un consiglio genuino. Come quelli\nche mi dava la mia famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nGrazie, Jean...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nVengo da un'isola del Firene. Qui mi piace,\nma non è mai come essere a casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nLe tue parole mi sono state di aiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nMh!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nSe ti manca la tua famiglia, Jean, pensa a me\ncome a un fratello maggiore.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nAnche se faccio degli errori, e senz'altro ho\nancora tanta strada da fare per crescere...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nÈ normale. Ma se avessi un fratello come te\nnon avrei paura di niente!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nAhah! Allora farò il possibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nÈ quasi ora di cena. Come va il graffio? Vuoi\nappoggiarti a me?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nSto meglio, grazie al tuo intervento.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\nAppoggiati comunque. La famiglia serve a\nquesto, no?\x0E\x04\x00\x00
