MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAh! Yah!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nCorri velocissimo! Hai un talento naturale.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Anche io mi sono messo sotto con la corsa,\ndall'ultima volta che ci siamo visti... ma non\nriesco ancora a tenerti testa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nSono un drago, un comune umano non può\nstare al passo con me.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Ti posso superare senza fare alcuno sforzo.\nTutta la tua fatica è inutile e, se fossi in te, ci\nrinuncerei.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi spiace, lord Rafal, ma su questo non sono\nd'accordo.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	I miei allenamenti non sono inutili e per capirlo\nbasta guardare il mio corpo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\nChe vuoi dire?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDa piccolo ero gracile e deboluccio.\nTutti pensavano che non avrei vissuto a lungo.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Ma quando mio padre si ammalò e morì, giurai\na me stesso di battermi contro la mia salute\ncagionevole con tutte le mie forze.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Per amore di mia madre e mia sorella, ho\nlavorato sodo per rendere questo corpo forte\nabbastanza per qualsiasi ostacolo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nPer amore di tua sorella, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nDa allora non ho smesso di allenarmi, e\ni risultati parlano da soli.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Non sarei in grado di aiutare te e il Drago Divino\nin battaglia se non faticassi così.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nCapisco. Allora ti devo una scusa per aver\ngiudicato aspramente i tuoi allenamenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nWow... dici sul serio?\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Sapevo che ti avrei convinto! Era solo una\nquestione di tempo prima che ti decidessi\na unirti a me!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nVacci piano. Non ho detto nulla del genere.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Tuttavia, mi sono stancato di correre. Forse\nè il momento di provare qualcosa di nuovo.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Se sai consigliarmi una forma di esercizio che\npossa mantenere vivo il mio interesse, magari\npotrei provare.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nNiente di più facile, lord Rafal.\nCi penso io!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nProva a prendere questo!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBene, ma non abbastanza!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nGhhh!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu mi hai colpito al collo, io ti ho colpito al\npetto. Facciamo che siamo pari.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nNon posso accettarlo. Saresti tu il chiaro\nvincitore se avessi usato la mano dominante.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nForse, ma sono molto più abituato di te a usare\nle lance. Quindi penso che una parità ci stia.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nE va bene. Ma dopo la pausa facciamo un altro\nduello, adesso che ho preso le misure.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nCi sto! Ehi, posso chiederti una cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nラファール\nDimmi tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nUltimamente vedo che ti alleni con piacere.\nC'è un motivo particolare?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nLa colpa è tutta tua.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nMia? E perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nLa tua storia mi ha ricordato il mio stesso\npassato. Ero molto debole, da piccolo, e venivo\nsempre lasciato indietro.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Mi vergognavo a cercare sempre la protezione\ndegli altri, così decisi di diventare più forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn effetti, sembra proprio la mia vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nAbbiamo cominciato nello stesso modo, ma poi\nabbiamo intrapreso due strade ben diverse.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	La mia sete di potere cresceva a dismisura,\ned ero pronto a ferire chiunque per ottenerne\nsempre di più.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	La forza senza compassione è inutile, anzi\nmolto peggio. Ora l'ho capito, anche grazie a te.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Il mio cuore non è paragonabile al tuo, ma\ngrazie ai tuoi allenamenti, forse potrò\nproteggere le persone a cui tengo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nPotrai, sì, e sono sicuro che lo farai.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\nIn cambio, permettimi di chiederti una cosa.\nPerché passi del tempo con me?\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Il Firene venera il Drago Divino, e tu ne sei il\nprincipe. Dovresti detestare il Drago Maligno.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon mi piace giudicare le persone in questo\nmodo. Preferisco basarmi su quello che vedo.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Quando ti guardo, vedo un bravo ragazzo.\nTi piace allenarti, e allora non puoi essere\ntroppo cattivo, no?\x0E\x04\x02\x00
MID_RELIANCE_A_#025	E poi siamo uguali, noi due. Ti considero un po'\ncome mio fratello.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nUn fratello molto più vecchio, casomai.\nMa capisco cosa vuoi dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nA dire il vero, mi piace considerare me quello\npiù vecchio, visto che ho più esperienza con\ngli allenamenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nNon essere ridicolo. Ci separa un oceano di\nanni, che non puoi nemmeno immaginare.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nPerché non lasciamo decidere al prossimo\nduello? Il vincitore sarà il fratello maggiore.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nTi pentirai amaramente di questa scommessa,\nfratellino.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nAhahah! Fatti sotto!\x0E\x04\x00\x00
