MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nState bene, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nNon vedo niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nEro convinto di averlo spezzato!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nDi quale parli?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nMa cosa...? Nessuno di questi rami sembra\nspezzato. È terribile, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nブシュロン\nMa non temete, andrà tutto bene. Proviamo ad\nandare per di qua!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08リュール\nAllora forse è meglio andare da quell'altra parte.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nブシュロン\nPerché?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08リュール\nCon il senso dell'orientamento che ti ritrovi,\nforse è meglio fare l'opposto di cosa ti dice\nl'istinto.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nブシュロン\nGià, ben detto! Ahah, in marcia!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nSono spiacente per l'altro giorno, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nNon vorrei che il mio pessimo senso\ndell'orientamento vi abbia causato altro stress.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNon pensarci. Alla fine siamo tornati sani e\nsalvi, e tutto sommato è stato divertente.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nFiuuu. Mi sento sollevato.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nChe altro fai per distrarti dalle fatiche?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nMi piace leggere. Quando mi immergo in un\nmondo di fantasia, dimentico il mondo reale.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nVi consiglio questo classico del mio paese:\n"Amore in boccio".\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nSembra piuttosto... umido. E accartocciato.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nOh, sì, scusate. È a causa delle mie lacrime.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nCome, prego?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nSono uno dalla lacrima facile. E così... Sob...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nMi basta guardare la copertina per\ncommuovermi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nBasta così poco?!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nMa non fatevi intimorire. Leggere è rilassante e\nquesto libro è uno dei miei preferiti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nOh, beh, se le cose stanno così... Vediamo\nun po'...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nAspettate! Mi serve un momento per\nriprendermi, ora che ho visto l'indice.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nStai scherzando?!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nChiedo scusa, Drago Divino... Vi lascio tranquill\x0E\x0A\x00\x08\x02o\x02a\nin compagnia del libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nSicuro? Guarda che non mi dai fastidio.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nE poi non vorrai mica andare in giro così.\nVedendoti piangere, gli altri si preoccuperanno.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nSob... Oh, Drago Divino, siete così gentile!\nAspettate di arrivare alla prefazione...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nDi questo passo, finiremo prima la guerra\nche il primo capitolo...\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nDrago Divino, mi avete convocato? Va tutto\nbene?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nSalve, Boucheron. Ho pensato a lungo ai tuoi\nconsigli per liberarsi dallo stress.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nMa non è questo il motivo per cui ti ho chiamato\nqui.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nブシュロン\nMh?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nTi ho chiamato perché ho tre cose da dirti.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nLa prima è: grazie.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nVorrei che sapessi che apprezzo quello che fai\nper me ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nブシュロン\nOh, non ci pensate. Sono sempre felice di\npotervi aiutare.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nLa tua dedizione e umiltà mi affascinano.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nブシュロン\nMi trovate affascinante?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nSì. Ecco, l'ho detto. Era proprio questa la\nseconda cosa che volevo dirti.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nE ora manca l'ultima. Dunque...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nScusa... Sono un po' emozionat\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nChe hai, adesso?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nブシュロン\nVedendovi così emozionat\x0E\x0A\x00\x08\x02o\x02a, mi sono\ncommosso anche io.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nSei davvero empatico. Forse è questo che\ntrovo così interessante in te.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nブシュロン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nBoucheron, vorresti accettare l'anello del patto\ne promettere di restare al mio fianco?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSento di avere un legame speciale con te e\nnon vorrei che andasse perso dopo la guerra.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nブシュロン\nD-Dite sul serio? Mi viene da piangere di gioia,\nDrago Divino...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nブシュロン\nMa non è il momento di piangere. Ho anch'io\nqualcosa da dirvi.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nブシュロン\nNon sono nobile, né un vostro valletto. Sono\nsolo un comune cavaliere... ma ho grande stima\ndi voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nÈ un sì?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nブシュロン\nOvviamente accetto l'anello. È la prova che\ni nostri sentimenti sono in sintonia.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nブシュロン\nSe è me che volete al vostro fianco, vi seguirò\nin capo al mondo!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nGrazie, Boucheron. Questo è un momento da\ncelebrare.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nブシュロン\nAhah, mi avete tolto le parole di bocca.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nブシュロン\nAnche se dovessi sentirmi perduto o in balia\ndelle emozioni, so che con voi troverò sempre\nla mia strada, \x0E\x06\x03\x00.\x0E\x04\x00\x00
