MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nLouis! Mi stavi spiando di nuovo?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nMa è meglio se non lo dici troppo in giro.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nIo posso capire la tua passione, ma gli altri...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nNon credo che capirebbero. Non tutti hanno\nla pazienza di mettersi a conoscere davvero\nqualcuno.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nAhah. Ci starò attento.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nForse è meglio se andiamo. Quei due si sono\naccorti di noi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nSì, lasciamoli in pace. Andiamo a cercare\nun'altra scena?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x06\x04ルイ\nAndiamo a cercare altre scene piacevoli, Chloé?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nCerto, Louis. Speriamo di trovare qualcosa che\nvalga la pena.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nAh, ho qualcosa per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nMi hai portato... del pesce secco?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nNon ne avevo mai visto di questo colore.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nBlu, verde e giallo... Non sembra neanche\ncibo, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nPare che sia raro e difficile da trovare\nin vendita.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nTi piacciono i cibi esotici, giusto?\nPrendine pure, se hai fame.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nGrazie, Louis. Sembra buono! Non mi tiro mai\nindietro quando c'è da provare qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nNon mi pareva di averti mai detto che amo i cibi\nesotici.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nCon tutto il tempo che ho passato ad osservarti\nsono un esperto in materia, ormai.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nEheh, sei proprio strano, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nMa chi sono io per giudicare?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nTieni, ti ho portato dell'uvetta. Spero sia di tuo\ngradimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nMa grazie, Chloé. Adoro l'uvetta.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nLo so. Ti ho osservato anch'io.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nAh sì?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nProprio come facevi tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nCon chiunque tu sia, Louis, sembri sempre\nuscito da una fiaba.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nAhahah. E così ci spiavamo a vicenda.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nSappiamo tutto l'uno dell'altra. Ihih...\nChe modo inusuale di conoscere qualcuno!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ルイ\nEh, già!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nA qualcuno potrebbe sembrare strano che\nho imparato i tuoi gusti e le tue preferenze\nsolo osservandoti da lontano.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クロエ\nMa a me no. Vista la nostra passione\ncomune, ha perfettamente senso.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nHai ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06クロエ\nBeh, ora che abbiamo entrambi qualcosa da\nsgranocchiare, andiamo?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nBen detto. Sarà una bella giornata, ne sono\nsicuro.\x0E\x04\x00\x00
