MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nGuarda dove siamo! Oh, non ci credo...\nNon è possibile!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nエイリーク\nHo un misto di sentimenti che fanno a pugni\nnel mio cuore. Rabbia, paura, tristezza...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0C\nエイリーク\nForse un duello potrebbe fare da valvola\ndi sfogo. Sembro mio fratello, a parlare così.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nVa bene, combattiamo. Ma sappi che\nnon perderò.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0C\nエイリーク\nDubito che resisterai a lungo se non ti\nimpegnerai al massimo.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0C\nエイリーク\nSe riuscirai a vincere, allora il nostro legame\ndiventerà ancora più forte.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nSi comincia, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x1A\nエイリーク\x0CStrike\n\x0E\x03\x02\x0C\nエイリーク\nMmmh, la tua difesa è impeccabile, ma non\nte la darò vinta tanto facilmente.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nÈ strano scontrarsi proprio qui.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nGià. Ma trovarmi qui dinnanzi a te mi dà forza.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nEri forte già da prima. Mostrami di avere anche\nle abilità che ti servono.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x16\x08ロサード\nSmile\n\x0E\x03\x02\x0A\x08ロサード\nNon avrei mai creduto che avremmo combattuto\nfianco a fianco così a lungo, Erika. È stato\ndivertente!\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nSono contenta che sia tu a esserti unito a me.\nOgni giorno è speciale, con te.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1C\x08ロサード\x10Surprise\n\x0E\x03\x02\x0A\x08ロサード\nOh, grazie! Ma così mi fai arrossire...\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0C\nエイリーク\nEheh, allora sfodera le armi e fatti sotto se\nnon vuoi altro imbarazzo.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMolto bene, Erika, è ora di vedere chi tra noi\ndue è la più graziosa sul campo di battaglia.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerdonami se dovessi dimostrarmi troppo\nforte per te.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nNon scusarti. Vederti diventare una valorosa\nguerriera è un onore per me.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x18\nエイリーク\nAngry\n\x0E\x03\x02\x0C\nエイリーク\nMa ciò non vuol dire che mi farò sconfiggere!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nSei diventat\x0E\x0A\x00\x08\x02o\x02a imbattibile, \x0E\x06\x03\x00.\nPotresti persino sconfiggere mio fratello\nEphraim.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie! A giudicare da come ne parli, sembra\nuno su cui fai molto affidamento, vero?\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0C\nエイリーク\nBeh... Ecco... Siamo fratelli e fa sempre comodo\nun po' di supporto reciproco.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nNon ci avevo pensato.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nAnche io mi fido di te, Erika, così come delle tue\nopinioni e abilità.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0C\nエイリーク\nGrazie. Voglio essere di aiuto alla tua causa,\ncosì come altri lo sono stati alla mia.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nエイリーク\nPotervi essere di appoggio mi rende felice.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nHo perso il conto di tutte le volte che ci sei\nstata di appoggio. Non so cosa farei senza di te.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0C\nエイリーク\nEheh, abbi fiducia in te stess\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0C\nエイリーク\nSe entramb\x0E\x0A\x00\x08\x02i\x02e ci fidiamo delle nostre capacità,\npotremo supportarci a vicenda.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nHai perfettamente ragione. Continuiamo su\nquesta strada, Erika.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0C\nエイリーク\nCon piacere, \x0E\x06\x03\x00.\nIl mondo è in buone mani con te.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
