MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06カミラ\x023\n\x0E\x03\x02\x06\x04チキ\nÈ così buio qui... Fa un po' paura, vero,\n\x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08リュール\nTi è bastato, Camilla? O preferisci continuare a\ncombattere?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x08\x06カミラ\nNo, non serve. Mi hai già ampiamente\ndimostrato il tuo valore. La tua determinazione\nè forte come speravo.\x0E\x04\x02\x00
MID_ED1_#003	Mi unirò a voi. Non vedo l'ora di combattere\nal tuo fianco, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06カミラ\nDi niente. Sai, apprezzo la tua schiettezza.\x0E\x04\x02\x00
MID_ED1_#006	Hai buone probabilità di riuscire a riportare\nun po' di luce in mezzo a tutta l'oscurità di\nquesto mondo.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nPer fortuna, non sono da sol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_ED1_#008	Grazie al tuo aiuto, e all'aiuto dei nostri amici\ne alleati, so che ce la farò.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06カミラ\nBen detto. Da soli non è facile ottenere dei\nrisultati di rilievo.\x0E\x04\x02\x00
MID_ED1_#010	Io, ad esempio, non avrei avuto nessuna\nsperanza di sconfiggere mio padre se fossi\nstata da sola.\x0E\x04\x02\x00
MID_ED1_#011	E non avrei mai neanche immaginato di\nsuggellare la pace con l'Hoshido.\x0E\x04\x02\x00
MID_ED1_#012	Ma grazie a Corrin, alla nostra famiglia e ai\nnostri amici riuscii a cambiare il mondo.\x0E\x04\x02\x00
MID_ED1_#013	Non smettere mai di apprezzare i legami che hai\ncon i tuoi cari, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nLo prometto. Spero che continuerai a\ncondividere le tue esperienze, mentre sei con\nnoi.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x08\x06カミラ\nMa certo, car\x0E\x0A\x00\x08\x02o\x02a. Sarà un piacere per me.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カムイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCorrin... Oh, Corrin! Per fortuna stai bene!\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06カムイ\nCamilla! Che bello vederti.\x0E\x04\x02\x00
MID_ED2_#003	Ora che sei dei nostri, mi sento incredibilmente\nsollevata.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x08\x06カミラ\nFinalmente abbiamo la possibilità di stare\ndi nuovo insieme.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06カムイ\nSpero che sia la volta definitiva.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x08\x06カミラ\nGodiamoci ogni secondo del nostro tempo.\nAllora, festeggiamo? Che ne dici di un salto\nalle terme?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06カムイ\nMa Camilla... noi emblemi non possiamo fare\nil bagno.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x08\x06カミラ\nAh, no? Allora appoggia la testa sulle mie\ngambe. Lo facevi sempre, ricordi?\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x08\x06カムイ\nSiamo un po' troppo grandi per queste cose.\nNon cambierai mai, eh?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x08\x06カミラ\nEheh... A prescindere, sarò sempre devota a te,\nCorrin.\x0E\x04\x00\x00
