MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, ciao, Merrin!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nMa sei sicura che ti vada bene io? Non c'è\nqualcuno di più qualificato?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nNo, solo tu puoi farlo, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nSei una dei pochi davanti a cui non mi vergogno\ndi apparire poco tosta.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nCon te non ho paura di non essere all'altezza\ndei cavalieri senza macchia delle favole.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nTe ne sono grata.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nIhih, ho capito.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nMa non penso di essere la sola a vederti così.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nNon ha importanza se a volte inciampi. Chi\nmai potrebbe negare il tuo fascino?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nTutti sanno quanto sei tosta, non saranno un\npaio di errori a rovinare tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nDentro di te alberga lo spirito di una vera\ncavaliera.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nChloé...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nSono onorata di averti al mio fianco. Spero\nche combatteremo sempre l'una accanto\nall'altra.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nSarebbe un sogno che si avvera, Merrin.\x0E\x04\x00\x00
