MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nDrago Divino, v'è qualche problema?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nSono solo sorpres\x0E\x0A\x00\x08\x02o\x02a che una nobile come te\nconosca così bene la lotta corpo a corpo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nNon v'è ragione di celarvi la verità. La donna\nche avete davanti non è affatto nobile.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nInvero, in passato era piuttosto selvaggia,\nanzichenò.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nDavvero?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nSì, i miei genitori furono alquanto miserabili,\ne non si curarono per nulla di noi bambini.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nCosì fuggii. Prima che la principessa mi facesse\nattendente, conducevo una vita solitaria e\nraminga.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nFu allora che appresi l'arte della zuffa.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nMi spiace che tu abbia dovuto passare tutto ciò.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nVi spiace? Non occorre. Se non fossi fuggita,\nnon sarei la persona che sono oggi.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nCapisco... ti va di raccontarmi ancora del\ntuo passato?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nMi aiuterebbe conoscere meglio la tua vita\nprima che incontrassi la principessa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nOh, ma certo, Lorsignor\x0E\x0A\x00\x08\x02e\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nSe le mie storie di disagio possono esservi\nd'aiuto, sarò lieta di raccontarvele!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nAccidentaccio! Dove si sono cacciati?!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nPanette? Ancora non dormi?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh!!! B-Buona sera, Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nChe cos'è quella lettera che stai leggendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nHo assunto un investigatore in Solm per\ntrovare i miei genitori e questo è il rapporto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nA quanto pare, la ricerca non è andata a buon\nfine.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nMa... avevi detto che i tuoi erano genitori\norribili.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nSì... e la nostra conversazione mi ha fatto capire\nche ho dei sentimenti da affrontare, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nOra che è passato del tempo, forse... riuscirei\na parlar loro a mente fredda.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nSento il bisogno di cercarli. Sempre che siano\nancora in vita, ovviamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nTi ammiro molto. Ci vuole un gran coraggio ad\naffrontarli dopo tutti questi anni.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nPanette, e se ti aiutassi a cercarli?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nNo, no... non mi permetterei mai di appropriarmi\ncosì del vostro tempo prezioso!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nÈ il minimo che possa fare per ringraziarti\ndelle tue lezioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDopotutto, ne abbiamo affrontate di sfide\ninsieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nIo, te e gli altri... abbiamo tutti un legame.\nCi aiutiamo a vicenda nelle difficoltà. Lascia\nche ti aiuti, ti prego.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nAllora sarò lieta di accettare la vostra proposta.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nIn realtà, anche se non li dovessi trovare,\nio una nuova famiglia già ce l'ho.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nDi cosa altro abbisogno?\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08リュール\nAncora nessuna nuova, dico bene? Ho fiducia\nche li troveremo, vedrai. Non ci arrendiamo.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08パネトネ\nDrago Divino... dopo attente riflessioni, sono\ngiunta alla conclusione che sia meglio\nabbandonare la ricerca.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nMa come?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08パネトネ\nMi addolora, ma ormai abbiamo passato\nin rassegna ogni angolo dell'Elyos. Non v'è\npiù niente che possiamo fare, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08パネトネ\nVi ringrazio, nondimeno. Il vostro sostegno mi\nè stato alquanto prezioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08パネトネ\nIl tempo trascorso con voi alla ricerca della mia\nfamiglia è stato... incantevole. Pertanto gradirei\nche rimanessimo insieme.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nSe è davvero quello che vuoi, Panette, allora sì.\nVorrei continuare a stare con te. Sempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08パネトネ\nNon capisco...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nCome ti ho già detto, noi due abbiamo un\nlegame, ma sento che c'è qualcosa di più.\nO meglio, vorrei che fossimo qualcosa di più.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAccetta questo, ti prego.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08パネトネ\nMa è... l'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nLo devo dare a qualcuno a cui voglio un bene\nprofondo. E per me sei tu quella persona.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08パネトネ\nDrago Divino... N-Non posso...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08パネトネ\nI miei genitori all'inizio andavano d'amore e\nd'accordo, ma con il passare del tempo la loro\nrelazione si deteriorò...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08パネトネ\nI sentimenti sono mutevoli. Non potrei mai\nsopportare che a noi tocchi la stessa sorte.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nCapisco che tu sia diffidente. Ma quello è il\npassato. Hai un futuro davanti a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nTutti hanno i loro alti e bassi. Anche noi due,\nè normale...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nMa tu sei agile come un rapace, e ora anche\nio lo sono. Insieme possiamo schivare ogni\nproblema.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08パネトネ\nEheh, non finite mai di stupirmi, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08パネトネ\nL'agilità è importante invero... ma che mi dite\ndell'arte della zuffa?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nLa cosa non ci riguarda. Allora cosa vuoi fare?\nAccetti l'anello, sì o no?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08パネトネ\nOrbene, accetto con gioia.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08パネトネ\nRestate al mio fianco per sempre, di grazia,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nCerto. Sono tu\x0E\x0A\x00\x08\x02o\x02a, e tu sei mia.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08パネトネ\nMi rallegra sentire queste parole.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08パネトネ\nNon v'è nessun altro al mondo al cui fianco\nvorrei restare. Adoro solo voi.\x0E\x04\x00\x00
