MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn mezzo alle tenebre della solitudine,\ndesidererai che la luce ti appartenga?\x0E\x04\x02\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nAh... Vi conoscete?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E003_セレスティア\nSì, ci conosciamo. Gregory è uno dei Quattro\nVenti, proprio come me.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nQuesto nome non mi dice niente.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x18\x16E003_セレスティア\nSiamo un gruppo di cavalieri fondato dopo la\nguerra allo scopo di proteggere lady Nel e lord\nNil.\x0E\x04\x02\x00
MID_OP2_#022	Come dice il nome stesso, il gruppo è composto\nda quattro membri.\x0E\x04\x02\x00
MID_OP2_#023	Gregory è uno di loro.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x10\x0EE003_エル\nProprio come Zelestia, anche lui stava\nsvolgendo un incarico di spionaggio.\x0E\x04\x02\x00
MID_OP2_#025	Ti ringrazio per il tuo utile contributo, Gregory.\nNon dovevamo incontrarci più avanti?\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Gregory\n\x0E\x03\x02\x16\x14E003_グレゴリー\nSì, ecco... Mi sono perso e temevo di non\ntrovare il punto esatto del nostro appuntamento.\x0E\x04\x02\x00
MID_OP2_#027	Non ero sicuro di cosa fare, così sono tornato\nindietro verso il confine. Per fortuna, vi ho\ntrovati.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x10\x0EE003_エル\nPrima di sentire cos'hai da dire, c'è una cosa\nche dovrei comunicarti.\x0E\x04\x02\x00
MID_OP2_#029	Questa persona...\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nNon è il Drago Divino che conosciamo.\nHo indovinato?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE003_エル\nEsatto.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x16\x14E003_グレゴリー\nAllora il rituale ha funzionato. Significa che\nquesto è un Drago Divino proveniente da un\naltro luogo.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x10\x0EE003_エル\nProprio così. Orbene, mi hai risparmiato una\nspiegazione.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE003_イル\nIncredibile, Gregory! Come hai fatto a dedurre\ntutte queste informazioni?\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nNon lo so. C'è qualcosa di... inquietante in\nquesto Drago Divino.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nSarà perché ti ho quasi attaccato.\nScusami ancora.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x16\x14E003_グレゴリー\nNo, non è quello. È che sei divers\x0E\x0A\x00\x08\x02o\x02a dal nostro\nDrago Divino.\x0E\x04\x02\x00
MID_OP2_#038	Non parlo dell'aspetto fisico. C'è qualcosa nella\ntua essenza che... non mi convince. Ma la mia\nspiegazione è troppo sconclusionata, vero?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory possiede un acuto sesto senso ed è\nsempre molto cauto. Riesce a notare dettagli\nche sfuggono agli altri.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nCapisco.\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nTranquill\x0E\x0A\x00\x08\x02o\x02a. Se non sei una minaccia,\nci farò l'abitudine.\x0E\x04\x02\x00
MID_OP2_#042	Oh, scusa la schiettezza. Sono sempre stato un\ndisastro con queste formalità.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nPer me non è un problema. Parla come ti\nviene più naturale.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE003_イル\nSta' tranquillo, Gregory. Questo Drago Divino\nsi è dimostrato una persona buona e gentile.\x0E\x04\x02\x00
MID_OP2_#045	I miei sono complimenti sinceri, Drago Divino.\nDevo dire che mi piaci.\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08リュール\nGrazie, Nil. Anche tu mi piaci.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x10\x0EE003_エル\n...\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x0A\x08リュール\nAvete detto che nei Quattro Venti ci sono\nquattro cavalieri, ma dove sono gli altri due?\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x10\x0EE003_エル\nSono in missione nelle altre due nazioni, stanno\nraccogliendo informazioni.\x0E\x04\x02\x00
MID_OP2_#050	A Zelestia era assegnato il Firene, a Gregory la\nBrodia, mentre gli altri due membri del gruppo\nsi trovano in Elusia e in Solm.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nIo sono la comandante del gruppo.\x0E\x04\x02\x00
MID_OP2_#052	Il nome Zelestia dei Quattro Venti è piuttosto\nimportante. Sono una comandante di grande\nfama.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nForse perché non fai che ripeterlo in giro.\nLa gente è costretta a ricordarsi il tuo nome.\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nCos'hai detto?!\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nScherzavo! Non è il caso di passare alle maniere\nforti!\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x0A\x08リュール\nCos'è stato?!\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x10\x0EE003_イル\nCi stanno attaccando?!\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x16\x14E003_グレゴリー\nAh... Ahahah. I miei inseguitori ci hanno trovati.\nScusatemi tanto, ero convinto di averli seminati.\x0E\x04\x00\x00
MID_OP2_#059	\x0E\x03\x02\x10\x0EE003_エル\nSpiegati meglio, Gregory.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x16\x14E003_グレゴリー\nEcco... Mi hanno scoperto... mentre ero in\nricognizione... Me la sono data a gambe... ma\nmi hanno seguito, a quanto pare.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x10\x0EE003_イル\nUno, due, tre... Sono chiaramente più di noi.\x0E\x04\x02\x00
MID_OP2_#062	Non ci resta che la fuga.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nMa perché non li affrontiamo, scusate?\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x10\x0EE003_エル\nSe ci stanno inseguendo, significa che sono\nguardie di frontiera o cavalieri. Il bracciale non\nè nelle loro mani.\x0E\x04\x02\x00
MID_OP2_#065	Un combattimento inutile servirebbe solo a\nindebolirci.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x16\x14E003_グレゴリー\nVolete fuggire? Sono un esperto in materia.\nDa questa parte, seguitemi!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nQui dovremmo essere al sicuro, ma non si sa\nmai. Restiamo nascosti ancora un po'.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x10\x0EE003_イル\nA proposito, Drago Divino...\x0E\x04\x02\x00
MID_OP3_#003	Ho notato che tu preferisci combattere, ma\nnoi... siamo abituati a una tattica più difensiva.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nMe ne sono accort\x0E\x0A\x00\x08\x02o\x02a. Scegliete solo le battaglie\nnecessarie.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E003_グレゴリー\nEsattamente. Altrimenti come credi che\navremmo fatto a sopravvivere così a lungo?\x0E\x04\x02\x00
MID_OP3_#006	Invece di affrontare coraggiosamente chiunque\nci si pari contro, preferiamo scappare.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE003_エル\nA parte le operazioni necessarie a rimettere gli\nemblemi a dormire, non siamo nella posizione\nper attaccare nessuno.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nSe i Quattro Venti fossero alla stregua degli\nordini cavallereschi delle altre nazioni, sarebbe\ndiverso.\x0E\x04\x02\x00
MID_OP3_#009	Ma, ahimè, non è così. Siamo una delusione.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE003_イル\nNon dire così. Ci avete salvati innumerevoli\nvolte.\x0E\x04\x02\x00
MID_OP3_#011	Io e mia sorella non potremmo essere più\norgogliosi di voi.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nSiete gentile, lord Nil. Vi ringrazio.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x10\x0EE003_エル\nI nemici hanno abbandonato l'inseguimento.\nGregory, è il momento del tuo rapporto.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nIn Brodia sta succedendo qualcosa. Hanno\ncominciato a inviare soldati fuori dal paese.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE003_エル\nNon è da loro tramare un'invasione. Dove sono\ndiretti?\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x16\x14E003_グレゴリー\nNon lo so. Di qualunque luogo si tratti, hanno\nfatto un ottimo lavoro a tenerlo segreto.\x0E\x04\x02\x00
MID_OP3_#017	A giudicare dalle informazioni che ho ottenuto,\npenso che vogliano radunare i sette bracciali.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nInteressante. Forse anche la Brodia, come noi,\nvuole tenerli lontani dal nemico misterioso.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E003_グレゴリー\nDubito che sia questo il loro scopo. Temo che\nvogliano ottenere il potere dei bracciali.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nMa se è un regno così pacifico, cosa li spinge\na bramare più potere?\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x10\x0EE003_イル\nI vantaggi che si ottengono radunando\ni bracciali degli emblemi variano a seconda\ndelle circostanze.\x0E\x04\x02\x00
MID_OP3_#022	Se tutti e sette sono svegli, come già sai,\nconferiscono un potere enorme.\x0E\x04\x02\x00
MID_OP3_#023	Ma se vengono radunati quando ancora\ndormono...\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE003_エル\n... conferiscono totale immunità a qualsiasi\nattacco.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nImmunità? Ti rendono invincibile?\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x16\x14E003_グレゴリー\nEsatto. Non esiste difesa più potente.\x0E\x04\x02\x00
MID_OP3_#027	Per un paese così restio alla guerra, sarebbe\nun dono inestimabile.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x10\x0EE003_イル\nA tale scopo, serve che tutti gli emblemi siano\naddormentati, quindi hanno bisogno di Nel.\x0E\x04\x02\x00
MID_OP3_#029	Che gli assassini inviati al castello di Lythos\nfossero dei rapitori brodiani?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x10\x0EE003_エル\nNon è da escludere.\x0E\x04\x00\x00
MID_OP3_#031	\x0E\x03\x02\x16\x14E003_グレゴリー\nNon possiamo neanche esserne sicuri, però.\nC'è solo una cosa che sappiamo...\x0E\x04\x02\x00
MID_OP3_#032	La Brodia mobiliterà presto la sua armata.\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nComplimenti per l'arguzia, davvero! Purtroppo,\nvi costerà la vita.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nMa come hanno fatto? Non li ho sentiti\navvicinarsi.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE003_イル\nNon sembrano dei soldati comuni.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x10\x0EE003_エル\nSono la famiglia reale brodiana.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x00\x18\x12E003_Hide\x024\n\x0E\x03\x02\x14\x12E003_Hide\nEccoli, Diamant.\x0E\x04\x02\x00
MID_OP3_#039	Eliminali tu. Non vorrai lasciare il lavoro sporco\nsempre a me, razza di patetico fratello?\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x18\x12E003_Boss\x021\n\x0E\x03\x02\x14\x12E003_Boss\nSperavo di coglierli di sorpresa, Alcryst, ma\ntu ci hai fatti scoprire.\x0E\x04\x00\x00
MID_OP3_#041	\x0E\x03\x02\x14\x12E003_Hide\nUmpf... Potevi dirmelo prima.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x14\x12E003_Boss\nNel. Nil. Sappiate che non desideravo un\nincontro di questo tipo. Speravo in qualcosa di\npiù amichevole.\x0E\x04\x02\x00
MID_OP3_#043	Ora, sfortunatamente, uno spargimento di\nsangue sembra inevitabile.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE003_エル\nDevi essere proprio arrabbiato per calpestare\ncosì i pacifici principi del tuo paese.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x02\x10\x0EE003_イル\nGuarda, Nel. Indossa un bracciale.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x14\x12E003_Hide\nState cercando i bracciali? Che coincidenza!\nAnche noi, come diceva la vostra spia.\x0E\x04\x02\x00
MID_OP3_#047	A quanto pare, i nostri obiettivi coincidono.\nSarà il caso di stringere di nuovo alleanza?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x10\x0EE003_エル\nNon puoi dire sul serio.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x14\x12E003_Hide\nNo, in effetti no. Come hai fatto a capirlo?\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x14\x12E003_Boss\nLa guerra va tagliata alla radice, prima che\nmetta dei tralci.\x0E\x04\x02\x00
MID_OP3_#051	Non ho scelta, dovrò uccidere dei vecchi alleati,\nanche se il pensiero mi angoscia.\x0E\x04\x02\x00
MID_OP3_#052	Soldati, alle armi! Portatemi viva lady Nel,\ne annientate gli altri.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE003_エル\nLe attuali circostanze ci portano allo scontro.\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x10\x0EE003_イル\nZelestia, Gregory. Preparatevi a combattere.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nSono pronta.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nCercherò di non farmi male...\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x10\x0EE003_エル\nDrago Divino, mi aspetto lo stesso impegno\ndell'ultima battaglia.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nNaturalmente.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nÈ una situazione sgradevole, ma è inutile\ntergiversare.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nNon sottovalutiamo l'artiglieria magica brodiana.\nHanno armi in grado di attaccare da distanze\nconsiderevoli.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nQuell'unità è in procinto di lanciare una potente\nscarica. L'attacco coprirà un'area ampia.\nStiamo in guardia.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEmblema Veronica, userò il tuo potere per\nstipulare dei contratti con gli eroi.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nIl nostro emblema ha un enorme potere.\nÈ meglio che vi arrendiate, prima che sia troppo\ntardi.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nNon avremmo dovuto provarci. Sapevo che\nsarebbe finita così...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nSmile\n\x0E\x03\x02\x14\x12E003_Hide\nRingrazia che ci sono io ad affrontarti e non il\nmio inetto fratello. Te ne andrai senza neanche\naccorgertene.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nSe fossi stato io il re... tutto questo non sarebbe\nsuccesso...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nNon avrei mai voluto trovarmi ad affrontare\nme stesso, ma non ho altra scelta.\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\nCon un'attitudine del genere, come speri di\naggiudicarti la vittoria?\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nAnche se vincessi io, non cambierebbe niente.\nNon so come diventare un buon re.\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x05\x01\x1C\x0Cディアマンド\x0CStrike\n\x0E\x03\x02\x0E\x0Cディアマンド\nAllora deponi le armi. Se non lo farai, significa\nche in fondo hai ancora qualcosa da difendere!\x0E\x04\x02\x00
MID_BT5_#005	Sei un re, mostrati all'altezza del tuo ruolo!\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nAlcryst? Vuoi metterti contro di me? Lo sapevo,\nnon mi hai mai accettato come re.\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nSospettavo che stessi complottando alle mie\nspalle. E così vuoi assassinarmi, mh?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nAssassinarvi io?! Siete mio fratello, Diamant.\nNon mi permetterei mai neanche di pensarlo!\nHo troppo rispetto e ammirazione per voi.\x0E\x04\x00\x00
MID_BT6_#004	\x0E\x03\x02\x14\x12E003_Boss\nAllora, deponi le armi.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nNon posso. Siete mio fratello, ma anche il mio\nnemico.\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x16\nスタルーク\x08Pain\nNo, aspettate, non intendevo dire questo!\nLasciatemi spiegare!\x0E\x04\x02\x00
MID_BT6_#007	Non ne dico una giusta...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nNon sai quanto mi dispiaccia incontrarti in\nqueste circostanze. Ora dovremo combattere.\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nCitrinne! Che ci fai qui?! Stavi proteggendo\nAlcryst e poi...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01\x18\nシトリニカ\nRelax\n\x0E\x03\x02\x0C\nシトリニカ\nE così la mia controparte di questo mondo se\nn'è andata con onore. Mi piacerebbe sentire\ntutta la storia.\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x18\nシトリニカ\nAngry\nMa questa versione di me è una tua avversaria.\nFai finta che sia solo un'allucinazione.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nCome vuoi. Se sei solo un'allucinazione, non\nha senso perdere tempo a parlare dell'altra\nCitrinne.\x0E\x04\x02\x00
MID_BT7_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nMa come faccio a dimenticarmi di tutto il tempo\ntrascorso assieme? Quanto ci divertimmo a quel\nballo...\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nDrago Divino? Com'è possibile che tu sia qui?!\x0E\x04\x00\x00
MID_BT8_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNon sono chi credi tu. Fai finta che sia\nu\x0E\x0A\x00,\x14n estraneo\x14n'estranea, mentre combattiamo.\x0E\x04\x00\x00
