MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVi ho portato qualcosa da mangiare, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08ヴェイル\nSì. Scusa per come ti ho trattata nonostante\nla tua gentilezza, Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Grazie...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI vostri capelli sono un po' in disordine,\nlady Veyle. Permettetemi di sistemarveli.\x0E\x04\x02\x00
MID_RELIANCE_A_#002	Non preoccupatevi, mi sono allenata!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nAllora fai pure. Ti ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nAvete freddo? Vado a prendervi una coperta\nprima di occuparmi dei capelli.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nI Draghi Magici hanno una temperatura\ncorporea più elevata, no? Potresti riscaldarmi\nle mani con le tue.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, dite sul serio? Non voglio spaventarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSiamo amiche. Di cosa dovrei avere paura?\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Ma dimmi, perché sei così buona con me?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nBeh, è una lunga storia.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNon è un problema. Questa volta ti ascolterò io.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nNel mio mondo, i Quattro Venti furono fondati\nda un uomo di nome Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier? Allora era una persona meravigliosa\nanche nel tuo mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nLo era. È stato il mio eroe e un mio amico\nfino all'ultimo. Lo ammiravo profondamente.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	So che aveva una padrona che si chiamava\nlady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nDavvero?!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nSì, la lady Veyle del mio mondo era la padrona\ndi Mauvier.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mauvier aveva giurato di proteggerla a\nqualunque costo, ma non fu in grado di\nmantenere la sua promessa.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Mi disse che ella morì in una battaglia di\npoca importanza. Il suo più grande rimorso era\ndi non averla potuta proteggere.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Per questo ero sorpresa di vedervi in questo\nmondo... Vedervi ancora viva...\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Mauvier voleva proteggervi, e allora sarò\nlieta di portare avanti il suo nobile proposito.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	È per questo che volevo prendermi cura di voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nEcco perché sei così buona con me, nonostante\nio ti trattassi male.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nNo. Siete buona con me. Anche ora che state\nascoltando pazientemente la mia storia.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Mauvier mi ha sempre detto di quanto fosse\namabile lady Veyle. Proprio come voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie per avermi raccontato questa storia.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	È un vero miracolo che ci siamo incontrate qui.\nAnche se i nostri mondi sono diversi, siamo\nunite in qualche modo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nLo credo anche io. Ci deve essere una forza\nsconosciuta che ci ha portate a incontrarci.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nZelestia, la verità è che voglio davvero essere\ntua amica.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Ti va di restare un po' più a lungo oggi?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nCon piacere. Resterò al vostro fianco non solo\n"un po' più a lungo", ma finché lo desidererete.\x0E\x04\x00\x00
