MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrincipe Diamant, voglio vedere quanto sei\nbravo. Ti sfido a duello.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nSei sicuro?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nNon possiamo mica finire in parità, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nMa ti avverto, la prossima volta finirà in modo\ndiverso.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nMetterò in gioco il mio onore di principe\nereditario e mi batterò finché non chiederai\npietà.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nCosì mi piaci! Ma giuro sulla mia lama\nche ti batterò.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nIn effetti la tua lama sembra impressionante.\nSi vede che la affili spesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nUna spada riflette l'anima di chi la brandisce.\nIo me ne prendo cura ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nAnche la tua arma è davvero maestosa e\npotente.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nSai, visto che la Brodia dà tanta importanza\nalla forza fisica, la mia arma deve essere un\nsimbolo di quella forza.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nProprio come te, anche io considero la mia\nspada ben più di una semplice arma.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nAnche se siamo cresciuti in regni differenti,\nproviamo gli stessi sentimenti per le nostre armi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ incredibile quanto si riesca a conoscere bene\nuna persona una volta che ci si duella.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nÈ più facile così che con le parole. Non vedo\nl'ora che ci scontriamo di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nUn altro pareggio, non ci posso credere.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nSei ancora più forte di prima... Ero sicuro\nche stavolta ti saresti arreso.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPosso dire la stessa cosa. Ti sei messo sotto\ncon gli allenamenti dopo l'ultima volta, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nCombattere contro un valido avversario è\nla migliore delle esperienze. Ti devo\nringraziare, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ per questo che mi hai sfidato la prima volta?\nPer diventare più forte?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nAnche... ma non solo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nIl mio interesse principale è conoscere il mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nUsi, idee, filosofie... ogni cultura ha le sue\nparticolarità che io ancora non conosco.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nMa ci sono anche tante cose che ci avvicinano,\ncome i nostri sentimenti per le nostre spade.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nÈ come hai detto tu... Incrociando le spade, ci si\npuò conoscere meglio che a parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nÈ per questo che vago per il mondo alla\nricerca di avversari forti e interessanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAaah, allora era questo il tuo scopo...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nSono un po' invidioso, a dire il vero. La mia\nposizione mi impedisce di viaggiare come\npiacerebbe a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nAllora lascia che ti racconti dei luoghi che\nho visitato. Sarà come se li avessi visti tu di\npersona.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nMi piacerebbe molto. Apprezzo le belle storie.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, scusa.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nAhahah! Non ti devi scusare. È normale avere\nfame dopo tutta la fatica che abbiamo fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nEcco, prendi questo. È un onigiri, fatto col\nriso. È delizioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nUhm... che forma strana... ma il cibo è cibo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNgh... è così aspro!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nContiene prugne secche in salamoia.\nNon ti senti già rinfrancato?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nDevo dire che ti dà proprio una botta...\nMa potrei abituarmici.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nAnche questo è un mondo sconosciuto tutto\nda scoprire, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nUno scambio culinario? Ottima idea.\nMettiamo giù le spade e prendiamo\nle forchette.\x0E\x04\x00\x00
