MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrincipe Alfred, aspetta!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nCi sto! Non mi farò scappare l'occasione di\nparlare con la futura regina di Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nMa niente discorsi pesanti, mi raccomando.\nNon voglio rovinarmi l'appetito.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nVa bene, principessa Timerra! Di pesante ci sarà\nsoltanto la panna!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEhi, principessa Timerra, ho sentito che\ncavalchi i lupi, è vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nSì!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nDa piccola scorrazzavo anche per i corridoi del\npalazzo in groppa ai lupi. Che disastri.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIncredibile... nella mia famiglia nessuno è così\nscatenato.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nDavvero? Nella mia siamo tutti un po' scatenati.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nA proposito, se vuoi posso insegnarti a\ncavalcare i lupi.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nSperavo proprio che lo dicessi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nFantastico! Sarò felice di farti vedere.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nSpero non ti disturbi essere morso o sbalzato\nin aria di tanto in tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nC-Capita spesso?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nEh sì, spessissimo! E quando i lupi sono proprio\nagitati, non ci posso fare niente nemmeno io.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nMa con i tuoi muscoli sono sicura che non avrai\nproblemi a fermarli.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nBeh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nNon è facile per qualcuno che è alla prima\nesperienza.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nNon voglio metterti paura. La maggior parte\ndelle persone non perde nemmeno un arto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nForse ci sto ripensando.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nÈ meglio rimandare. Non posso permettermi\nun infortunio con la guerra in corso.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nGià, già. A volte ci vuole anche il coraggio di\ncapire quando ritirarsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nPiuttosto, perché non mi porti a fare\ncampeggio?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nSarebbe divertente vedere come te la cavi nella\nnatura selvaggia del Solm, anche solo un po'.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nSì! Magari! Sembra divertente!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nTi insegnerò tutto! Da come organizzare il\ncampo, agli animali da cui guardarti...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nE soprattutto, si canta! Non c'è niente di meglio\ndi una bella canzone da campeggio.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nAppena mi procuro una tenda, si parte!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Sono andata con Alfred in campeggio... ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\n♪ Ottimo cibo e canzoni e solfeggio! ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\n♪ In cielo la notte c'era più di una stella...\nE così finisce la canzone, che bella! ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon male, Timerra! Bel modo di far sapere\nagli altri come ci si sente!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nGrazie! La mia famiglia non apprezza molto\nle mie canzoni.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nCosa? Canti benissimo! La tua voce mi fa\nbattere il cuore.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nAhahah, anche a me, in effetti!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nGrazie, principe Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nOps, il fuoco si sta spegnendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, lascia fare a me... Vediamo un po'...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nOttimo lavoro! L'hai recuperato alla grande.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nA che servo io? Hai un talento naturale.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo, mi hai insegnato tutto tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nEheheh... continua pure, i complimenti non mi\ndispiacciono.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nGrazie ancora, Timerra, ho imparato tante\ncose nuove grazie a te.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nE sento di riuscire a capire meglio anche il\ntuo popolo, adesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nAh, volevi un assaggio della cultura solmica, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nSì, ho pensato che conoscendo meglio il Solm,\navrei capito anche il suo popolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nUhuhuhuh... allora, dimmi un po'...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nHai per caso intenzione di invadere il mio\npaese?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa no, no!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nGiuro che il mio scopo è solo facilitare una\nmigliore convivenza tra i regni.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nLo so, lo so... stavo scherzando.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nComunque, non penso che abbiamo ancora\nfinito qui.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nBeh, ora è il mio turno di imparare qualcosa\nsul regno di Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nAffinché il Solm e il Firene si avvicinino, c'è\nbisogno di comprensione reciproca.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nHai ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nE allora, per il bene del mio paese, farai meglio\na raccontarmi tutto sul tuo!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nSarà un piacere, principessa! Da dove posso\ncominciare?\x0E\x04\x00\x00
